# Grange file: ADD.NOTICE,source: winemaking.xlsm/AN,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,ADD.NOTICE,10L,S,,Default record ID for RetrieVe,,,
MCNOTE,D,0,,,ADDITIVE NOTE #,6R,S,,Additive note number - AAAyynnnn for user AAA / year yy / number nnnn,,,
MACTIV,D,1,,,REC ACT,1T,S,,Record activity code ('R'),,,
MRDATE,D,2,,D2/,REQUIRED DATE,8R,S,,Date request made for operations,,,
MRTIME,D,3,,MTS,REQUIRED TIME,8R,S,,Time request made for operation,,,
USERID,D,4,,,USER ID,10L,S,,User Identification,,,
MOPCD,D,5,,,OPER CODE,4L,S,,Operation identification code,,,
MFTANK,D,6,,,FROM TANK NO,5T,M,FROM.TANKS,From Tank Nos,,,
MFBLEND,D,7,,,FROM BLEND CODE,12T,M,FROM.TANKS,From Blend Code,,,
MFSTATUS,D,8,,,FROM BLEND STATUS,3T,M,FROM.TANKS,From Blend Status,,,
MFDIPB4,D,9,,,F/TANK B4 DIP,7R,M,FROM.TANKS,From Tank B4 dip,,,
MFVOL,D,10,,,FROM TANK VOL B4,8R,M,FROM.TANKS,From Tank Volume of Before Dip,,,
MFBATCH,D,11,,,FROM BATCH,7L,M,FROM.TANKS,From Batch/Group Number,,,
MADDCD,D,12,,,ADD CODE,4T,M,ADD.QTY.UOM,Additive identification code,,,
MADESCP,D,13,,,ADDITIONS DESCRIPTION,30T,M,ADD.QTY.UOM,Additions description,,,
ADDRATE,D,14,,,RATE ADDED,9R,M,ADD.QTY.UOM,Rate of additive addition,,,
AOUMEAS,D,15,,,UNIT OF MEASURE,6T,M,ADD.QTY.UOM,Unit of measure for additive,,,
ACONV,D,17,,MD80P,CONVERSION,10R,M,ADD.QTY.UOM,Additive conversion rate,,,
MAQTYISS,D,18,,,ADDITIVE QUANTITY ISSUED,9R,M,ADD.QTY.UOM,Additive quantity issued,,,
MAUOMISS,D,19,,,ADDITIVE UNIT MEASURE ISSUED,6T,M,ADD.QTY.UOM,Additive unit of measure as issued,,,
ADDTANK,D,20,,,TANK,5T,M,ADD.QTY.UOM,Tank additive placed into,,,
MHCOMMENT,D,21,,,COMMENT FOR HEADING OF CELLAR NOTE,72T,M,,User comment for heading of cellar note - U/D in create & update of cellar notes,,,
CELLAR.OP,D,22,,,Cellar Chit,9L,S,,Linked Cellar operation Id,,,
