# Grange file: BARREL.GROUP,source: grange.xlsx/BARREL.GROUP,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,BARREL.GROUP,10L,S,,Default record ID for RetrieVe,,,
TANK,D,0,,,Barrel,6L,S,,Tank (barrel group) Id,,,
BARREL.NUMBER.FIRST,D,1,,,First,6R,M,BN,First Barrel number in barrel number range,,,
BARREL.NUMBER.LAST,D,2,,,Last,6R,M,BN,Last Barrel number in barrel number range,,,
BARREL.NUMBER.CODE,D,3,,,Barrel,13L,M,BN,Barrel code for the barrels within the number range,,,
BARREL.NUMBER.CODE.ALL,D,3,,,Barrel,75L,S,,Barrel code for the barrels within the number range,,,
BARREL.TYPE,D,4,,,Barrel,3L,M,BN,Barrel Type,,,
BARREL.TYPE.ALL,D,4,,,Barrel,3L,S,,Barrel Type,,,
DATE.FILLED,D,5,,D2/,Date,8R,M,BN,Date the barrel number range was first filled,,,
DATE.FILLED.ALL,D,5,,,Date,8R,S,,Date the barrel number range was first filled,,,
DATE.FILLED.E,D,5,,D4/E,Date,10R,M,BN,Date the barrel number range was first filled,,,
BN.CAPACITY,D,6,,MD0,Barrel,6R,M,BN,The capacity of each barrel in the barrel number range,,,
BN.ACTVOL,D,7,,MD10P,Barrel,6R,M,BN,The litres in each barrel in the barrel  number range,,,
BN.TOTVOL,D,8,,MD10P,Barrel,10R,M,BN,The total litres in the barrel number range,,,
LOC.STACK,D,9,,,Location,9L,M,BN,The location and stack containing the barrel number range,,,
LOC.STACK.ALL,D,9,,,Location,9L,S,,The location and stack containing the barrel number range,,,
NO.OF.BARRELS,D,10,,MD0,Number of,6R,M,BN,Number of barrels in the barrel number range,,,
CARD.DESC,D,11,,,,18L,S,,Barrel group description to be printed on barrel cards,,,
ACCOUNT,I,,@WHO,,ACCOUNT,5L,S,,,,,
ADW,I,,SUM(BN.TOTVOL),MD10P,,10R,S,,,,,
BARREL.AVAIL.CODE,I,,"TRANS(BARREL.REGISTER,BARREL.IDS,'BARREL.AVAIL.CODE','X')",,Availability,4L,M,BARREL.IDS,Barrel availability code,,,
BARREL.CODE,I,,"TRANS(BARREL.REGISTER,BARREL.IDS,'BARREL.CODE','X')",,Barrel,13L,M,BARREL.IDS,Barrel Code,,,
BARREL.COUNTRY,I,,"SUBR('*ITYPE.EXT',BARREL.NUMBER.CODE,1,1); IF BARREL.NUMBER.CODE # '' THEN",,Barrel,2L,M,BN,Barrel Country,,,
BARREL.IDS,I,,"SUBR(SUBR.PENBW:'BG.BRL.IDS',@ID)",,Barrel Id's,10R,M,BARREL.IDS,Barrel Id's of barrels in the group,,,
BARREL.NO,I,,"SUBR('*BRL.NO.RNG',@RECORD)",,Barrel,9R,M,BN,Barrel number range,,,
BARREL.STATUS.CODE,I,,"TRANS(BARREL.REGISTER,BARREL.IDS,'STATUS','X')",,Barrel,1L,M,BARREL.IDS,Barrel Status Code,,,
BARREL.TYPE.DESC,I,,"TRANS(BARREL.TYPE,BARREL.TYPE,DESC,'X')",,Barrel Type Description,30L,M,BN,Barrel Type Description,,,
BARREL.YEAR,I,,"SUBR('*ITYPE.EXT',BARREL.NUMBER.CODE,1,1);    IF BARREL.NUMBER.CODE # '' THEN",,Barrel,4R,M,BN,Barrel Year,,,
BATCH,I,,"TRANS(MTANK,@ID,TBATCHNO,'X')",,Batch,7L,S,,Batch No,,,
BATCH.DESC,I,,"TRANS(MBATCH,BATCH,BATCH.DESC,'X')",,Batch,12L,S,,Batch description,,,
BC.RANGE,I,,"TRANS(MTANK,TANK,'BC.RANGE','X')",,,10L,S,,Number range controlling printing of barrel cards,,,
BC.TEXT,I,,"TRANS(MTANK,TANK,'BC.TEXT','X')",,,20L,S,,Text to print on barrel cards,,,
BLEND,I,,"TRANS(MTANK,@ID,""TBLEND"",'X')",,Blend,12L,S,,Blend,,,
BLEND.DESC,I,,"TRANS(MBLEND,BLEND,BLENDESCP,'X')",,Blend,30L,S,,Barrel Group Blend description,,,
BN.ACTVOL0,I,,BN.ACTVOL+0,,Barrel,6R,M,BN,The litres in each barrel in the barrel  number range.,,,
BN.CALCVOL,I,,BN.ACTVOL * NO.OF.BARRELS,MD10P,Barrel,10R,M,BN,actual barrel volume * number of barrels,,,
BN.CAPACITY0,I,,BN.CAPACITY+0,,Barrel,6R,M,BN,The capacity of each barrel in the barrel number range,,,
BN.TOTVOL0,I,,BN.TOTVOL+0,MD10P,Barrel,10R,M,BN,BN.TOTVOL + 0 for numeric selects,,,
BRL.NO.RNG,I,,"SUBR('*BRL.NO.RNG',@RECORD)",,Barrel,9R,M,BN,Barrel number range,,,
GEN.TANK.ACC,I,,"SUBR(SUBR.PENBW:'GEN.TANK.ACC',@ID,@RECORD)",,Tank,10L,S,,Tank Account for ordinary and small wood tanks,,,
ORIG.BARREL.NOS,I,,"SUBR('*BRL.NO.RNG',@RECORD)",,Barrel,9R,M,BN,Original barrel number ranges,,,
STATUS,I,,"TRANS(MTANK,@ID,TSTATUS,'X')",,Stat,3T,S,,Status code,,,
STATUS.DESC,I,,"TRANS(WINE.STATUS,STATUS,DESC,'X')",,Status,30L,S,,Status Description,,,
TACTIV,I,,"TRANS(MTANK,TANK,'TACTIV','X')",,REC,1T,S,,"Record activity status ("" "" - Active, ""D"" - De-activated)",,,
TDIP,I,,"TRANS(MTANK,@ID,TDIP,'X')",MD10P,Barrel Group,10R,S,,Barrel Group Dip,,,
TOT.CALCVOL,I,,SUM(BN.CALCVOL),MD10P,Total,10R,S,,,,,
TOT.NO.OF.BARRELS,I,,SUM(NO.OF.BARRELS),MD0,Total,6R,S,,Total number of barrels,,,
TOT.TOTVOL,I,,SUM(BN.TOTVOL)+0,MD10P,Total,10R,S,,,,,
TVOLUME,I,,"SUBR(""*GBWZ171"",""BG"",TDIP,'V')+0",MD10P,VOLUME,11R,S,,Barrel group volume,,,
