# Grange file: BLEND.PROP AND BLEND.PROP.ARCHIVE,source: winemaking.xlsm/BP,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,Proposal,6R,S,,Proposal No.,,,
PROPOSAL.NO,D,0,,,,10R,S,,,,,
BLEND,D,1,,,Blend Code,12L,S,,Proposed Blend Code,,,
LOGIN,D,2,,,,10L,S,,,,,
MOPCD,D,2,,,Login Id,10L,S,,Originator Login ID,,,
REC.ILEVEL,D,3,,,,1L,M,REC,Recovery Inventory level,,,
REC.RATE,D,4,,MD40P,,8R,M,REC,Recovery rate/litre,,,
REC.PERC,D,5,,MD10P,,5R,M,REC,Recovery percentage,,,
REC.BRATE,D,6,,MD40P,,8R,M,REC,Recovery rate applied (based on % used),,,
CDATE,D,16,,D2/,Create,8R,S,,Creation Date,,,
CDATE.E,D,16,,D4/E,Create,10R,S,,Creation Date,,,
MFTANK,D,17,,MC,Tank,6L,M,TANK,From tanks,,,
MFTANK.UC,D,17,,,Tank,6L,M,TANK,From tanks - no conversion,,,
MFBLEND,D,18,,,Blend Code,12L,M,TANK,From tank Blend,,,
MFBATCH,D,19,,,Batch,7L,M,TANK,From tank Batch,,,
MFVOL,D,20,,,Volume,8R,M,TANK,From tank volume,,,
LITRES,D,21,,,R/Litres,8R,M,TANK,Litres removed from tank,,,
MFCOST,D,22,,MD40P,Cost/Ltr,8R,M,TANK,Standard cost per litre of tank blend,,,
PERC,D,23,,MD20P,% Comp,6R,M,TANK,Percentage of total Litres used,,,
TCOST,D,24,,MD40P,Tot Cost,8R,M,TANK,Total cost component,,,
VAR.AREA,D,25,,,VarArea,6L,M,COMP,Variety Area composition,,,
VALITRES,D,26,,,Litres,8R,M,COMP,Variety/Area Litres,,,
SVARIETY,D,27,,,Var,3L,M,SVAR,Variety summary,,,
SVAR.LITRES,D,28,,,Litres,8R,M,SVAR,Variety summary litres,,,
SAREA,D,29,,,Area,3L,M,SAR,Area Summary,,,
SAREA.LITRES,D,30,,,Litres,8R,M,SAR,Area summary litres,,,
STR,D,31,,,Str,5R,M,TANK,Tank STR chemistry,,,
RS,D,32,,,RS,5R,M,TANK,Tank RS chemistry,,,
TA,D,33,,,TA,5R,M,TANK,Tank TA chemistry,,,
BE,D,34,,,Be,5R,M,TANK,Tank BE chemistry,,,
ASTR,D,35,,,A/Str,5R,S,,Tank average STR,,,
ARS,D,36,,,A/RS,5R,S,,Tank average RS,,,
ATA,D,37,,,A/TA,5R,S,,Tank average TA,,,
ABE,D,38,,,A/Be,5R,S,,Tank average BE,,,
SC.VPA,D,39,,,VarPArea*Vint,10L,M,TANK,Tank Variety/Price code/Area/Vint (SV within VM),,,
SC.LITRES,D,40,,,Litres,8R,M,TANK,Tank summary composition litres (SV within VM),,,
UPDCNT,D,41,,,,4R,S,,READU Update count,,,
UPDBY,D,42,,,,10L,S,,READU Update by user id,,,
SVINT,D,43,,,Vint,4R,M,VINT,Vintage summary,,,
SVINT.LITRES,D,44,,,Vint,8R,M,VINT,Vintage summary litres,,,
VAR.AREA.VINT,D,45,,,VarAreaVint,10L,M,VCOMP,Variety/Area/Vint composition,,,
VAVLITRES,D,46,,,VarAreaV,8R,M,VCOMP,Variety/Area/Vint litres,,,
PRELIM.FINAL,D,47,,,P/F,1L,S,,,,,
COMMENT,D,48,,,Comment,40L,S,,,,,
PH,D,49,,,PH,5R,M,TANK,Tank PH chemistry,,,
VA,D,50,,,VA,5R,M,TANK,Tank VA chemistry,,,
HEAT,D,51,,,HEAT,5R,M,TANK,Tank HEAT chemistry,,,
COLD,D,52,,,COLD,5R,M,TANK,Tank COLD chemistry,,,
MALATE,D,53,,,MALATE,5R,M,TANK,Tank MALATE chemistry,,,
AVA,D,54,,,A/VA,5R,S,,Tank average VA,,,
AMALATE,D,55,,,A/MALATE,5R,S,,Tank average MALATE,,,
REQ.LITRES,D,56,,,Req Litres,8R,S,,,,,
PERC.FIX,D,57,,,Perc,1L,M,TANK,,,,
CALC.GR.LEVEL,D,58,,,Calc,2L,S,,,,,
D.VARIETY,D,59,,,Desired,3L,M,DVAR,,,,
DVARIETY,D,59,,,Var,3L,M,DVAR,Variety summary,,,
D.AREA,D,60,,,Desired,3L,M,DAREA,,,,
DAREA,D,60,,,Desired,3L,M,DAREA,,,,
D.VINT,D,61,,,Desired,4R,M,DVINT,,,,
DVINT,D,61,,,Vint,4R,M,DVINT,Vint summary,,,
D.PERC,D,62,,,Desired,5R,M,DVAR,,,,
MTTANK,D,67,,,Tank,5L,M,TO.TANK,To tanks,,,
LAST.UPD,D,68,,D2/,Last Update,8R,S,,Last Update Date,,,
CHITS,D,69,,,Chits,10L,S,,,,,
VAR.VINT,D,78,,,Variety,7L,S,,,,,
VVLITRES,D,79,,,Var,10L,S,,,,,
AREA.VINT,D,80,,,Area,7L,S,,,,,
AVLITRES,D,81,,,Area,10L,S,,,,,
FDATE,D,82,,D2/,Final,8R,S,,Final Date,,,
FDATE.E,D,82,,D4/E,Final,10R,S,,Final Date,,,
SG,D,83,,,SG,5R,M,TANK,Tank SG chemistry,,,
DENS,D,84,,,DENS,5R,M,TANK,Tank DENS chemistry,,,
