# Grange file: BWALLOC.OPSMOVE,source: winemaking.xlsm/BWA,downloaded: 2025-06-04
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,Cellar Note No.,10L,S,,Default record ID for RetrieVe,,,
CNOTE,D,0,,,Cellar Note No.,9L,S,,Cellar note number,,,
OPNOTE,D,0,,,Operation,13L,S,,Operation note number - AAAyynnnnn for user AAA / year yy / number nnnnn (for multiple operations generated from one may have -n suffix.),,,
OPSID,D,0,,,Cellar Note No.,13L,S,,@ID,,,
VOL.MOV.OUT,D,1,,MD10P,Vol Out,8R,S,,Total volume moved out of From tanks on the note,,,
VOL.MOV.IN,D,2,,MD10P,Vol In,8R,S,,Total volume moved into To tanks on the note,,,
FTANK,D,3,,,From Tank,6R,M,FT,From tank numbers,,,
FVOLB4,D,4,,MD10P,From Tank Vol B4,8R,M,FT,From tanks volume before operation,,,
FVOLAFT,D,5,,MD10P,From Tank Vol Aft,8R,M,FT,From tank volume after operation,,,
FUNALLB4,D,6,,MD10P,From Tank Unall B4,8R,M,FT,From tanks unallocated litres before operation,,,
FUNALLAFT,D,7,,MD10P,From Tank Unall Aft,8R,M,FT,From tanks unallocated litres after operation,,,
FGENERIC,D,8,,,From Tank Generic,3L,M,FT,"From tanks generic codes (allocations) - subvalued, corresponds with subvalues in FALLOCB4 and FALLOCAFT",,,
FALLOCB4,D,9,,MD10P,From Tank Alloc B4,6R,M,FT,"From tanks allocated litres before operation (subvalued, corresponds with generic codes in FGENERIC)",,,
FALLOCAFT,D,10,,MD10P,From Tank Alloc Aft,6R,M,FT,"From tanks allocated litres after operation (subvalued, corresponds with generic codes in FGENERIC)",,,
TTANK,D,11,,,To Tank,6R,M,TT,To tank numbers,,,
TVOLB4,D,12,,MD10P,To Tank Vol B4,8R,M,TT,To tanks volume before operation,,,
TVOLAFT,D,13,,MD10P,To Tank Vol Aft,8R,M,TT,To tank volume after operation,,,
TUNALLB4,D,14,,MD10P,To Tank Unall B4,8R,M,TT,To tanks unallocated litres before operation,,,
TUNALLAFT,D,15,,MD10P,To Tank Unall Aft,8R,M,TT,To tanks unallocated litres after operation,,,
TGENERIC,D,16,,,To Tank Generic,3L,M,TT,"To tanks generic codes (allocations) - subvalued, corresponds with subvalues in TALLOCB4 and TALLOCAFT",,,
TALLOCB4,D,17,,MD10P,To Tank Alloc B4,6R,M,TT,"To tanks allocated litres before operation (subvalued, corresponds with generic codes in TGENERIC)",,,
TALLOCAFT,D,18,,MD10P,To Tank Alloc Aft,6R,M,TT,"To tanks allocated litres after operation (subvalued, corresponds with generic codes in TGENERIC)",,,
FQUALITY,D,19,,,From Quality,4L,M,FT,From Quality code (@SV),,,
TQUALITY,D,20,,,To Quality,4L,M,TT,To Quality code (@SV),,,
FVINT,D,21,,,From Vint,4R,M,FT,From Tanks allocation Vintage year - subvalued,,,
TVINT,D,22,,,To Vint,4R,M,TT,To Tanks allocation Vintage - subvalued,,,
FQUALITY.AFT,D,23,,,From Tank Grade Level Aft,2L,M,FT,From Tank Grade Level After,,,
TQUALITY.AFT,D,24,,,To Tank Grade Level Aft,2L,M,TT,To Tank Grade Level After,,,
NRV,D,25,,,Net Realisable Value,1L,S,,Y/'' NRV (Net realisable value) flag,,,
COMP.YEAR.MTH,I,,"OCONV(MADATE,'DY4'):OCONV(MADATE,'DM')",,Completed Year & Month,6L,S,,Year & Month CHIT Completed,,,
CURR.YEAR.MTH,I,,"OCONV(DATE(),'DY4'):OCONV(DATE(),'DM')",,Current Year & Month,6L,S,,Current Year & Month,,,
DIFF,I,,ABS(TOT.TVOLAFT-TOT.TALLOCAFT),MD10P,Diff,10R,S,,,,,
FGENERIC.NAME,I,,"TRANS(GENERIC.FILE,FGENERIC,'NAME','X')",,Generic Name,30L,M,FT,Generic code description,,,
FPCNTB4,I,,"IF SUM(FVOLB4) THEN SUBR('!DIVS',FVOLB4,SUM(FVOLB4)) ELSE '';SUBR('!MULS',@1,REUSE(100))",MD20P,,6R,M,FT,,,,
FROM.ILEVEL,I,,"FTANK[1,1];TRANS(FIN.WH.CODE,@1,'ACC','X');@2[2];TTANK[1,1];TRANS(FIN.WH.CODE,@4,'AC C','X');@5[2]; IF @3 THEN @3 ELSE @6;SUBR('*GBWI1170',@7,CNOTE,13); SUBR('!SUBSTRINGS',@7,1,1)",,F,1L,M,FROM.TANKS,FROM INVENTORY LEVEL,,,
FUNALLAFT0,I,,FUNALLAFT+0,MD10P,From Tank Unall Aft,8R,M,FT,From tanks unallocated litres after operation,,,
FUNALLB40,I,,FUNALLB4+0,MD10P,From Tank Unall B4,8R,M,FT,From tanks unallocated litres before operation,,,
HOME.ACCOUNT,I,,"SUBR(SUBR.PENBW:'PBWZ800',FTANK<1,1>,'');SUBR(SUBR.PENBW:'PBWZ800',TTANK<1,1>,'');IF @1 THEN @1 ELSE @2",,Chit Account,10L,S,,,,,
MADATE,I,,"TRANS(BW.STD.CST.OPS,@ID,'MADATE','X')",D2/,Date Completed,8R,S,,Date Chit Completed,,,
MATIME,I,,"TRANS(BW.STD.CST.OPS,@ID,'MATIME','X')",MTS,Time Completed,8R,S,,Time Chit Completed,,,
MFBATCH,I,,"FTANK[1,1];TRANS(FIN.WH.CODE,@1,'ACC','X');@2[2];TTANK[1,1];TRANS(FIN.WH.CODE,@4,'AC C','X');@5[2]; IF @3   THEN @3 ELSE @6;SUBR('*GBWI1170',@7,CNOTE,55)",,From Batch,12L,M,FROM.TANKS,Chit from tank batch,,,
MFBLEND,I,,"FTANK[1,1];TRANS(FIN.WH.CODE,@1,'ACC','X');@2[2];TTANK[1,1];TRANS(FIN.WH.CODE,@4,'AC C','X');@5[2]; IF @3   THEN @3 ELSE @6;SUBR('*GBWI1170',@7,CNOTE,13)",,From Blend,12L,M,FROM.TANKS,Chit from tank blend,,,
MOPCD,I,,"SUBR('*PBWI822',@ID,5)",,OPER CODE,5L,S,,Operation identification code,,,
MTBATCH,I,,"FTANK[1,1];TRANS(FIN.WH.CODE,@1,'ACC','X');@2[2];TTANK[1,1];TRANS(FIN.WH.CODE,@4,'AC C','X');@5[2]; IF @3   THEN @3 ELSE @6;SUBR('*GBWI1170',@7,CNOTE,56)",,To Batch,12L,M,TO.TANKS,Chit to tank batch,,,
