# Grange file: BWALLOC,source: winemaking.xlsm/AL,downloaded: 2025-06-04
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
CHEMID,A,0,TMTANK;X;;11,,,,,,,,,
DPF.ID,A,0,G1*1 TDP.FORT;X;;0,,,,,,,,,
DPFID,A,0,G1*1 TDP.FORT;X;;0,,,,,,,,,
DPID,A,0,G1*1 TDP;X;;0,,,,,,,,,
OPSMOVE.ID,A,0,P(0X'*'0X'*'0X) A;LPV(G*1) TOPSMOVE;X;;0,,,,,,,,,
@ID,D,0,,,BWALLOC,30L,S,,Default record ID for RetrieVe,,,
LONGKEY,D,0,,,BWALLOC,30L,S,,Default record ID for RetrieVe,,,
TANK,D,0,,,Tank number,23L,S,,Tank number (including 'old style' small wood),,,
TANK.LONG,D,0,,,Tank Number,15L,S,,Tank Number,,,
TANK.VOL,D,1,,MD10P,Tank Volume,8R,S,,Volume of tank at last allocation (nb. not all of which may be allocated),,,
VOLUME,D,1,,MD10P,Tank Volume,8R,S,,Volume of tank at last allocation (nb. not all of which may be allocated),,,
GEN.VT,D,2,,,Gen Code Vint,6L,M,ALLOC,Generic codes  and vintage allocated,,,
GENERIC,D,2,,,Gen Code,3L,M,ALLOC,Generic codes allocated,,,
GRADE.LEVEL,D,3,,,Grade Level,2L,S,,Grade level for the Tank,,,
INIT.GV,D,3,,MD10P,Init GV,4R,S,ALLOC,Initial Grape Value for the tank,,,
QUALITY,D,3,,,Grade Level,4L,M,ALLOC,Quality,,,
LITRES,D,4,,MD00P,Litres Allocated,7R,M,ALLOC,Litres allocated to each code,,,
LITRES.2,D,4,,MD20P,Litres Allocated,7R,M,ALLOC,Litres allocated to each code,,,
ADATE,D,5,,D2/,Last All Date,8R,S,,Last allocation date,,,
ADATE.E,D,5,,D4/E,Last All Date,10R,S,,Last allocation date,,,
UPDCNT,D,6,,,UPDCNT,4R,S,,Record update count,,,
UPDBY,D,7,,,Updated By,15L,S,,Record updated by,,,
WINERY.ACCOUNT,D,8,,,Winery Account,15L,S,,Winery account applicable to tank,,,
IGL.DATE,D,9,,D2/,IGL Date,8L,S,,Date Initial Grade Level Entered,,,
IGL.DATE.E,D,9,,D4/E,IGL Date,10R,S,,Date Initial Grade Level Entered,,,
IGV.DATE,D,9,,D2/,IGV Date,8L,S,,Date Initial Grape Value Entered,,,
IGL.TIME,D,10,,MT,IGL Time,8L,S,,Time Initial Grade Level was entered,,,
IGV.TIME,D,10,,MT,IGV Time,8L,S,,Time Initial Grape Value was entered,,,
IGL.USER,D,11,,,IGL User Id,10L,S,,User Id of person who entered Initial Grade Level,,,
IGV.USER,D,11,,,IGV User Id,10L,S,,User Id of person who entered Initial Grape Value,,,
VINT,D,12,,,Vint,4R,M,ALLOC,Allocation vintage,,,
INT.TANK,D,13,,,I/T Tank,8L,S,,In-transit tank code (because key to BWALLOC for in-transit tanks is something other than the tank code - why?),,,
OLD.BLEND,D,17,,,Old Blend,12R,S,,- Old Blend prior to reclassification,,,
OLD.BATCH,D,18,,,Old Batch,12R,S,,- Old Batch prior to reclassification,,,
OLD.GENERIC,D,19,,,Gen Code,3L,M,ALLOC,Generic codes allocated,,,
IGL.COMMENT,D,20,,,IGL Comment,70L,M,,Initial Grade Level comment,,,
A.YEAR.AGO,I,,"OCONV(DATE(),'D4/');@[1,6]:@[4]-1;ICONV(@,'D4/')",D4/,A Year Ago,10R,S,,,,,
ACCOL.MPF,I,,"IF GEN.DESC[1] = ')' THEN GEN.DESC[4] ELSE GENERIC:' ';@1[1,3];IF PACK.CATEGORY = 5 THEN @2 ELSE GENERIC",,Accolade  MPF,3L,M,ALLOC,MPF used by Accolade in their system,,,
ACCOUNT,I,,@WHO,,,15L,S,,,,,
AFT.GRADE.LEVEL,I,,"OCONV(@ID,'G*1')+1:'*':OCONV(@ID,'G1*3'):'*4*':OCONV(@ID,'G5*1'); TRANS(BWALLOC.REPT,@,GRADE.LEVEL,'X')",,,23L,S,,,,,
ALC.CAT.CODE,I,,"IFS(ALC.CAT.ENTERED, ALC.CAT.ENTERED, REUSE(ALC.CAT.DEF.CODE))",,Alc Cat Code,2L,M,ALLOC,Alcohol Category Code,,,
ALC.CAT.DEF.CODE,I,,"TRANS(CONTROL, 'ALCOHOL.CATEGORY.DEFAULT', ALC.CAT.DEF.CODE, 'X')",,Def Alc Cat Code,2L,S,,Default Alcohol Category Code,,,
ALC.CAT.ENTERED,I,,"TRANS(GENERIC.FILE, GENERIC, ALC.CAT.ENTERED, 'X')",,Alc Cat Entered,2L,M,ALLOC,Alcohol Category Entered,,,
ALC.CAT.MAX,I,,"TRANS(ALCOHOL.CATEGORY, ALC.CAT.CODE, ALC.CAT.MAX, 'X')",MD20P,Max Alcs,5R,M,ALLOC,Maximum Target Alcohol that falls within this category,,,
ALC.CAT.MIN,I,,"TRANS(ALCOHOL.CATEGORY, ALC.CAT.CODE, ALC.CAT.MIN, 'X')",MD20P,Min Alc,5R,M,ALLOC,Lowest Target Alcohol that falls within this category,,,
ALC.CAT.RANGE,I,,"SPLICE(OCONVS(ALC.CAT.MIN,'MD20P'),' - ',OCONVS(ALC.CAT.MAX,'MD20P'))",,Alc Range,13L,M,ALLOC,Range of Target Alcohols within this category,,,
ALC.CAT.SDESC,I,,"TRANS(ALCOHOL.CATEGORY, ALC.CAT.CODE, ALC.CAT.SDESC, 'X')",,Desc,10L,M,ALLOC,Short Description of Alcohol Category,,,
