# Grange file: BWOPS.PRODMEAS,source: winemaking.xlsm/Prod,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
OPSMOVE.COMPLETE,A,0,TOPSMOVE;X;;1,,,,,,,,,
OPSMOVE.ID,A,0,TOPSMOVE;X;;0,,,,,,,,,
@ID,D,0,,,Chit No.,12L,S,,Default record ID for RetrieVe,,,
MCNOTE,D,0,,,Chit No.,12L,S,,Cellar Operation Instruction (chit) Number,,,
START.DATE,D,1,,D2/,Start Date,8L,S,,Start Date,,,
FINISH.DATE,D,2,,D2/,Finish Date,8L,S,,Finish Date,,,
SETUP.TIME,D,3,,,Setup Time,4L,S,,"Setup Time, Stored as HHMM, displayed as HH:MM",,,
OP.TIME,D,4,,,Oprn. Time,4L,S,,Operation Time,,,
FIN.TIME,D,5,,,Fin.Off Time,4L,S,,Finish Off Time,,,
DELAY.TIME,D,6,,,Delay Time,4L,M,DELAY,Delay Time,,,
DELAY.CODE,D,7,,,Delay Code,4L,M,DELAY,Delay Reason Code,,,
OPRNAME,D,8,,,Operator Names,20L,M,OPERATOR,"Operators Names, of Operators who worked on the Operation",,,
OPR.TIME,D,9,,,Oper. Time,4L,M,OPERATOR,"Operators Time, Time spent on the Operation by each Operator",,,
MAT.CODE,D,10,,,Material Code,12L,M,MATERIAL,"Material Codes, of Materials used for the Operation",,,
MAT.QTY,D,11,,MD20P,Matrl. Qty,10R,M,MATERIAL,"Material used, of Material Quantities in units as per ITEM.MSTR",,,
MACHINE,D,12,,,Machine Code,14L,M,MATERIAL,"Machine Codes, of Machines used to Perform the Operation",,,
MACHINES,D,12,,,Machine Code,14L,M,MACHINES,"Machine Codes, of Machines used to Perform the Operation",,,
R.MACHINES,D,12,,,Machine Code,14R,M,MACHINES,"Machine Codes, of Machines used to Perform the Operation",,,
STKHT,D,13,,,Stack Height,5R,S,,"Height of Stack, as number of Cradles",,,
BUNG,D,14,,,Bung Posn,2R,S,,Position of Bung Hole (o'clock position),,,
FORKLIFT,D,15,,,Forklift Code,14L,M,FORK,Forklift Machine Code,,,
FORKSTRT,D,16,,,Fork Start,8R,M,FORK,Forklist Start Times from Forklift Clock,,,
FORKFIN,D,17,,,Fork Finish,8R,M,FORK,Forklift Finish Times from Forklift Clock,,,
BRLTOP,D,18,,,No.of Barrels,5R,S,,Number of Barrels Topped,,,
TOPLTR,D,19,,MD10P,Litres,10R,S,,Amount of Wine Used,,,
FILLSTAT,D,20,,,Filling Station,10L,S,,Filling Station Name,,,
