# Grange file: CHEM.BOTT,source: winemaking.xlsm/CBo,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,CHEM.BOTT,10L,S,,Default record ID for RetrieVe,,,
CHIT.WCD.TANK,D,0,,,,22L,S,,"The file Id, CHIT*WINERY.CODE*TANK",,,
TREADINGNO,D,1,,,Reading,3R,M,CM1,Reading Number,,,
TREADVALUE,D,2,,,Result,10R,M,CM1,Result,,,
BLEND,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1)",,Blend,12L,S,,BLEND FROM OPSMOVE,,,
BLEND.CNOTE,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3",,,25L,S,,,,,
CHEADING,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'READINGNO', 'X'); SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'VALUE', 'X'); SUBR('*MERGE.CHBT.RSLT',RAISE(@5),TREADINGNO,RAISE(@10),'N'); TRANS(CHEMREAD,@11,CHEADING,'X')",,Tests,3R,M,MREAD,Merged CHEM.BOTT and MBLEND.CHEM reading numbers,,,
CNOTE,I,,"FIELD(@ID,'*',1)",,Chit,11L,S,,Chit Number,,,
FINAL,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'FINAL', 'X')",,Final,8R,M,READ,Final Reading,,,
HALF.HR,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'HALF.HR', 'X')",,Half Hour,8R,M,READ,Half Hour Reading,,,
HREADVALUE,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'READINGNO', 'X'); SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'HALF.HR', 'X'); SUBR('*MERGE.CHBT.RSLT',RAISE(@5),TREADINGNO,RAISE(@10),'V')",,Reading Nos,3R,M,MREAD,Merged CHEM.BOTT and MBLEND.CHEM reading numbers,,,
IREADVALUE,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'READINGNO', 'X'); SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'VALUE', 'X'); SUBR('*MERGE.CHBT.RSLT',RAISE(@5),TREADINGNO,RAISE(@10),'V')",,Reading Nos,3R,M,MREAD,Merged CHEM.BOTT and MBLEND.CHEM reading numbers,,,
LREADVALUE,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'READINGNO', 'X'); SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'FINAL', 'X'); SUBR('*MERGE.CHBT.RSLT',RAISE(@5),TREADINGNO,RAISE(@10),'V')",,Reading Nos,3R,M,MREAD,Merged CHEM.BOTT and MBLEND.CHEM reading numbers,,,
MREADINGNO,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'READINGNO', 'X'); SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'VALUE', 'X'); SUBR('*MERGE.CHBT.RSLT',RAISE(@5),TREADINGNO,TREADVALUE,'N')",,Reading Nos,3R,M,MREAD,Merged CHEM.BOTT and MBLEND.CHEM reading numbers,,,
MREADVALUE,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'READINGNO', 'X'); SUBR('*MERGE.CHBT.RSLT',RAISE(@5),TREADINGNO,TREADVALUE,'S')",,Reading Nos,3R,M,MREAD,Merged CHEM.BOTT and MBLEND.CHEM reading numbers,,,
PRODN.NOTES,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'PRODN.NOTES', 'X')",,Production notes,30L,M,PRODN,Production notes,,,
READINGNO,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'READINGNO', 'X')",,Readings,8R,M,READ,Reading numbers,,,
TANK,I,,"FIELD(@ID,'*',3)",,Tank,8L,S,,Tank Number,,,
VALUE,I,,"SUBR('*GBWI1170',WINERY.CODE,CNOTE,13);FIELD(@1,@VM,1);FIELD(@ID,'*',1);@2:'*':@3; TRANS(MBLEND.CHEM,@4,'VALUE', 'X')",,Initial,8R,M,READ,Initial Reading,,,
WINERY.CODE,I,,"FIELD(@ID,'*',2)",,Winery Code,3L,S,,Winery Code,,,
