# Grange file: CHEM,source: grange.xlsx/CHEM,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,CHEM,10L,S,,Default record for retrieve,,,
CHEMNO,D,0,,,CHEM NOTE,10L,S,,"Chemistry reference no. AAAAyynnnnn where AAA = User, yy = vintage,",,,
CTANK,D,1,,,CUR TANK,5T,S,,Current tank at time of tests,,,
CBLEND,D,2,,,BLEND ID,12T,S,,Current blend at time of tests,,,
CDATE,D,3,,D2/,TEST DATE,6R,S,,Date of first test reading entry on to file,,,
CDATE.E,D,3,,D4/E,TEST DATE,10R,S,,Date of first test reading entry on to file - 'E' date for restful,,,
CDATE8,D,3,,D2/,TEST DATE,8R,S,,Date of first test reading entry on to file,,,
CTIME,D,4,,MTS,TEST TIME,6R,S,,Time of first test reading entry on file,,,
CTIME8,D,4,,MTS,TEST TIME,8R,S,,Time of first test reading entry on file,,,
F4,D,4,,,,10R,S,,,,,
CREADINGNO,D,5,,,READING NO,2R,M,READING.VAL,Associated reading no. of test,,,
CVALUE,D,6,,,TEST VALUE,6R,M,READING.VAL,Chemistry analysis reading,,,
CCOMMENT,D,7,,,COMMENT,40T,S,,User available comment,,,
CCNOTE,D,8,,,OP NOTE#,6R,S,,Last cellar operation note no.,,,
COPCD,D,9,,,LAST OP CODE,3T,S,,Last cellar operation code,,,
CNEXTNO,D,10,,,NEXT CHEM NO,7R,S,,Next chemistry ref no for same blend,,,
CNEXTNO9,D,10,,,NEXT CHEM NO,9R,S,,Next chemistry ref no for same blend,,,
CPREVNO,D,11,,,PREV CHEM NO,7R,S,,Previous chemistry ref no for same blend,,,
CPREVNO9,D,11,,,PREV CHEM NO,9R,S,,Previous chemistry ref no for same blend,,,
CACTIV,D,12,,,REC ACTIV,1T,S,,"Record activity code, null = unregistered, R = registered/no",,,
CHEM.CACTIV,D,12,,,Chem,1T,S,,"Record activity code, null = unregistered, R = registered/no",,,
ADW.CRDATE,D,13,,,REQUEST DATE,6R,S,,Date Chemistry Analysis Requested,,,
CRDATE,D,13,,D2/,REQUEST DATE,6R,S,,Date Chemistry Analysis Requested,,,
CRDATE.E,D,13,,D4/E,REQUEST DATE,10R,S,,Date Chemistry Analysis Requested - 'E' date for restful,,,
ADW.CRTIME,D,14,,,REQ TIME,6R,S,,Time of Request,,,
CRTIME,D,14,,MTS,REQ TIME,6R,S,,Time of Request,,,
F14,D,14,,,,10R,S,,,,,
CBATCH,D,15,,,Batch,7L,S,,Group/Batch Number,,,
CGROUP,D,15,,,GROUP,7T,S,,Group/Batch Number,,,
NOUSE.NTANK,D,16,,,NEW,5T,S,,If Tank has been emptied this is the new tank that the chemistry is attached,,,
NTANK,D,16,,,NEW,5T,S,,If Tank has been emptied this is the new tank that the chemistry is attached,,,
UFLAG,D,17,,,URGENT,1L,M,READING.VAL,Flag Test as Being Urgent - 'Y' or '',,,
FROM.IBM,D,18,,,IBM,1L,S,,Flag record created from IBM file (ANLRESLT),,,
CVOLUME,D,19,,MD10P,Tanks,12R,S,,Tanks current volume,,,
MFVOL,D,19,,,,8R,,,Current tank volume at time of tests,,,
NOUSE.MFVOL,D,19,,,,8R,,,Current tank volume at time of tests,,,
PTANK,D,20,,,PREV TANK,12T,M,PDET,Previous Tank code,,,
PBLEND,D,21,,,PREV BLEND,12L,M,PDET,Previous Tank Blend,,,
PBATCH,D,22,,,P/BATCH,7L,M,PDET,Previous Tank Batch,,,
PCNOTE,D,23,,,MT C/NOTE,9L,M,PDET,Cellar Note Emptying tank,,,
WSHEET,D,24,,,WSHEET,4R,M,READING.VAL,Assigned Work Sheet Ids,,,
LIND,D,25,,,L,1R,S,,"Linked Indicator, null=linked / 1=unlinked / 2=unlinked after linked",,,
RDATE,D,26,,D2/,Regn Date,9R,S,,Registration date,,,
RDATE.E,D,26,,D4/E,Regn Date,10R,S,,Registration date - 'E' date for restful,,,
F27,D,27,,,,10R,S,,,,,
RTIME,D,27,,MTS,R/Time,6R,S,,Registration Time,,,
RSHORT.ID,D,28,,,RID,3L,S,,Short Id of the person who registered the CHEM note,,,
ANLAB,D,29,,,LAB,5L,S,,Registered analysis laboratory,,,
CTSTATUS,D,30,,,C/Stat,3L,,,Current Tank Status,,,
CGEN,D,31,,,Tanks,3L,M,GEN,Tanks current generic code,,,
GRLEV,D,32,,,Grade,2L,S,,Grade level,,,
CHIT.XREF,D,33,,,CHIT,10L,S,,,,,
COMP.PROG.ID,D,34,,,Completed Program ID,30L,S,,,,,
BLEND.PROP.ID,D,35,,,Blend,6R,S,,Blend proposal ID this TO Tank chemistry was raised against,,,
REQUEST.AGAINST,D,36,,,,2L,S,,'' Normal / 'SP' Spirit tanker / 'WO' Bottling work order,,,
PRINTED,D,37,,,Printed,1L,S,,Y if CHEM request has been printed (any doc type),,,
PRINT.OPTS,D,38,,,Print,10L,S,,Print options - list of codes for label types to print (and other actions),,,
DATES.PRINTED,D,39,,D4/,Dates,10R,M,PRINT,Dates CHEM requets has been printed,,,
TIMES.PRINTED,D,40,,MTS,Times,8R,M,PRINT,Times when CHEM request has been printed,,,
TYPES.PRINTED,D,41,,,Types,10L,M,PRINT,"Comma delimited list of doc types printed: AN - analysis label, TA - tasting label",,,
API.UPD,D,42,,,API,1L,S,,Created or updated by Grange 2020 API call,,,
LABEL.GROUP,D,43,,,,1L,M,READING.VAL,,,,
REFERENCE,D,44,,MC,,10L,S,,Tasting label reference,,,
WATERMARK,D,45,,MC,,4L,S,,Tasting label watermark,,,
SENT.TO.BMS,D,46,,FLAG,Sent to,1L,S,,Y if record has been sent to BMS.  Null if record has not yet been,,,
TASTE,D,47,,,,1L,S,,Checkbox used to tell BMS a tasting sample is required,,,
TASTE.SAMPLE.SIZE,D,48,,,,10L,S,,Tasting sample size,,,
TASTE.ROOM,D,49,,,,10L,S,,Tasting room,,,
WOP.WKORD,D,50,,,,4L,S,,Job number from related CHIT,,,
WOP.WKORD.SEQ,D,51,,,,2R,S,,Job sequence number from related CHIT,,,
LAB.SAMPLE.SIZE,D,52,,,,10L,S,,,,,
LAB.LAB,D,53,,,,10L,S,,Lab text as printed on label,,,
DATE.TO.BMS,D,54,,D4/,Date to,10R,S,,Date the chemistry was last sent to BMS,,,
DATE.TO.BMS.E,D,54,,D4/E,DATE TO,10R,S,,Date the chemistry was last sent to BMS,,,
TIME.TO.BMS,D,55,,MTS,TIME TO,8R,S,,Time the chemistry was last sent to BMS,,,
USERID.TO.BMS,D,56,,,USER ID,10L,S,,The userid who sent chemistry to BMS,,,
BMS.CREATE.TYPE,D,57,,,BMS,1L,S,,Flag to denote if the chemistry request was created with multiple,,,
SIZE,A,9999,,,,,,,,,,
ANLAB.DESC,I,,"TRANS(LAB,ANLAB,DESC,'X')",,Laboratory,30L,S,,Analysis laboratory description,,,
BATCHDESCP,I,,"TRANS(MBATCH,CGROUP,BATCH.DESC,'X')",,BATCH DESCRIPTION,30T,S,,Batch description,,,
BAUME,I,,"SUBR('*PZZI211','LOC.TYPE',2,CREADINGNO,CVALUE,'')",,Baume,6R,M,READING.VAL,BAUME reading value if there is one,,,
BLENDESCP,I,,"TRANS(MBLEND,CBLEND,BLENDESCP,'X')",,BLEND DESCRIPTION,30T,S,,Blend description,,,
BMS.NAME,I,,'Chemistry Analysis',,BMS NAME,12L,S,,BMS Name,,,
BMS.REQ.TYPE,I,,'Sample',,BMS REQ,6L,S,,BMS Request Type,,,
CACTIV.DESC,I,,"IF CACTIV = """" THEN ""Unregistered"" ELSE """";  IF CACTIV = ""R"" THEN ""Registered"" ELSE",,Status Description,16L,S,,,,,
CALC.STATUS,I,,IF LIND THEN CTSTATUS ELSE TSTATUS,,Status,3L,,,"MTANK status if CHEM linked, otherwise CHEM file status",,,
CHEADING,I,,"TRANS(CHEMREAD,CREADINGNO,CHEADING,'X')",,HEADING,6T,M,READING.VAL,Translation to Chemistry Reading File to obtain Headings,,,
CHEADINGU,I,,"CATS(IFS(UFLAG,REUSE('*'),REUSE('')),CHEADING)",,Heading,7L,M,READING.VAL,Chem reading heading with * prefix if test is Urgent,,,
CHEM.IDS,I,,"TRANS(CWORK.SHEETS,WSHEET,CHEM.IDS,'X')",,C/Request,9L,M,READING.VAL,Chemistry Request Ids,,,
CHITYEAR,I,,"@ID[4,2]",,CHIT,2R,S,,Vintage year of the chit,,,
CRDATE.DT,I,,"SUBR(""*GBWI202"",CRDATE,CRTIME):TZONE",,REQ DATE/TIME,12L,S,,CRDATE returned as date and time,,,
CREADINGS,I,,"CHEADING; CONVERT(@VM,' ',@)",,Readings,20L,,,List of all chemical readings delimited by ' ',,,
CREADINGS.LONG,I,,"CHEADING; CONVERT(@VM,' ',@)",,Readings,100L,,,List of all chemical readings delimited by ' ',,,
CREATE.EMAIL,I,,"TRANS(DEF.SYS.USERS,UPCASE(CREATE.USER),EMAIL,'X')",,Create by Email,20L,S,,Created user email,,,
CREATE.USER,I,,"TRANS(SHORTIDS,SHORTID,LOGNAME,'X')",,Created by,15L,S,,User who created,,,
CTANK.PREF2,I,,"CTANK[1,2]",,PREF,2L,,,Current Tank Prefix lenght 2,,,
CTANK.PREFIX,I,,"CTANK[1,1]",,P,1L,,,Current Tank Prefix,,,
DATE.PRINT.DT,I,,"IF LAST.DATE.PRINT # '' THEN SUBR(""*GBWI202"",LAST.DATE.PRINT,LAST.TIME.PRINT):TZONE",,PRINT DATE/TIME,12L,S,,DATE.PRINTED returned as date and time,,,
DDMM,I,,"OCONV(CRDATE,'D2/'); @[1,5]",,Date,5R,,,Request Date in format DD/MM,,,
EN.CHEADING,I,,"TRANS(CHEMREAD,EN.CREADINGNO,CHEADING,'X')",,Entered,6T,M,READING.EN,Translation to Chemistry Reading File to obtain Entered Headings,,,
EN.CREADINGNO,I,,"SUBR('*ITYPE.OS',CREADINGNO,CVALUE,1)",,En,2R,M,READING.EN,Entered readings,,,
EXIST,I,,"TRANS(OPSMOVE,CCNOTE,MOPCD,""X"")",,MOPCD,4L,S,,,,,
IGW.CREADINGNO,I,,IF CVALUE = '' THEN CREADINGNO ELSE '',,READING,2R,M,READING.VAL,READING NUMBER but only if there is NO VALUE,,,
INVALID.SHEETS,I,,"SUBR('*PZZI211','MVNOTINSV',WSHEET,WSHEET.READS,CREADINGNO,'')",,Invalid,4R,M,INV.SHEETS,Work Sheets that this chem shouldn't be on,,,
JK.CHECK,I,,"TRANS(MTANK,CTANK,TASCNOTES,'X'); SUM(SUBR(""!EQS"",@,REUSE(@ID)))",MD00P,Chem chits,3R,S,,,,,
JK.TCHEMNOTES,I,,"TRANS(MTANK,CTANK,CHEMNOTES,'X')",,TANK,12L,M,,Get chemnotes list from MTANK,,,
JK.YEAR,I,,"@ID[4,2]",MD00P,YEAR,2R,S,,,,,
JK.YR,I,,"@ID[4,2]",MD00P,YEAR,2R,,,CHIT YEAR,,,
LAST.DATE.PRINT,I,,"DATES.PRINTED<1,DCOUNT(DATES.PRINTED,@VM)>",D2/,Last Date,8R,S,,Date Last Printed,,,
LAST.TIME.PRINT,I,,"TIMES.PRINTED<1,DCOUNT(TIMES.PRINTED,@VM)>",MTS,Last Time,8R,S,,Time Last Printed,,,
LASTCHEMRDATE,I,,"TRANS(CHEM,TCHEMNO,RDATE,'X')",D2/,Last Chem,8R,S,,Date of registration of last chemistry request,,,
LENCVALUE,I,,LEN(CVALUE),,,2R,S,,,,,
LENID,I,,LEN(@ID),,Len,2R,S,,,,,
LENVALUE,I,,"SUBR(""!LENS"",CVALUE)",,LEN,4R,M,READING.VAL,,,,
LIND.DESC,I,,"IF LIND = """" THEN ""Linked""  ELSE """";  IF LIND = 1 THEN ""Unlinked"" ELSE """"  ; IF LIND",,,30L,S,,,,,
LOC.STACK,I,,"TRANS(BARREL.GROUP,CTANK,'LOC.STACK','X');SUBR('*FIRST.SV',@1)",,Location,9L,,,The first location and stack - for printing,,,
LOC.STACKS,I,,"TRANS(BARREL.GROUP,CTANK,'LOC.STACK','X');SUBR('*GMV.UNIQUE',RAISE(@));CONVERT(@VM,'",,Location,40L,,,The unique Loc/Stacks for the tank if a barrel group,,,
MACTIV,I,,"TRANS(CHIT,CHIT.XREF,'MACTIV','X')",,REC,1T,S,,,,,
MADATE,I,,"TRANS(OPSMOVE,CCNOTE,'MADATE','X')",D2/,COMPLETE,8R,S,,System completion date,,,
MATIME,I,,"TRANS(OPSMOVE,CCNOTE,'MATIME','X')",MTS,COMPLETE,9R,,,System Completion Time,,,
NO.RECS,I,,1,,NO.,6R,S,,,,,
NUM.ENTERED,I,,"DCOUNT(EN.CREADINGNO,@VM)",,Num,3R,S,,Number of entered readings,,,
NUM.ON.WSHEET,I,,"SUBR('*ITYPE.OS',CREADINGNO,WSHEET,1); DCOUNT(@1,@VM)",,Num,3R,S,,Number of readings on a work sheet,,,
NUM.TESTS,I,,"DCOUNT(CREADINGNO,@VM)",,Number,3R,S,,,,,
NUMID,I,,IF NUM(SHORTID) THEN 1 ELSE 0,,Num,1L,S,,,,,
OS.CHEADING,I,,"TRANS(CHEMREAD,OS.CREADINGNO,CHEADING,'X')",,O/s,6T,M,READING.OS,Translation to Chemistry Reading File to obtain O/s Headings,,,
OS.CREADINGNO,I,,"SUBR('*ITYPE.OS',CREADINGNO,CVALUE,'')",,O/s,2R,M,READING.OS,Outstanding readings,,,
PREFIX,I,,"CTANK[1,2]",,Tank,2L,S,,First 2 Characters of tank code,,,
PTANKCNT,I,,"DCOUNT(PTANK,@VM)",,Prev.,2R,S,,,,,
RDDMM,I,,"OCONV(RDATE,'D2/'); @[1,5]",,Date,5R,,,Registered Date in format DD/MM,,,
READCNT,I,,"DCOUNT(CREADINGNO,@VM)",,Count,3R,S,,Number of readings on chem,,,
REQ.MTH.YR,I,,"OCONV(RDATE,'D2')[6]",,Request,6L,S,,Request month & year,,,
SHORTID,I,,"@ID[1,3]",,SID,3L,S,,Requestor short Id,,,
SIX.MONTHS.AGO,I,,DATE() - 183,D2/,Six,8R,S,,,,,
SPI.NO,I,,"IF @ID[1,3]='SPI' THEN 0+@ID[5] ELSE 0",,,7R,S,,SPI Spirit based number,,,
STYLE,I,,"CBLEND[4,1]",,Style,1L,,,Blend Type,,,
TA.PRINT,I,,"IF INDEX(TYPES.PRINTED,'TA',1) THEN 'True' ELSE 'False'",,TA,1L,S,,Flag to denote if tasting label printed,,,
TBATCHNO,I,,"TRANS(MTANK,CTANK,TBATCHNO,'X')",,BATCH,7R,S,,Current Batch Number,,,
TBLEND,I,,"TRANS(MTANK,CTANK,TBLEND,'X')",,BLEND CODE,12T,S,,Current Blend Code,,,
TCHEADING,I,,"TRANS(CHEMREAD,TREADINGNO,CHEADING,'X')",,HEADING,6T,M,TCHEM,Translation to Chemistry Reading File to obtain Headings,,,
TCHEMNO,I,,"TRANS(MTANK,CTANK,TCHEMNO,'X')",,Last,9L,S,,Last chemistry Analysis Reference No,,,
TEMP,I,,"SUBR('*PZZI211','LOC.TYPE',1,CREADINGNO,CVALUE,'')",,Temp,6R,M,READING.VAL,TEMP reading value if there is one,,,
TREADINGNO,I,,"RAISE(TRANS(MTANK,CTANK,TREADINGNO,'X'))",,READ,3R,M,TCHEM,Current chemistry readings on tank,,,
TREADVALUE,I,,"RAISE(TRANS(MTANK,CTANK,TREADVALUE,'X'))",,READ,7L,M,TCHEM,Current chemistry values on tank,,,
TSTATUS,I,,"TRANS(MTANK,CTANK,TSTATUS,'X')",,T/Stat,3L,S,,Current Tank Status,,,
TZONE,I,,"SUBR(""*GET.TIMEZONE"","""")",,Time,6R,S,,Return Time Zone,,,
UIND,I,,"UFLAG; CONVERT('Y':@VM,'*',@); IF @ THEN '*' ELSE ''",,U,1L,S,,Urgent indicator for window lookup,,,
UNREG,I,,IF CHEM.CACTIV = '' THEN CHEMNO ELSE '',,Unreg,10L,S,,Unregistered chemistries,,,
WIND.READ,I,,"SUBR('*ITYPE.READ',@RECORD,'')",,O/S Readings (excl,30L,,,Display for window lookup (excl Worksheet entries),,,
WIND.READW,I,,"SUBR('*ITYPE.READ',@RECORD,'W')",,O/S Readings,30L,,,Display for window lookup (include Worksheet entries),,,
WSHEET.READS,I,,"TRANS(CWORK.SHEETS,WSHEET,CREADINGNO,'X')",,Work,3R,M,WSHEET.READ,Chem readings on the work sheet,,,
YEAR,I,,"@ID[4,2]",MD00P,YEAR,2R,S,,,,,
YEAR.MONTH,I,,"OCONV(RDATE,'D4/');@1[7,4]:' ':@1[4,2]",,Req,7L,S,,,,,
@ENTRO,PH,,CHEMNO CTANK CBLEND CDATE CTIME CREADINGNO CVALUE CCOMMENT CCNOTE COPCD CNEXTNO,,,,,,FOR ENTRO DEFAULT FIELD LIST CREATED 17:39:37 14 DEC 1983,,,
READING.VALUE,PH,,CREADINGNO CVALUE,,,,,,Association between test no & test value,,,
READINGS,PH,,CREADINGNO CHEADING CVALUE,,,,,,Association between test no & test value,,,
