# Grange file: CHIT,source: grange.xlsx/CHIT,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,CHIT,10L,S,,Default record ID for RetrieVe,,,
MCNOTE,D,0,,,Cellar Note,13L,S,,Cellar note number - AAAyynnnn for user AAA / year yy / number nnnn,,,
OPNOTE,D,0,,,Operation,10L,S,,Operation note number - AAAyynnnnn for user AAA / year yy / number,,,
MACTIV,D,1,,,REC,1T,S,,,,,
SYSTEM.USE.DONT.CHANGE.,D,1,,,SYSTEM USE DONT CHANGE,1L,,,SYSTEM USE DONT CHANGE,,,
MRDATE,D,2,,D2/,Required,8R,S,,Date operation required to be completed,,,
MRDATE.E,D,2,,D4/E,Required,10R,S,,Date operation required to be completed,,,
MRTIME,D,3,,MTS,Required,6R,S,,Time operation required to be completed,,,
MADATE,D,4,,D2/,Actual,8R,S,,Date actual action started,,,
MADATE.E,D,4,,D4/E,Actual,10R,S,,Date actual action started,,,
MATIME,D,5,,MTS,Complete,9R,,,Actual Time of Operation Completion,,,
MOPCD,D,6,,,Oper,4L,S,,Operation identification code,,,
LAST.OPSMOVE.SEQ,D,7,,,LAST,5R,S,,,,,
INSTRUCTIONS,D,8,,,Instructions,30L,M,INST,Instructions,,,
MPRNTFLAG,D,9,,,Prnt,2T,S,,"Print flag for Cellar Operation Notices.  NP = not yet printed, P = printed, M =",,,
MGAINLOSS,D,10,,,Gain/Loss,8R,S,,Gain or Loss Associated with this Cellar Note,,,
GL.REASON,D,11,,MC,Loss/Gain Reason,40L,M,GL.DETS,Loss/Gain Reason Why,,,
GL.INITS,D,12,,,Inits,3L,S,,Initials of Person Who Entered Loss/Gain Reason,,,
USERID,D,13,,,User Id,10L,M,USERID,User Identification,,,
WARNING.NO,D,14,,,Warning,5L,M,,Warning Numbers Xref'D to the WARNING.MESSAGES file,,,
VSUM.KEY,D,15,,,Vintage Summary File Key,46L,M,MTTANK,Unique key to the VINT.SUMM file,,,
CRSLOT,D,16,,,Crush,5R,M,CRSLOT,Crush slot number (key to crushplan),,,
SCREASON,D,17,,,REASON FOR,30L,M,,Reason for Summary Composition Correction,,,
WNOTE,D,18,,,Weigh Note,5R,M,CRSLOT,Weigh Note Number,,,
WNOTE.FINALISED,D,19,,,Weigh Note}Finalised,5R,S,,Weigh Note Finalised Flag,,,
