# Grange file: DESCRIPTION,source: winemaking.xlsm/Descip,downloaded: 2020-01-22
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,DESCRIPTION,10L,S,,Default record ID for RetrieVe,,,
DESCPKEY,D,0,,,DESCP KEY,20T,S,,"Description file record key,  format depenndant on content of record  -   Chemistry records - key is CHEM...   , Current Vintage year - key is MVYEAR ,  Company details & sequence nos.  - key is VINTSEQ",,,
CHEM.DESC,D,1,,,Description,70L,M,DESC,"""allowable"" Chemistry description",,,
DESCP,D,1,,,DESCRIPTION,40T,M,,Descriptive field defining subsequent fields content,,,
FLD1,D,1,,,FIELD NO. 1,11L,S,,Field Number 1,,,
DREADINGNO,D,2,,,READ NO,2R,M,CHEM.HEAD.R ANGE,Reading no of test,,,
DHEADING,D,3,,,CHEM TEST,6T,M,CHEM.HEAD.R ANGE,Chemistry test identification headings,,,
WOP.WKORD.CHITS,D,3,,,,13L,M,WOP.WKORD.C HITS,,,,
DRANGE1,D,4,,,CHEM RANGE,9T,M,CHEM.HEAD.R ANGE,Chemistry test allowable range - line 1,,,
WOP.WKORD.SEQ,D,4,,,,2R,M,WOP.WKORD.C HITS,,,,
DRANGE2,D,5,,,CHEM RANGE,9T,M,CHEM.HEAD.R ANGE,Chemistry test allowable range - line 2,,,
DUOM,D,6,,,UNIT OF MEASURE,9T,M,CHEM.HEAD.R ANGE,Chemistry test unit of measure,,,
CHEMA.AUTOCALC,D,7,,,Auto Calc Flag,1L,M,CHEM.HEAD.R ANGE,CHEMA record: Automatic calculation flag,,,
MVYEAR,D,7,,,YEAR CURR,4T,S,,Current Vintage Year,,,
COMPCD,D,8,,,COMP CODE,2T,M,COMP,Company codes for all allowable companys  NOTE - MUST mod prog FRM020 to include all these codes for validation,,,
COMPNAME,D,9,,,COMP NAME,40T,M,COMP,"Company name for heading up reports - weighbridge notes , allocations,committments etc.",,,
COMPADRS1,D,10,,,ADDRESS 1,30T,M,COMP,Address 1,,,
COMPADRS2,D,11,,,ADDRESS 2,30T,M,COMP,Address 2,,,
COMPADRS3,D,12,,,ADDRESS 3,30T,M,COMP,Address 3,,,
COMPADRS4,D,13,,,ADDRESS 4,30T,M,COMP,Address 4,,,
COMPPHONE,D,14,,,PHONE NO,12T,M,COMP,Company phone no.,,,
COMPSEQ,D,15,,,SEQ NO,5R,M,COMP,Sequence no for next weighbridge note & GRAPERECPT file sequence no.,,,
NEXTCNOTE,D,16,,,NEXT CELLAR,4R,S,,Next cellar note number to be assigned,,,
NEXTCHEMNO,D,17,,,NEXT CHEM NO,6R,S,,Next chemistry request no. to be assigned,,,
VINTSEQ,D,18,,,VINTAGE SEQUENCE,5R,S,,Sequence no for next vintage intake record,,,
DREAD,D,19,,,READ NO,2R,M,,CHEMS... records -  Standard Reading Nos for Chemistry,,,
DTANK,D,20,,,TANK NO,5T,M,,CHEMS... records -  Tank Numbers for Chemistry Analysis,,,
MTHSTART,D,21,,,START DATE,8R,S,,START DATE OF MONTH TO BE CLOSED,,,
PAYSEQ,D,21,,,PAY NO,2T,S,,Next sequence no for payment run - Key is Vintage:Payseq,,,
MTHEND,D,22,,,MONTH END DATE,8R,S,,END DATE OF MONTH TO BE CLOSED,,,
LMTHEND,D,23,,,LAST MONTH END DATE,8R,S,,LAST MONTH END DATE OF MONTH CLOSED,,,
COMPNM,,,,,,,,,,,,
DESCPCNT,I,,"DCOUNT(DESCP,@VM)",,,2R,S,,,,,
DREADINGCNT,I,,"DCOUNT(DREADINGNO,@VM)",,,3R,S,,,,,
ID16,I,,"@ID[5,16]",,Standard Chemistry Code,16L,S,,"Characters 5 to the end of @ID, used for CHEMxxx record Id's",,,
ID3,I,,"@ID[5,3]",,Standard Chemistry Code,3L,S,,"Characters 5 to the end of @ID, used for CHEMxxx record Id's",,,
LAB.DESC,I,,"TRANS(LAB,FLD1,DESC,'X')",,DESCRIPTION,30L,S,,,,,
UDESCP,I,,UPCASE(DESCP),,Description,30L,S,,UPCASE description for popup restriction (not case sensitive),,,
WHO,I,,@WHO,,@WHO,10L,S,,,,,
