# Grange file: DIPTABLE,source: winemaking.xlsm/DipTbl,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,DIPTABLE,10L,S,,Default record ID for RetrieVe,,,
DTABLE,D,0,,,DIP,6T,S,,Dip Table ID,,,
DIPDESCP,D,1,,,DIP TABLE DESCRIPTION,40T,S,,Dip Table Description,,,
DCAP,D,2,,"MD10,",TANK,11R,S,,Tank Capacity,,,
DCAP.1,D,2,,"MD10,",Tank,11R,S,,Tank Capacity,,,
DIPUOM,D,3,,,DIP,2T,S,,Dip table unit of measure,,,
DVOLUOM,D,4,,,VOL,2T,S,,Volume unit of measure,,,
DIP12,D,5,,MD10P,DIP FOR,6R,S,,Dip at junction of section 1/2,,,
DIP23,D,6,,MD10P,DIP FOR,6R,S,,Dip at junction of section 2/3,,,
DIP34,D,7,,MD10P,DIP FOR,6R,S,,Dip at junction of section 3/4,,,
DIP45,D,8,,MD10P,DIP FOR,6R,S,,Dip at junction of section 4/5,,,
DIP5,D,9,,MD10P,DIP END,6R,S,,Dip at end of section 5,,,
DIPMIN,D,10,,MD10P,MIN DIP,7R,S,,Minimum DIP,,,
DIPMAX,D,11,,MD10P,MAX DIP,10R,S,,Max DIP,,,
COEFA,D,12,,,COEFICIENT A,15R,M,TABLE,Polynomial coeficient for expression  -   DIP = A + Bx + Cx2 + Dx3 + Ex4 + Fx5,,,
COEFB,D,13,,,COEFICIENT B,15R,M,TABLE,,,,
COEFC,D,14,,,COEFICIENT C,15R,M,TABLE,,,,
COEFD,D,15,,,COEFICIENT D,15R,M,TABLE,,,,
COEFE,D,16,,,COEFICIENT E,15R,M,TABLE,,,,
COEFF,D,17,,,COEFICIENT F,15R,M,TABLE,,,,
DIPCODE,D,18,,,DIP,1T,S,,"Code of Dip - T if Table, F for dimensioned tanks (formulae), S for",,,
D.BASE.HEIGHT,D,19,,,Section,7R,M,SECTIONS,Height from bottom of tank of the base of this section (mm),,,
DIPREAD,D,19,,MD10P,DIP READ,6R,M,DIP.VOL,Dip Reading - (stored as internal values- not xx.x),,,
D.TOP.HEIGHT,D,20,,,Section,7R,M,SECTIONS,Height from bottom of tank of the top of this section (mm),,,
DIPVOL,D,20,,MD00P,DIP VOLUME,8R,M,DIP.VOL,Dip Volume Levels,,,
D.BASE.DIAM,D,21,,,Section,7R,M,SECTIONS,Diameter of the base of this section (mm),,,
D1,D,21,,MD10P,BASE,6R,M,DIMENSIONS,BASE DIAMETER OF CONE/CYLINDER,,,
D.TOP.DIAM,D,22,,,Section,7R,M,SECTIONS,Diameter of the top of this section (mm),,,
D2,D,22,,MD10P,TOP,6R,M,DIMENSIONS,TOP DIAMETER SPIRIT TABLE REFERENCE,,,
D.SVOL,D,23,,MD10P,Section,10R,M,SECTIONS,Section Volume (Litres),,,
DHT,D,23,,MD10P,HEIGHT,6R,M,DIMENSIONS,HEIGHT OF SPIRIT TABLE,,,
DDATE,D,24,,D2/,LAST MAINT,6R,S,,LAST DATE OF MAINTENANCE,,,
D.NEGATIVE,D,25,,,Section,1L,M,SECTIONS,Section has negative volume (Y),,,
OFFSET,D,25,,MD10P,OFFSET,6R,S,,OFFSET FOR ZERO DIP,,,
D.SCYL,D,26,,,Section,1T,M,SECTIONS,Flag (Y) for sliced cylindrical section,,,
DCYL,D,26,,,SLICED,1T,M,DIMENSIONS,Flag (Y) for sliced cylindrical section,,,
DRYDIP,D,27,,,DRY,1T,S,,"Dry Dip (Y), Wet Dip ( )",,,
IBM.CONVERT,D,28,,,IBM,5T,S,,Converted from IBM,,,
D.FULL.CONE.HT,D,29,,,full,7R,M,SECTIONS,Full cone height - calculated and stored for truncated cones.,,,
D.SECTION.TYPE,D,30,,,Section,2L,M,SECTIONS,"Section type - cylinder (CY), sliced cylinder (SC), cone (CO) or",,,
NOMCAP,D,31,,MD10P,Nominated,10R,S,,Nominated tank capacity (type T only),,,
HBOTNECK,D,32,,MD10P,Height,10R,S,,Height of bottom of neck (type T only) - in Dip unit of measure,,,
NECKDIAM,D,33,,MD10P,Neck,10R,S,,Neck diameter (type T only),,,
BRL.DIAM,D,34,,MD10P,Barrel,10R,S,,Barrel diameter (type T only),,,
DIPHBOTNECK,D,35,,MD10P,Dip of,10R,S,,The dip associated with HBOTNECK - will be different to HBOTNECK for,,,
ABSCAPDIP,I,,"IF DCAP THEN SUBR(SUBR.PENBW:""PBWZ171"",@RECORD,DCAP,""D@"") ELSE ''",MD10P,Absolute,10R,S,,Calculation of the maximum dip from the maximum capacity (type T,,,
ABSCAPDIPDRY,I,,"IF DRYDIP THEN IF DCAP THEN SUBR(SUBR.PENBW:""PBWZ171"",@RECORD,DCAP,""D@"") ELSE ''",MD10P,Absolute,10R,S,,Calculation of the maximum dip from the maximum capacity (type T,,,
AUD.BREAK,I,,IF AUD.CODE = 1 THEN 1 ELSE IF AUD.CODE = 3 THEN 1 ELSE IF AUD.CODE = 2 THEN 2 ELSE,,,1L,S,,Group deletions and before images together and creations and after,,,
AUD.CODE,I,,"FIELD(@ID,'*',5)",,AUDIT,1L,S,,Audit action code,,,
AUD.DATE,I,,"FIELD(@ID,'*',2)",D2/,AUDIT,8R,S,,Audit date,,,
AUD.DESC,I,,"FIELD('Deleted*Created*Before*After','*',AUD.CODE,1)",,AUDIT DESC,8L,S,,Audit description,,,
AUD.KEY,I,,"FIELD(@ID,'*',4)",,AUDIT KEY,10L,S,,Audit key,,,
AUD.SDESC,I,,"FIELD('Del*Cre*Bef*Aft','*',AUD.CODE,1)",,Aud,3L,S,,Short description for Audit Code,,,
AUD.SEQNO,I,,"FIELD(@ID,'*',1)",,AUDIT,6R,S,,Audit Sequence number,,,
AUD.TIME,I,,"FIELD(@ID,'*',3)",MT,AUDIT,8R,S,,Audit time,,,
AUD.USER,I,,"FIELD(@ID,'*',6)",,User Name,15L,S,,User name,,,
DCAPNUM,I,,(DCAP + 0) * 10,MD1,Tank,10R,S,,,,,
DIP.LST,I,,"IF DRYDIP # 'Y' THEN DIPREAD ELSE SUBR(""*PZZI211"",""INV"",(REUSE(DIPMAX) -",MD10P,DIP,6R,S,,Dip taking inti account DRYDIP possibilty,,,
DIP.TYPE,I,,IF DIPUOM = 'LT' OR DIPUOM = 'UN' THEN 'LITRES' ELSE IF DRYDIP = 'Y' THEN 'DRY' ELSE,,DIP TYPE,8L,S,,,,,
DIPHBOTNECKDRY,I,,IF DRYDIP THEN DIPHBOTNECK ELSE '',MD10P,Dip,10R,S,,Displays the dip of the height of bottom of neck is dry dip used.,,,
DIPMAXDRY,I,,IF DRYDIP THEN DIPMAX ELSE '',MD10P,Max,10R,S,,Maximum (empty) dip if dry dip used,,,
FIRST.TANK,I,,"TANKS<1,1,1>",,Tank,5L,S,,,,,
JK.CHECK,I,,"IF DIPCODE = 'T' THEN SUM(SUBR('!GTS',DIPREAD,REUSE(DIPMAX))) ELSE ''",MD00P,MAXDIP:DIP READ,3R,S,,,,,
LAST.YEAR,I,,"OCONV(DATE(),'D4/');@1[4]-1;""01/01/"":@2;ICONV(@3,'D4/')",D4/,1 Jan Last year,10R,S,,,,,
MAXVOL.CALC,I,,"IF DRYDIP = 'Y' THEN SUBR(SUBR.PENBW:""PBWZ171"",@ID,DIPMIN,""V"") ELSE",MD10P,Maximum,6R,S,,Calculation of the MAXIMUM VOLUME from the dip,,,
MAXVOL.CALC.M1,I,,MAXVOL.CALC - 1,MD10P,Maximum,6R,S,,Calculation of the MAXIMUM VOLUME from the dip - 1,,,
MAXVOL.CALC.P1,I,,MAXVOL.CALC + 1,MD10P,Maximum,6R,S,,Calculation of the MAXIMUM VOLUME from the dip + 1,,,
MTVOL,I,,"SUBR(SUBR.PENBW:""PBWZ171"",@ID,'MT',""V"")",MD10P,Volume,10R,S,,Calculation of the empty volume,,,
NOMMAXDIP,I,,"IF NOMCAP THEN SUBR(SUBR.PENBW:""PBWZ171"",@RECORD,NOMCAP,""D@"") ELSE ''",MD10P,Nominated,10R,S,,Calculation of the nominated maximum dip from the nominated maximum,,,
NOMMAXDIPDRY,I,,"IF DRYDIP THEN IF NOMCAP THEN SUBR(SUBR.PENBW:""PBWZ171"",@RECORD,NOMCAP,""D@"") ELSE ''",MD10P,Nominated,10R,S,,Calculation of the nominated maximum dip from the nominated maximum,,,
NOMMAXDIPWET,I,,"IF NOMCAP THEN SUBR(SUBR.PENBW:""PBWZ171"",@RECORD,NOMCAP,""WD@"") ELSE ''",MD10P,Nominated,10R,S,,Calculation of the nominated maximum dip from the nominated maximum,,,
SPLIT.DIP,I,,"SUBR(""*PZZI211"",""SPLIT"",DIP.LST,3,'','')",MD10P,DIP,6R,S,,Sub-valued Dips split into 3 multi-values,,,
SPLIT.DIP.1,I,,"FIELD(SPLIT.DIP,@VM,1)",MD10P,DIP,6R,S,,First column of dips,,,
SPLIT.DIP.2,I,,"FIELD(SPLIT.DIP,@VM,2)",MD10P,DIP,6R,S,,Second column of dips,,,
SPLIT.DIP.3,I,,"FIELD(SPLIT.DIP,@VM,3)",MD10P,DIP,6R,S,,Third column of dips,,,
SPLIT.VOL,I,,"SUBR(""*PZZI211"",""SPLIT"",VOL.LST,3,'','')",MD00P,VOLUME,8R,S,,Sub-valued Dip Volumes split into 3 multi-values,,,
SPLIT.VOL.1,I,,"FIELD(SPLIT.VOL,@VM,1)",MD00P,VOLUME,8R,M,,First column of split volumes,,,
SPLIT.VOL.2,I,,"FIELD(SPLIT.VOL,@VM,2)",MD00P,VOLUME,8R,M,,Second column of split volumes,,,
SPLIT.VOL.3,I,,"FIELD(SPLIT.VOL,@VM,3)",MD00P,VOLUME,8R,M,,Third column of split volumes,,,
TANKS,I,,"TRANS(I.DIPTABLE.TANK,@ID,'TANKS','X')",,TANKS,6L,M,TANKS,,,,
VOL.LST,I,,"IF DRYDIP # 'Y' THEN DIPVOL ELSE SUBR(""*PZZI211"",""INV"",DIPVOL,'','','')",(REUSE(DCAP) -,MD00P,VOLUME,8R,S,Volume for the corresponding wet or dry dip,,,
VOLBOTNECK,I,,"IF HBOTNECK THEN SUBR(SUBR.PENBW:""PBWZ171"",@ID,DIPHBOTNECK,""V"") ELSE ''",MD10P,Volume,10R,S,,Calculation of the volume at the bottom of the neck from the dip,,,
VOLBOTNECK.ES,I,,"IF HBOTNECK THEN SUBR(SUBR.PENBW:""PBWZ171"",@RECORD,DIPHBOTNECK,""V@"") ELSE ''",MD10P,Volume,10R,S,,Calculation of the volume at the bottom of the neck from the dip.,,,
WIM.BU,I,,"TRANS(WINERY.LOCATION,WINERY.LOCATION,'WIM.WINERY','X')",,WIM,12L,S,,WIM business unit,,,
WIM.CODE,I,,"FIELD(RAISE(WIM.WINERY),@VM,1)[1,3];DTABLE[1,3];IF @2 = 'SVR' THEN DTABLE[4,9] ELSE",,WIM DIP,8L,S,,WIM DIP CHART CODE,,,
WIM.DIPMIN,I,,"IF DIPREAD<1,1> = 0 THEN DIPREAD<1,2> ELSE DIPREAD<1,1>",,WIM,10R,S,,WIM MIN DIP (WIM doesn't have 0 entries),,,
WIM.WINERY,I,,"TRANS(WINERY.LOCATION,WINERY.LOCATION,'WIM.WINERY','X')",,WIM,3L,M,TANKS,WIM winery code,,,
WINERY.LOCATION,I,,"TRANS(MTANK,TANKS,'WINERY.LOCATION','X')",,Winery,2L,M,TANKS,Winery Location,,,
WINERY.LOCN,I,,"WINERY.LOCATION<1,1,1>",,Wnry,2L,S,,First winery location,,,
WINERY.SORT,I,,"IF WINERY.LOCATION<1,1,1> EQ '' THEN '~~' ELSE WINERY.LOCATION<1,1,1>",,Wnry,2L,S,,Winery location sort,,,
*,PH,,ID.SUP DTABLE DIPDESCP DCAP DIPUOM DVOLUOM DIP12 DIP23 DIP34 DIP45 DIP5 DIPMIN,,,,,,List all fields,,,
@ENTRO,PH,,DTABLE DIPDESCP DCAP DIPUOM DVOLUOM DIP12 DIP23 DIP34 DIP45 DIP5 DIPMIN DIPMAX COEFA,,,,,,FOR ENTRO DEFAULT FIELD LIST CREATED 16:07:04 28 NOV 1984,,,
@LPTR,PH,,DTABLE DIPDESCP DCAP DIPUOM DVOLUOM DIP12 DIP23 DIP34 DIP45 DIP5 DIPMIN DIPMAX COEFA,,,,,,,,,
AUD.ALL,PH,,AUD.SEQNO AUD.DATE AUD.TIME AUD.KEY AUD.DESC AUD.BREAK AUD.USER ID.SUP,,,,,,All parts of Audit Key,,,
BY.AUDIT,PH,,BY AUD.DATE BY AUD.TIME BY AUD.CODE ID.SUP AUD.DATE AUD.TIME FMT '5R' AUD.USER,,,,,,,,,
DIMENSIONS,PH,,D1 D2 DHT DCYL,,,,,,,,,
DIP.VOL,PH,,DIPREAD DIPVOL,,,,,,,,,
TABLE,PH,,COEFA COEFB COEFC COEFD COEFE COEFF,,,,,,,,,
DEFINE.NEXT.ATTR,X,,36,,,,,,,,,
