# Grange file: DP,source: winemaking.xlsm/DP,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,Blend/Batch,21L,S,,BLEND/BATCH,,,
GRPNO,D,0,,,Blend / Batch,21L,S,,"Blend :""/"": Group  ie.  00MRP/138",,,
CNOTES,D,1,,,C/Note#,13L,M,CNOTES,Last Cellar operations note no.s  - multi valued since last time tank was MT,,,
STORESTACK,D,5,,,Barrel/ Stack,7R,M,DPMV,Store : @SV : Stack,,,
INUSE,D,7,,,In Use,5R,M,DPMV,"Stack in use flag -  ""*"" in use, "" "" empty, """" not ever used, ""-"" operation started but not yet updated",,,
CASKNO,D,8,,,Cask No,5R,M,DPMV,Cask No.,,,
DATE.IN,D,9,,,Date in Wood,8R,M,DPMV,"Date In Wood: DP file = DDMMYY, DP.FORT file = MMYY",,,
DIWOOD,D,9,,,Date in Wood,8R,M,DPMV,"Date In Wood: DP file = DDMMYY, DP.FORT file = MMYY",,,
LASTOA,D,11,,,Last O/A,6R,M,DPMV,Last operations note no.,,,
VOLUME,D,12,,MD00P,Volume,7R,M,SS,Volume,,,
AVGVOL,D,13,,MD10P,Average Volume,10R,M,DPMV,Average Volume,,,
WINERY.CODE,D,14,,,Winery Code,2L,S,,Winery Code,,,
ALLOC.ID,I,,"'SW*':@ID;TRANS(BWALLOC,@1,'@ID','X')",,Allocation Id,10L,S,,,,,
BATCH,I,,"FIELD(@ID,'/',2)",,BATCH NO,7R,S,,,,,
BATCH.DESC,I,,"TRANS(MBATCH,BATCH,'BATCH.DESC','X')",,Batch Description,30L,S,,Batch Description,,,
BLEND,I,,"FIELD(@ID,'/',1)",,Blend,12L,S,,Blend code,,,
BLENDESCP,I,,"TRANS(MBLEND,BLEND,'BLENDESCP','X')",,BLEND DESCRIPTION,30T,S,,Blend description,,,
BWA.ID,I,,"TRANS(BWALLOC,('SW*':@ID),VOLUME,'X')",,,23L,S,,,,,
BWALLOC.ID,I,,"'SW*':@ID;TRANS(BWALLOC,@1,@ID,'X')",,,10L,S,,,,,
CASK.RANGE,I,,"SUBR(SUBR.PENBW:'DP.FORT.SUB',STORESTACK,INUSE,CASKNO,DATE.IN,AVGVOL,'1')",,Cask Range,7L,M,CASK.RANGE,Cask number range of inuse casks for a store/stack,,,
CASK.RANGE.AV,I,,"SUBR(SUBR.PENBW:'DP.FORT.SUB',STORESTACK,INUSE,CASKNO,DATE.IN,AVGVOL,'4')",,Ave Vol,6R,M,CASK.RANGE,average volume related to a cask number range,,,
CASK.RANGE.DI,I,,"SUBR(SUBR.PENBW:'DP.FORT.SUB',STORESTACK,INUSE,CASKNO,DATE.IN,AVGVOL,'3')",D2/,Date in Wood,8R,M,CASK.RANGE,Date in wood related to a cask number range,,,
CASK.RANGE.SS,I,,"SUBR(SUBR.PENBW:'DP.FORT.SUB',STORESTACK,INUSE,CASKNO,DATE.IN,AVGVOL,'2')",,Store Stack,7L,M,CASK.RANGE,Store/Stack related to a cask number range,,,
CASK.RANGE.VOL,I,,"SUBR(SUBR.PENBW:'DP.FORT.SUB',STORESTACK,INUSE,CASKNO,DATE.IN,AVGVOL,'5')",MD10P,Cask Range Volume,10R,M,CASK.RANGE,volume related to a cask number range,,,
CASKNO.DP,I,,"SUBR('!IFS',INUSE,CASKNO,'')",,Cask No,5R,M,DPMV,Cask No.,,,
CASKNO.INUSE,I,,"SUBR(SUBR.PENBW:'PBWI983',INUSE,CASKNO)",,Cask No,5R,M,DPMV,Cask No.,,,
CASKNO.TW,I,,"SUBR('!ADDS',INUSE,REUSE(0)); SUBR('!IFS',@1,CASKNO,'')",,Cask No,5R,M,DPMV,Cask No.,,,
COUNT.INUSE,I,,"COUNT(INUSE,'*')",MD00P,No. in Use,5R,,,,,,
GROUP,I,,"FIELD(@ID,'/',2)",,Batch,7L,S,,Batch code,,,
ILEVEL,I,,"TRANS(MTANK,'SW*':@ID,ILEVEL,'X')",,Ilevel,4L,S,,Tank Inventory Level Code,,,
ITEM.PREF,I,,"TRANS(ILEVEL.XLATE,ILEVEL,ITEM.PREF,'X')",,Item Prefix,1L,S,,,,,
MTANK.BLEND,I,,"TRANS(MTANK,'SW*':@ID,TBLEND,'X')",,Tank Blend,10L,,,Tank Master Blend,,,
MTANK.STATUS,I,,"TRANS(MTANK,'SW*':@ID,TSTATUS,'X')",,Wine Status,5L,,,Tank Master Wine Status,,,
