# Grange file: EXTRATES,source: winemaking.xlsm/Ex,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,EXTRATES,12L,S,,Key of Chit number : '*' : seqno,,,
TANK,D,1,,,Tank,5L,S,,Tank Id,,,
PWINERY,D,2,,,PW,2L,S,,Process winery,,,
STYLE,D,3,,,S,1L,S,,Blend style,,,
COMP.KEY,D,4,,,Composition key,14L,S,,Composition key,,,
LITRES,D,5,,MD10P,Litres,9R,S,,Litres,,,
TONNES,D,6,,MD20P,Tonnes,8R,S,,Tonnes,,,
AREA,I,,"COMP.KEY[4,3]",,Area,3L,S,,,,,
CLAR.JCE,I,,IF PLEVEL = 'D' THEN EXTRATE ELSE 0,MD10P,Clarified Juice Rate,5R,S,,Clarified Juice Extraction Rate,,,
CLAR.JCE.EXT,I,,IF TOTAL(CLAR.JCE.TON) = 0 THEN 0 ELSE TOTAL(CLAR.JCE.LITRE) / TOTAL(CLAR.JCE.TON),MD10P,Clarified Juice Rate,6R,S,,Clarified Juice Extraction Rate,,,
CLAR.JCE.LITRE,I,,IF PLEVEL = 'D' THEN LITRES ELSE 0,MD10P,Clarified Juice Litres,9R,S,,Clarified Juice Litres,,,
CLAR.JCE.TON,I,,IF PLEVEL = 'D' THEN TONNES ELSE 0,MD20P,Clarified Juice Tonnes,8R,S,,Clarified Juice Tonnes,,,
EXTRATE,I,,IF TONNES+0 # 0 THEN LITRES/TONNES ELSE 0,MD10P,Extraction Rate,5R,S,,,,,
FER.WINE,I,,IF PLEVEL = 'G' THEN EXTRATE ELSE 0,MD10P,Fermenting Wine Rate,5R,S,,Fermenting Wine Extraction Rate,,,
FER.WINE.EXT,I,,IF TOTAL(FER.WINE.TON) = 0 THEN 0 ELSE TOTAL(FER.WINE.LITRE) / TOTAL(FER.WINE.TON),MD10P,Fermenting Wine Rate,6R,S,,Fermenting Wine Extraction Rate,,,
FER.WINE.LITRE,I,,IF PLEVEL = 'G' THEN LITRES ELSE 0,MD10P,Fermenting Wine Litres,9R,S,,Fermenting Wine Litres,,,
FER.WINE.TON,I,,IF PLEVEL = 'G' THEN TONNES ELSE 0,MD20P,Fermenting Wine Tonnes,8R,S,,Fermenting Wine Tonnes,,,
FIN.WINE,I,,IF PLEVEL = 'J' THEN EXTRATE ELSE 0,MD10P,Finished Wine Rate,5R,S,,Finished Wine Extraction Rate,,,
FIN.WINE.EXT,I,,IF TOTAL(FIN.WINE.TON) = 0 THEN 0 ELSE TOTAL(FIN.WINE.LITRE) / TOTAL(FIN.WINE.TON),MD10P,Finished Wine Rate,6R,S,,Finished Wine Extraction Rate,,,
FIN.WINE.LITRE,I,,IF PLEVEL = 'J' THEN LITRES ELSE 0,MD10P,Finished Wine Litres,9R,S,,Finished Wine Litres,,,
FIN.WINE.TON,I,,IF PLEVEL = 'J' THEN TONNES ELSE 0,MD20P,Finished Wine Tonnes,8R,S,,Finished Wine Tonnes,,,
HARVEST,I,,"COMP.KEY[7,1]",,H,1L,S,,Harvest type H/M/S,,,
IWINERY,I,,"COMP.KEY[9,2]",,IW,2L,S,,Initial winery,,,
MCNOTE,I,,"FIELD(@ID,'*',1)",,Chit No.,9L,S,,Chit number,,,
NET.BOTTL,I,,IF PLEVEL = 'X' THEN EXTRATE ELSE 0,MD10P,Net to Bottle Rate,5R,S,,Nett to Bottle Extraction Rate,,,
NET.BOTTL.EXT,I,,IF TOTAL(NET.BOTTL.TON) = 0 THEN 0 ELSE TOTAL(NET.BOTTL.LITRE) / TOTAL(NET.BOTTL.TON),MD10P,Nett to Bottle Rate,6R,S,,Nett to Bottle Extraction Rate,,,
NET.BOTTL.LITRE,I,,IF PLEVEL = 'X' THEN LITRES ELSE 0,MD10P,Nett to Bottle Litres,9R,S,,Nett to Bottle Litres,,,
NET.BOTTL.TON,I,,IF PLEVEL = 'X' THEN TONNES ELSE 0,MD20P,Nett to Bottle Tonnes,8R,S,,Nett to Bottle Tonnes,,,
ORIGIN,I,,"COMP.KEY[8,1]",,O,1L,S,,Origin C/P/U,,,
PLEVEL,I,,"COMP.KEY[13,2]",,PL,2L,S,,Process level,,,
RAW.JCE,I,,IF PLEVEL = 'A' THEN EXTRATE ELSE 0,MD10P,Raw Juice Rate,5R,S,,Raw Juice Extraction Rate,,,
RAW.JCE.EXT,I,,IF TOTAL(RAW.JCE.TON) = 0 THEN 0 ELSE TOTAL(RAW.JCE.LITRE) / TOTAL(RAW.JCE.TON),MD10P,Raw Juice Rate,6R,S,,Raw Juice Extraction Rate,,,
RAW.JCE.LITRE,I,,IF PLEVEL = 'A' THEN LITRES ELSE 0,MD10P,Raw Juice Litres,9R,S,,Raw Juice Litres,,,
RAW.JCE.TON,I,,IF PLEVEL = 'A' THEN TONNES ELSE 0,MD20P,Raw Juice Tonnes,8R,S,,Raw Juice Tonnes,,,
SEQ,I,,"FIELD(@ID,'*',2)",,Seq,2R,S,,Sequence number,,,
VARIETY,I,,"COMP.KEY[1,3]",,Var,3L,S,,,,,
VYR,I,,"COMP.KEY[11,2]",,Yr,2R,S,,Vintage year,,,
@,PH,,TANK PWINERY STYLE COMP.KEY LITRES TONNES,,,,,,All details,,,
