# Grange file: GRAPE.DEST (& GRAPE.DEST.CHITS),source: winemaking.xlsm/GDE,downloaded: 2025-06-04
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,GRAPE.DEST,10L,S,,Default record ID for RetrieVe,,,
CHIT,D,0,,,Chit,13L,S,,Chit ID (use for GRAPE.DEST.CHITS file),,,
TANK,D,0,,,Tank,23L,S,,,,,
SOURCE.DOC,D,1,,,Source Document,12L,M,SOURCE.DOC,Document number of the product source (either a weighnote or purchase chit number),,,
GD.LITRES,D,2,,MD10P,Litres,10R,M,SOURCE.DOC,The number of litres (in this tank or on this chit) that are attributable to this (weighnote or purchase chit).,,,
LITRES,D,2,,MD10P,Litres,10R,M,SOURCE.DOC,The number of litres (in this tank or on this chit) that are attributable to this (weighnote or purchase chit).,,,
TONS,D,3,,MD20P,Tons,10R,M,SOURCE.DOC,The number of tons (from the weighnote) that are attributable to this (destination tank or destination chit).,,,
20160630.DEST.BATCHNO,I,,"TRANS(20160630.MTANK,@ID,TBATCHNO,'X')",,Batch,7L,S,,Batch Number in the destination tank,,,
20160630.DEST.BLEND,I,,"TRANS(20160630.MTANK,@ID,TBLEND,'X')",,Blend Code,12L,S,,Blend in the destination tank,,,
20160630.GENERIC.CODE,I,,"TRANS(20160630.BWALLOC,@ID,GENERIC,'X')",,Gen Code,3L,M,ALLOC,,,,
20170630.DEST.BATCHNO,I,,"TRANS(20170630.MTANK,@ID,TBATCHNO,'X')",,Batch,7L,S,,Batch Number in the destination tank,,,
20170630.DEST.BLEND,I,,"TRANS(20170630.MTANK,@ID,TBLEND,'X')",,Blend Code,12L,S,,Blend in the destination tank,,,
20170630.GENERIC.CODE,I,,"TRANS(20170630.BWALLOC,@ID,GENERIC,'X')",,Gen Code,3L,M,ALLOC,,,,
20190630.DEST.BATCHNO,I,,"TRANS(20190630.MTANK,@ID,TBATCHNO,'X')",,Batch,7L,S,,Batch Number in the destination tank,,,
20190630.DEST.BLEND,I,,"TRANS(20190630.MTANK,@ID,TBLEND,'X')",,Blend Code,12L,S,,Blend in the destination tank,,,
20190630.GENERIC.CODE,I,,"TRANS(20190630.BWALLOC,@ID,GENERIC,'X')",,Gen Code,3L,M,ALLOC,,,,
BLOCK.CODE,I,,"SUBR(SUBR.PENBW:'PBWI654',WNOTE.ONLY,'BLOCK')",,Block Code,5L,M,WNOTE,Block code - from GRAPERECPT[.HIST],,,
BLOCK.NAME,I,,"TRANS(MBLOCKS,BLOCK.CODE,'BLOCK.NAME','X')",,Block Name,5L,M,WNOTE,5 Character description of block,,,
BOTLITRES,I,,"SUBR('*PBWI822',@ID,67 )",MD10P,Bottled Litres,10R,M,WK.ORDER,Bottled litres,,,
CHIT.VENDOR,I,,"STR(@VM:ORIG.CHIT,DCOUNT(PONUM,@VM));DELETE(@,1,1); TRANS(POHEADER,PONUM,VENDOR.NAME,'X'); SUBR('!CATS',@2,@3)",,Chit - Vendor,50L,M,PURCH,Concatenates Chit and Vendor,,,
CHITYEAR,I,,"@ID[4,2]",,CHIT VINTAGE,2R,S,,Vintage year of the chit,,,
COST,I,,SUBR(SUBR.PENBW:'PBWI817'),,Cost,8R,M,SOURCE.DOC,Cost per tonne or litre of weighnote or purchase,,,
DE.TYPE,I,,"SUBR('*PBWI822',@ID,90)",,Chit Type,3L,S,,Chit type (SAL BOT),,,
DEST.BATCHNO,I,,"TRANS(MTANK,@ID,TBATCHNO,'X')",,Batch,7L,S,,Batch Number in the destination tank,,,
DEST.BLEND,I,,"TRANS(MTANK,@ID,TBLEND,'X')",,Blend Code,12L,S,,Blend in the destination tank,,,
DEST.BLEND.VINT,I,,"DEST.BLEND[2,2]",,Tank Blend Vint,2R,S,,current tanks blend vintage (use for GRAPE.DEST file),,,
DEST.VOLUME,I,,"TRANS(MTANK,@ID,TTABLE,'X');TRANS(MTANK,@ID,TDIP,'X');SUBR(""*PBWZ171"",@1,@2,""V"")+0",,Dest.tank Volume,12R,S,,Volume in the destination tank,,,
FIELD.GL,I,,"TRANS(VINTINTAKE,VINTINTAKE.SEQ,'FIELD.GL','X')",,Fld GL,3L,M,WNOTE,Grade Level measured in the Field,,,
FIN.GOODS.CD,I,,"SUBR('*PBWI822',@ID,119)",,Finished Goods Code,7L,M,,Finished Goods Code referencing ORDERS file (att 29),,,
FIN.GOODS.CODE,I,,"TRANS(OPSMOVE,@ID,'FIN.GOODS.CODE','X')",,FIN GOODS CODE,7L,M,,Finished Goods Code referencing ORDERS file (att 29),,,
FIN.GOODS.VINT,I,,"TRANS(ITEM.MSTR,FIN.GOODS.CD,'VINTAGE','X')",,FG Vintage,2R,M,,Finished Goods Vintage,,,
FQUALITY,I,,"TRANS(BWALLOC.OPSMOVE,CHIT,'FQUALITY','X')",,From Quality,4L,M,FT,From Quality code (@SV),,,
FTANK.GL,I,,"TRANS(BWALLOC.OPSMOVE,CHIT,'FQUALITY','X')",,From Tank GL,2L,M,FT,From tanks grade level,,,
FTANK.VOLM,I,,"SUBR('*PBWI822',@ID,86)",MD10P,From Volume,10R,M,FTANKS,From volume moved,,,
FTANKS.BLEND,I,,"SUBR('*PBWI822',@ID,13)",,From Blend,12L,M,FTANKS,From blends,,,
FTANKS.BLEND.FIRST,I,,"SUBR('*PBWI822',@ID,13)<1,1,1>",,First Blend,12L,S,,Blend Code of First FROM Tank,,,
FTANKS.BLEND.VINT,I,,"SUBR('!SUBSTRINGS',FTANKS.BLEND,2,2)",,From Tanks Blend Vint,2R,M,,From tanks blend vintage,,,
FTANKS.GENERIC,I,,"SUBR('!SUBSTRINGS',FTANKS.BLEND,5,3)",,From Tanks Blend Generic,3L,M,FTANKS,From tanks blend generic code,,,
FTANKS.PREFIX,I,,"SUBR('!SUBSTRINGS',FTANKS.TANK,1,1)",,From Tanks Prefix,1L,M,FTANKS,From tank prefix (1st char),,,
FTANKS.TANK,I,,"SUBR('*PBWI822',@ID,11)",,From Tanks,6L,M,FTANKS,From tanks,,,
GENERIC.CODE,I,,"TRANS(BWALLOC,@ID,GENERIC,'X')",,Gen Code,3L,M,ALLOC,,,,
GRADE.LEVEL,I,,"TRANS(BWALLOC,@ID,GRADE.LEVEL,'X')",,Grade Level,2L,S,,Grade level for the Tank,,,
GRAPE.PRICE,I,,"SUBR(SUBR.PENBW:'PBWI654',WNOTE.ONLY,'WNOTE.PRICE'); IF @1 + 0 # 0 THEN @1 ELSE SUBR(SUBR.PENBW:'PVIZ157',@FM:'C*W':@FM:'Y','','',GRAPERECPT)",MD20P,Grape Price  per Ton,8R,M,WNOTE,Price per ton of the grapes from this weighnote - from  GRAPERECPT[.HIST],,,
GRAPE.VALUE,I,,COST * TONS,MD20P,Grape Value,10R,M,WNOTE,Cost of grapes (GRAPE.PRICE * TONS),,,
GRAPE.VALUE.ONLY,I,,"SUBR(""*PZZI211"",""SELINS"",GRAPE.VALUE,NOTPO,""1"","""")",MD20P,Grape Value,14R,M,WNOTE,Grape value for Source docs that are weighnotes,,,
GRAPERECPT,I,,"SUBR(SUBR.PENBW:'PBWI654',WNOTE.ONLY,0)",,GRAPERECPT Record,80L,M,WNOTE,The GRAPERECPT record for this weighnote - from GRAPERECPT[.HIST],,,
GROWER.NAME,I,,"TRANS(MGROWER,GROWERID,GROWER,'X')",,Grower's Name,30L,M,WNOTE,Grower's Name,,,
GROWERID,I,,"SUBR(SUBR.PENBW:'PBWI654',WNOTE.ONLY,'GROWERID')",,Grower,6L,M,SOURCE.DOC,Grower - from GRAPERECPT[.HIST],,,
JUL2005.DEST.BATCHNO,I,,"TRANS(JUL2005.MTANK,@ID,TBATCHNO,'X')",,Batch,7L,S,,Batch Number in the destination tank,,,
JUL2005.DEST.BLEND,I,,"TRANS(JUL2005.MTANK,@ID,TBLEND,'X')",,Blend Code,12L,S,,Blend in the destination tank,,,
JUL2005.GENERIC.CODE,I,,"TRANS(JUL2005.BWALLOC,@ID,GENERIC,'X')",,Gen Code,3L,M,ALLOC,,,,
LEN.SD,I,,LENS(SOURCE.DOC),,LEN SD,3R,S,SOURCE.DOC,Length of Source Doc,,,
MADATE,I,,"TRANS(BW.STD.CST.OPS,@ID,'MADATE','X')",D2/,Date Completed,8R,S,,Date Chit Completed,,,
MADATE.1,I,,"TRANS(BW.STD.CST.OPS,@ID,'MADATE','X')",D2/,Date Completed,8R,S,,Date Chit Completed,,,
MADATE.TANK,I,,"TRANS(BW.STD.CST.OPS,PO.ONLY,'MADATE','X')",D2/,Date Purchase Chit Completed,8R,M,PO.ONLY,Date Purchase Chit Completed,,,
MAST.OPCD,I,,"TRANS(MOPS,MOPCD,'MAST.OPCD','X')",,,3R,S,,Master operation code,,,
MATIME,I,,"TRANS(BW.STD.CST.OPS,@ID,'MATIME','X')",MTS,Time Completed,8R,S,,Time Chit Completed,,,
MATIME.TANK,I,,"TRANS(BW.STD.CST.OPS,PO.ONLY,'MATIME','X')",MTS,Time Purchase Chit Completed,8R,M,PO.ONLY,Time Purchase Chit Completed,,,
MOPCD,I,,"SUBR('*PBWI822',@ID,5)",,OPER CODE,5L,S,,Operation identification code,,,
MPF.FIRST,I,,"SUBR('*PBWI822',@ID,13)<1,1,1>[5,3]",,First MPF,3L,,S,MPF from Blend Code of First FROM Tank,,,
NOTPO,I,,"SUBR('!NES',SUBR('!SUBSTRINGS',SOURCE.DOC,11,1),REUSE('-'))",,,1L,M,SOURCE.DOC,,,,
NUM.SOURCE.DOC,I,,"DCOUNT(SOURCE.DOC,@VM)",,Number of Source Docs.,4R,S,,,,,
ONE,I,,1,,ONE,1L,S,,,,,
ORIG.CHIT,I,,"FIELD(@ID,'-',1)",,Orig CHIT,10L,S,,CHIT without the dash portion,,,
PACK.CATEGORY,I,,"TRANS(GENERIC.FILE,FTANKS.GENERIC,'PACK.CATEGORY','X')",,Pack Cat,1L,M,FTANKS,Packaging category,,,
