# Grange file: GRAPERECPT,source: grange.xlsx/GRAPERECPT,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
WNID,A,0,A;(70(G1*1)):(70(G*1)),,,,,,,,,
@ID,D,0,,,GRAPERECPT,30L,S,,Default record ID for RetrieVe,,,
AUD.ID,D,0,,,GRAPERECPT.REPT,45L,S,,Default record ID for RetrieVe,,,
HIST.SEQ,D,0,,,GRAPERECPT.HIST,10R,S,,History file @ID (sequential number),,,
LONG.REPT.KEY,D,0,,,GRAPERECPT.REPT,35L,S,,.REPT FILE RECORD ID,,,
WNOTE,D,0,,,Weigh,8L,S,,Weighnote number,,,
ACCOUNT,D,1,,,Account,7L,S,,"Account number of Grower, Company Vineyard block or Carrier",,,
GROWERID,D,1,,,GROWER,6T,S,,Company Code/Grower No - See MGROWER,,,
ACTIVITY,D,2,,,Receipt,1L,S,,"Record activity code   "" "" - Active   ""D"" - Delete   ""C"" - Cancelled  ""P"" -",,,
REACTIV,D,2,,,REC,1T,S,,"Record activity code   "" "" - Active   ""D"" - Delete   ""C"" - Cancelled  ""P"" -",,,
REACTIVE,D,2,,,Active,1L,S,,Record Activity Code,,,
VINTAGE,D,3,,,YEAR,4R,S,,Year of Vintage  eg.  1984,,,
RECDATE,D,4,,D2/,RECEIPT,8R,S,,dd/mm/yy,,,
RECDATE.E,D,4,,D4/E,,10R,S,,dd/mm/yyyy,,,
RECTIME,D,5,,MTHS,RECEIPT,10R2,S,,"HH,MM,SS.SS",,,
RECTIME.E,D,5,,MT,,5R,S,,RecTime in Normal Time format for 2020,,,
RTIME,D,5,,MTH,Receipt,8R,S,,Receipt time HH:MMam/pm,,,
WBDOCKET,D,6,,,RECEIPT,7R,S,,Same as @ID,,,
AGDOCKET,D,7,,,CARTAGE,6R,S,,,,,
CART.AREA,D,7,,,Cart,4L,S,,Cartage Code,,,
CARTAGE.CODE,D,7,,MC,Grape,4L,S,,Grape Cartage Code,,,
VARIETY,D,8,,,VAR,3T,S,,,,,
GROSS,D,9,,MD30P,GROSS,8R,S,,Gross Tonnage delivered this load xx.xx,,,
TARE,D,10,,MD30P,TARE,8R,S,,Tare weight this delivery  xx.xx Tonnes,,,
REJECTPCT,D,11,,,%,2R,S,,Percentage of reject this load  xx%,,,
RECFINAL,D,12,,FLAGN,FIN,1L,S,,"""Y""-Yes  ""N""-No",,,
CARRIER,D,13,,,CARRIER,7T,S,,Carrier Code,,,
AUTHNO,D,14,,,ESTIMATED,8T,S,,Not currently in use,,,
HMETHOD,D,15,,,H,1L,S,,Harvest method,,,
PMETHOD,D,15,,,PICK,1T,S,,"""H""-Hand ""M""-Mechanical",,,
CRPIT,D,16,,,,3T,S,,Crushpit,,,
CRUSHER,D,16,,,ASSIG,3T,S,,Assigned crusher for this intake from Variety file,,,
POTTER,D,17,,,ASSIG,4T,S,,Assigned potter drainer (Not in use),,,
SP.POOL,D,18,,,SPEC,4T,M,SPEC.POOL,Special pool no assigned if intake exceeds quota (Validate against Pool master),,,
SNETT,D,19,,,SPEC POOL,5R2,M,SPEC.POOL,Special Pool intake nett weight,,,
NETT,D,20,,MD20P,NETT,7R,S,,"Nett weight delivered  xx.xx tonnes for standard Pool, excluding reject",,,
POOL,D,21,,,STD,4T,S,,Standard pool no. - From Variety Master,,,
