# Grange file: GRDOCKET,source: winemaking.xlsm/GRD,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,GRDOCKET,13L,S,,Default record ID for RetrieVe,,,
HIST.SEQ,D,0,,,GRDOCKET.HIST,10R,S,,History file @ID (sequential number),,,
MCNOTE,D,0,,,CRUSH C/NOTE,9L,S,,Crush Cellar Note Number,,,
MDOCKET,D,1,,,G/RECPT DOCKETS,8L,M,DOCKET.QTY,Grape Receipt Dockets attached to this Crush Note,,,
MGRQTY,D,2,,MD20P,DELIV QTY,8R,M,DOCKET.QTY,Grape Receipt Docket Tonnages,,,
SOURCE,D,3,,,SOURCE AREA,3T,M,SOURCE.QTY,Source Areas attached to this Crush Note,,,
SOURCE.OLD,D,3,,,SOURCE AREA,1T,M,SOURCE.QTY,Source Areas attached to this Crush Note,,,
SRQTY,D,4,,MD20P,DELIV QTY,8R,M,SOURCE.QTY,Source Area Tonnages,,,
VARIETY,D,5,,,VARIETY,3T,M,VARIETY.QTY,Varieties attached to this Crush Note,,,
VARQTY,D,6,,MD20P,DELIV QTY,8R,M,VARIETY.QTY,Variety Tonnages,,,
VARSOURCE,D,7,,,VAR/SOURCE,4T,M,VARSOURCE.Q TY,Variety/Source attached to this Crush Note,,,
VSQTY,D,8,,MD20P,DELIV QTY,8R,M,VARSOURCE.Q TY,Variety/Source Tonnages,,,
TOTALQTY,D,9,,MD20P,TOTAL TONNAGE,8R,S,,Total Tonnage Delivered against this Crush Note,,,
UPDATE,D,10,,,UPDATE FLAG,1T,S,,Flag to denote if Grape Receipt Details have been updated,,,
VARPRSRCE,D,11,,,VAR PRICE SOURCE,5L,M,VARPRSRCE,Variety/Price code/Source,,,
VPSTONNES,D,12,,MD20P,VAR/PR SOURCE TONNES,8R,M,VARPRSRCE,Variety/Price/Source Tonnes,,,
CART.PAYMENT,D,13,,MD20P,CARTAGE PAYMENTS,9R,M,VARPRSRCE,Cartage Payments against Grape Receipt Dockets,,,
HIST.KEY,D,14,,,Crushnote * Year,12L,S,,@ID * YY Used as secondary index key on history file,,,
WINERY.CODE,D,15,,,Winery Code,2L,S,,Winery code,,,
VINTAGE,D,16,,,Vintage,4R,S,,Vintage Year,,,
ACTIVITY,I,,"TRANS(GRAPERECPT,MDOCKET,'ACTIVITY','X')",,Receipt Activity,1L,M,DOCKET.QTY,"Record activity code   "" "" - Active   ""D"" - Delete   ""C"" - Cancelled  ""P"" - Partially completed",,,
AUD.BREAK,I,,IF AUD.CODE = 1 THEN 1 ELSE IF AUD.CODE = 3 THEN 1 ELSE IF AUD.CODE = 2 THEN 2 ELSE 2,,,1L,S,,Group deletions and before images together and creations and after images together,,,
AUD.CHIT,I,,"FIELD(@ID,'*',4);FIELD(@1,'|',1);FIELD(@2,'-',1)",,AUDIT CHIT,10L,S,,Audit Chit,,,
AUD.CODE,I,,"FIELD(@ID,'*',5 )",,AUDIT CODE,1R,S,,Audit code,,,
AUD.DATE,I,,"FIELD(@ID,'*',2)",D2/,Audit Date,8R,S,,Audit date,,,
AUD.DESC,I,,"FIELD('Deleted*Created*Before*After','*',AUD.CODE,1)",,Audit Type,8L,S,,Audit description,,,
AUD.SEQNO,I,,"FIELD(@ID,'*',1)",,AUDIT SEQNO,6R,S,,Audit Sequence number,,,
AUD.TIME,I,,"FIELD(@ID,'*',3)",MTS,AUDIT TIME,8R,S,,Audit time,,,
AUD.USER,I,,"UPCASE(FIELD(@ID,'*',6))",,User,10L,S,,User name,,,
CHIT.ID,I,,"TRANS(CHIT,@ID,@ID,'X')",,CHIT Key,12R,S,,,,,
CNT,I,,1,,Count,6R,,,Tally used for reporting record occurrances,,,
CRSITE,I,,"TRANS(GRAPERECPT,MDOCKET,CRSITE,'X')",,CR}SITE,2L,M,DOCKET.QTY,,,,
CRUSHER,I,,"TRANS(GRAPERECPT,MDOCKET,CRUSHER,'X')",,PIT,2L,M,,,,,
DOC.AREA,I,,"TRANS(GRAPERECPT,MDOCKET,GRSOURCE,'X')",,SRC,3L,M,DOCKET.QTY,Source Area,,,
DOC.CONT.TYPE,I,,"TRANS(MGROWER,DOC.GROWER,CONTRACT.TYPE,'X')",,CONT}TYPE,2L,M,DOCKET.QTY,,,,
DOC.DATE,I,,"TRANS(GRAPERECPT,MDOCKET,RECDATE,'X')",D2/,REC DATE,8R,M,,,,,
DOC.GROSS,I,,"TRANS(GRAPERECPT,MDOCKET,GROSS,'X')",,GROSS TONNES,8R2,M,,,,,
DOC.GROWER,I,,"TRANS(GRAPERECPT,MDOCKET,GROWERID,'X')",,GROWER,6L,M,DOCKET.QTY,,,,
DOC.SOURCE,I,,"TRANS(GRAPERECPT,MDOCKET,GRSOURCE,'X')",,SRC,3T,M,,,,,
DOC.VAR,I,,"TRANS(GRAPERECPT,MDOCKET,VARIETY,'X')",,VAR,3L,M,,,,,
DOC.VAR.SOURCE,I,,"TRANS(GRAPERECPT,MDOCKET,VARIETY,'X');TRANS(GRAPERECPT,MDOCKET,GRSOURCE,'X');SUBR(""! CATS"",@1,@2)",,GRAPE VAR/SRC,5T,M,,,,,
HIST.MCNOTE,I,,"FIELD(HIST.KEY,'*',1)",,HIST MCNOTE,12L,S,,MCNOTE part of HIST.KEY,,,
