# Grange file: I.CHEMLIST,source: winemaking.xlsm/ICL,downloaded: 2020-01-22
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,I.CHEMLIST,10L,S,,Default record ID for RetrieVe,,,
KEY,D,0,,,KEY,4T,S,,"Key field ""CHEM""",,,
MF1,D,1,,,OS Req Nos,12L,M,DATE.REF,Multi Value Field of Chem request numbers,,,
IGW.MF2,D,2,,D2/,Chem Req Date,8R,M,DATE.REF,Multi Value Field for Chem request date,,,
MF2,D,2,,,Chem Req Date,8R,M,DATE.REF,Multi Value Field for Chem request date,,,
UNLINKED.CHEM,D,3,,,Unlinked Chems,9L,M,UNLINKED,Unlinked Chem Request ID,,,
UNLINKED.RDATE,D,4,,D2/,Unlinked Request Date,8R,M,UNLINKED,Request Date of unlinked Chemistry Requests,,,
ADW,I,,"1+COUNT(MF1,@VM)",,,4R,,,,,,
CACTIV,I,,"TRANS(CHEM,MF1,CACTIV,'X')",,REC ACTIV,1T,M,DATE.REF,"Record activity code, null = unregistered, R = registered/no readings, S = readings entered, D = dropped, C = completed",,,
CREADINGNO,I,,"TRANS(CHEM,MF1,CREADINGNO,'X')",,READING NO,2R,M,DATE.REF,Associated reading no. of test,,,
CTSTATUS,I,,"TRANS(CHEM,MF1,CTSTATUS,'X')",,C/Stat,3L,M,DATE.REF,Current Tank Status,,,
CVALUE,I,,"TRANS(CHEM,MF1,CVALUE,'X')",,TEST VALUE,6R,M,DATE.REF,Chemistry analysis reading,,,
IGW.CHEM.ANLAB,I,,"TRANS(CHEM,MF1,ANLAB,'X')",,Lab,5L,M,DATE.REF,Chemistry Lab,,,
IGW.CHEM.CDATE,I,,"TRANS(CHEM,MF1,CDATE,'X')",D2/,Result Date,8L,M,DATE.REF,Chemistry Result date,,,
IGW.CHEM.CRDATE,I,,"TRANS(CHEM,MF1,CRDATE,'X')",D2/,Create Date,8L,M,DATE.REF,Chemistry create date,,,
IGW.CHEM.RDATE,I,,"TRANS(CHEM,MF1,RDATE,'X')",D2/,Registration Date,8L,M,DATE.REF,Chemistry Registration date,,,
IGW.UNLINKED.CRDATE,I,,"TRANS(CHEM,UNLINKED.CHEM,CRDATE,'X')",D2/,Unlinked Date,8L,M,UNLINKED,Unlinked Chemistry create date,,,
LIND,I,,"TRANS(CHEM,UNLINKED.CHEM,LIND,'X')",,L,1R,M,UNLINKED,"Linked Indicator, null=linked / 1=unlinked / 2=unlinked after linked readings entered",,,
N.OS,I,,"1+COUNT(MF1,@VM)",,Nmbr o/s,4R,,,Number of o/s chemistry analysis,,,
@ENTRO,PH,,KEY F1 F2,,,,,,FOR ENTRO DEFAULT FIELD LIST CREATED 10:59:45 18 DEC 1983,,,
DATE.REF,PH,,F1 F2,,,,,,,,,
