# Grange file: I.OPLIST,source: winemaking.xlsm/Oplist,downloaded: 2020-01-22
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,I.OPLIST,10L,S,,Default record ID for RetrieVe,,,
ICNOTE,D,1,,,CELLAR NOTE #,6R,M,ICNOTE.IBLE NDOP,Cellar note number,,,
IBLENDOP,D,2,,,BLEND/OP,6T,M,ICNOTE.IBLE NDOP,Blend no./Operation code,,,
CHITNOS,I,,LOWER(@RECORD),,Chit Numbers,13L,M,CHITNOS,Chit numbers,,,
MACTIV,I,,"TRANS(OPSMOVE,CHITNOS,MACTIV,'X')",,REC ACT,1T,M,CHITNOS,"Record activity code ,  R = requested ops, S = operation started but not yet completed,  N = completed ops but not yet checked, A = completed & checked ops  NOTE - This file contains requested cellar notes & completed notes and cuurent active notes",,,
MCNOTE,I,,LOWER(@RECORD),,Chit Numbers,13L,M,CHITNOS,Chit numbers,,,
MFBATCH,I,,"TRANS(OPSMOVE,CHITNOS,MFBATCH,'X')",,FROM BATCH,7L,M,CHITNOS,From Batch/Group Number,,,
MFBLEND,I,,"TRANS(OPSMOVE,CHITNOS,MFBLEND,'X')",,FROM BLEND CODE,12L,M,CHITNOS,From Blend Code,,,
MFTANK,I,,"TRANS(OPSMOVE,CHITNOS,MFTANK,'X')",,FROM TANK NO,5L,M,CHITNOS,From Tank No,,,
MOPCD,I,,"TRANS(OPSMOVE,CHITNOS,MOPCD,'X')",,OPER CODE,4L,M,CHITNOS,Operation identification code,,,
MOPCDS,I,,"TRANS(OPSMOVE,CHITNOS,MOPCD,'X')",,OPER CODE,4L,M,CHITNOS,Operation identification code,,,
MRDATE,I,,"TRANS(OPSMOVE,CHITNOS,MRDATE,'X')",D2/,REQUIRED DATE,8R,M,CHITNOS,Date request made for operations,,,
MRTIME,I,,"TRANS(OPSMOVE,CHITNOS,MRTIME,'X')",MTS,REQUIRED TIME,8R,M,CHITNOS,Time request made for operation,,,
MTBATCH,I,,"TRANS(OPSMOVE,CHITNOS,MTBATCH,'X')",,TO BATCH,7L,M,CHITNOS,To Batch/Group Number,,,
MTBLEND,I,,"TRANS(OPSMOVE,CHITNOS,MTBLEND,'X')",,TO BLEND CODES,12L,M,CHITNOS,To Blend Codes,,,
MTTANK,I,,"TRANS(OPSMOVE,CHITNOS,MTTANK,'X')",,TO TANK NO,5L,M,CHITNOS,To Tank No,,,
NUM.OPERATIONS,I,,"DCOUNT(@RECORD,@AM)",,,10R,M,,,,,
@ENTRO,PH,,@ID ICNOTE IBLENDOP,,,,,,FOR ENTRO DEFAULT FIELD LIST CREATED 19:58:02 16 DEC 1983,,,
ICNOTE.IBLENDOP,PH,,ICNOTE IBLENDOP,,,,,,Association for Cellar notes/Blend/Operations,,,
