# Grange file: ITEM.MSTR,source: winemaking.xlsm/IM,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,ITEM.MSTR,30L,S,,"SEQ * INTERNAL DATE * TIME * ITEM * UPD TYPE (UPD TYPE =  1-Delete, 2-Create, 3-Before, 4-After)",,,
CODE,D,0,,,Code,9L,S,,Default record ID for INFORM.,,,
ITEM.CODE,D,0,,,Item Code,12L,S,,Item code,,,
LONG.ID,D,0,,,ITEM MSTR,10L,S,,Default record ID for INFORM.,,,
LONG.PRODNO,D,0,,,ITEM MSTR,12L,S,,Default record ID for INFORM.,,,
PRODNO,D,0,,,Product No.,9T,S,,Product Number,,,
REPT.NAME,D,0,,,,30T,,,,,,
VICOMPCD,D,0,,,,9R,S,,Vint Plan,,,
PRODNAME,D,1,,,Product Name,30T,S,,Product Name Description,,,
PRODNAME.40,D,1,,,PRODUCT NAME,40L,S,,Product Name Description,,,
PROD,D,2,,,PRODUCT GROUP,3T,S,,,,,
PRODGP,D,2,,,PROD GROUP,3T,S,,Product Group Code,,,
PRODGP.CODE,D,2,,,PROD GROUP,3T,S,,Product Group Code,,,
PRODGP3W,D,2,,,PRD GRP,3T,S,,Product Group Code,,,
APN.CODE,D,3,,,APN Nos.,14L,M,APN,APN Code,,,
LRC1,D,4,,,STANDARD COST VARIABLE,10R,S,,Standard Cost - Variable,,,
SCOST.VAR,D,4,,MD40P,STANDARD COST VARIABLE,10R,S,,Standard Cost - Variable,,,
SCOST.VAR.DATE,D,5,,D2/,STD VAR COST DATE,8R,S,,Date of Last Standard Cost Variable Update,,,
STDDATE,D,5,,D2/,STANDARD COST DATE,8R,S,,Date of Last Standard Cost Update,,,
ACOST.VAR,D,6,,MD40P,ACTUAL COST VARIABLE,10R,S,,Actual Cost - Variable,,,
CC,D,6,,MD40P,CURRENT COST,10R,S,,Current Cost,,,
CURCOST,D,6,,MD40P,CURRENT COST,10R,S,,Current Cost,,,
ACOST.VAR.DATE,D,7,,D2/,CUR VAR COST DATE,8R,S,,Date of last Actual Cost Variable Update,,,
CURDATE,D,7,,D2/,CURRENT COST DATE,8R,S,,Date of last Current Cost Update,,,
UDESC,D,8,,,STOCK UNIT,4R,S,,"Unit Description - Stock Units (i.e. DOZ, EACH, etc.)",,,
UDESC1,D,8,,,UNIT,4R,S,,"Unit Description - Stock Units (i.e. DOZ, EACH, etc.)",,,
PROD.MANAGER,D,9,,,PRODUCT MANAGER,2T,S,,Product Manager,,,
AREACODE,D,10,,,Grape source area  code,3L,S,,grape source area code used for vintage planning,,,
BRAND.CODE,D,10,,,BRAND CODE,2T,S,,Brand Code,,,
BRAND.CODE2W,D,10,,,BD CD,2T,S,,Brand Code,,,
PROD.CODE,D,11,,,PROD SEQ CODE,3T,S,,Product seq code,,,
VARCODE,D,11,,,Grape variety,3L,S,,grape variety code used for vintage planning,,,
CRUSHLOC,D,12,,,Crush Location,2L,S,,crush location code used for vintage planning,,,
GROUP.CODE,D,12,,,CAT CODE,2T,S,,Group Code (Category),,,
GROUP.CODE2W,D,12,,,CT CD,2T,S,,Group Code  (Category),,,
JK.GROUP.CODE.ALTKEY,D,12,,,GROUP CODE,2T,S,,Group Code Alt. key,,,
EXTRATE,D,13,,,Extraction Rate,6R,S,,extraction rate used for vintage planning,,,
TYPE.CODE,D,13,,,TYPE CODE,3T,S,,Type Code,,,
TYPE.CODE3W,D,13,,,TYP CD,3T,S,,Type Code,,,
