# Grange file: LOT.OUT,source: winemaking.xlsm/LO,downloaded: 2020-01-22
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,,,,LOT.OUT,30L,S,,Default record ID for RetrieVe,1,,
BLEND,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),2 ,''); SUBR(SUBR.PENBW:'PBWI822MV',@1,13)",,Blend,12L,M,RECS,Blend from OPSMOVE,1,,
CHIT,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),2 ,'')",,cHIT,13L,M,RECS,Chit,1,,
CONFIRMED,I,,"TRANS(LOT.OUT.ARCHIVE.CONFIRMED,SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),10,''),KEY,'X'",,SEQNO,10R,M,RECS,Flag used to generate transactions that didnt make it to JDE,,,
CONFIRMED,I,,"TRANS(LOT.OUT.ARCHIVE.CONFIRMED,SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),10,''),KEY,'X' )",,SEQNO,10R,M,RECS,Flag used to generate transactions that didnt make it to JDE,1,,
CRT.DATE,I,,"FIELD(@ID,'_',4 );FIELD(@,'.',1)",D2/,Create,8L,S,,Create date,,,
CRT.DATE,I,,"FIELD(@ID,'_',4 );FIELD(@,'.',1)",D2/,Create Date,8L,S,,Create date,1,,
DAY,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),8 ,'')",,Day,2R,M,RECS,Day,1,,
DELETE.DATE,I,,DATE()-196,D2/,Delete,8R,S,,date before which archive records should be deleted(Changed to 6 mths by BM in May,,,
DELETE.DATE,I,,DATE()-196,D2/,Delete,8R,S,,date before which archive records should be deleted(Changed to 6 mths by BM in May 06),,,
DELETE.DATE,I,,DATE()-196,D2/,Delete Date,8R,S,,date before which archive records should be deleted(Changed to 6 mths by BM in May 06),1,,
DESC,I,,"TRANS(LOT,LOT,'DESC','X')",,Description,40L,M,RECS,Item description,1,,
INV.LEVEL,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),2 ,''); SUBR(SUBR.PENBW:'PBWI822MV',@1,13);",,Inv,1L,M,RECS,Inventory Level from OPSMOVE,,,
INV.LEVEL,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),2 ,''); SUBR(SUBR.PENBW:'PBWI822MV',@1,13); SUBR('!SUBSTRINGS',@2,1,1)",,Inv,1L,M,RECS,Inventory Level from OPSMOVE,,,
INV.LEVEL,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),2 ,''); SUBR(SUBR.PENBW:'PBWI822MV',@1,13); SUBR('!SUBSTRINGS',@2,1,1)",,Inv Level,1L,M,RECS,Inventory Level from OPSMOVE,1,,
ITEM,I,,"TRANS(LOT,LOT,'ITEM','X')",,JDE Item,10L,M,RECS,JDE item number,1,,
JDE.BRANCH.PLANT,I,,"FIELD(@ID,'_',3)",,JDE,3R,S,,JDE branch plant related to bulk wine account where the LOT.OUT,,,
JDE.BRANCH.PLANT,I,,"FIELD(@ID,'_',3)",,JDE Branch,3R,S,,JDE branch plant related to bulk wine account where the LOT.OUT record was generated.,,,
JDE.BRANCH.PLANT,I,,"FIELD(@ID,'_',3)",,JDE Branch Plant,3R,S,,JDE branch plant related to bulk wine account where the LOT.OUT record was generated.,1,,
JDEUPSEQ,I,,"FIELD(@ID,'_',5);FIELD(@,'.',1)",,JDE run No,10R,S,,JDE update run number for LOT.OUT.ARCHIVE records,1,,
LOT,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),1 ,'')",,Lot No,8R,M,RECS,Lot No,1,,
LOT.ID,I,,"FIELD(@ID,'_',2 )",,Lot Id,8R,S,,The lot number in the record id.,1,,
LOT.ID.ITEM,I,,"TRANS(LOT,LOT.ID,'ITEM','X')",,JDE Item,10L,S,,JDE item number from ID,1,,
MTH,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),7 ,'')",,Month,2R,M,RECS,Month,1,,
NO.LINES,I,,"DCOUNT(@RECORD,@FM)",,,5R,S,,,1,,
NOTE,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),2 ,'')",,Add Note,13L,M,RECS,Add Note,1,,
QTY,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),4 ,'')",MD30P,Qty,12R,M,RECS,Qty,1,,
QTY0,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),4 ,'')+0",MD30P,Qty,12R,M,RECS,Qty,1,,
RECORD,I,,@RECORD,,Record,75T,S,,,1,,
SEQNO,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),10,'')",,SEQNO,10R,M,RECS,unique sequential number,1,,
TANK,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),3 ,'')",,Tank,6L,M,RECS,Tank,1,,
TOTAL.QTY,I,,SUM(QTY),MD30P,Total Qty,10R,S,,Total QTY,1,,
UOM,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),5 ,'')",,UOM,2L,M,RECS,UOM,1,,
YR,I,,"SUBR('!FIELDS',LOWER(@RECORD),CHAR(9),9 ,'')",,Year,2R,M,RECS,Year,,,
