# Grange file: MADD,source: winemaking.xlsm/Add,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,MADD,10L,S,,Default record ID for RetrieVe,,,
ADDCD,D,0,,,ADDITIVE CODE,10T,S,,Identification code for each additive or finish product,,,
AACTIV,D,1,,,REC ACT,1T,S,,"Record activity code ' ' - active, 'D' - deleted",,,
ADDESCP,D,2,,,DESCRIPTION,20T,S,,Description of stock items,,,
DESC,D,2,,,DESCRIPTION,40L,M,,Description of stock items,,,
AUOMSTK,D,3,,,STOCK UOM N/U,6L,S,,Stocking unit of measure (Not used),,,
AUOMISSPV,D,4,,,ISS UOM/V,6L,,,Issuing unit of measure per volume,,,
ACONVPV,D,5,,MD80P,VOL/CONV,10R,S,,Conversion factor from Issue U of M per volume to issuing unit of measure,,,
ASTDCOST,D,6,,,STANDARD COST,11R4,S,,Standard Cost,,,
AOHQTY,D,7,,,ON HAND STOCK UNITS,11R4,S,,Not used (now on stock file) - Stock on hand in stocking units,,,
AUSP,D,8,,,USAGE THIS PERIOD,11R4,S,,Not used (now on stock file) - Usage this period to date in stocking units,,,
AUSM,D,9,,,USAGE MONTH TO DATE,11R4,S,,Not used (now on stock file) - Usage month to date,,,
AUSY,D,10,,,USAGE YTD,11R4,S,,Not used (now on stock file) - Usage YTD,,,
ANUSP,D,11,,,TIMES ADDIT PTD,5R,S,,Not used (now on stock file) - No of times the additive was used this period to date,,,
ANUSM,D,12,,,TIMES ADDIT MONTH,5R,S,,Not used (now on stock file) - No of times the additive was used this month to date,,,
ANUSY,D,13,,,TIMES ADDIT YTD,5R,S,,Not used (now on stock file) - No of times the additive was used this YTD,,,
AUDVOL,D,14,,,U/D TANK VOL,1T,S,,Update tank volume (Y/N),,,
PRODNO,D,15,,,PRODUCT NUMBER,10L,M,PRODNO,Financial Product Number,,,
SC.USAGE,D,16,,,SUM/COMP USAGE,1L,S,,Record Usage on Summary Composition Flag (Y/''),,,
RND.FACT,D,17,,MD3,Rnd N/U,4R,S,,Rounding factor on operation usage (Not used),,,
AUOMISS,D,18,,,ISS UOM,6L,,,Issuing unit of measure,,,
ACONV,D,19,,MD30P,CONVERSION N/U,10R,S,,Conversion factor of issuing unit to stock unit of measure (Not used),,,
WM.WOOD.FLAG,D,20,,,Wood Flag,1L,S,,Wood maturation related code,,,
LOT.TRACED,D,21,,,Lot Trace,1L,S,,'Y' if the additive is lot traced,,,
AUOMALTDQ,D,22,,,Alt Q/D,8R,M,ALTUOM,Alternate unit of measure denominator of the quotient specifying the ratio of the alternative unit of measure to the issuing UOM,,,
AUOMALT,D,23,,,Alt UOM,6L,M,ALTUOM,"Alternative unit of measure. Use: ML-millilitres, LT-litres, GR-grams, KG-kilograms, EA-each, BG-bags",,,
AUOMALTNQ,D,24,,,Alt Q/N,8R,M,ALTUOM,Alternate unit of measure numerator of the quotient specifying the ratio of the alternative unit of measure to the issuing UOM,,,
WINE.DATA,D,25,,,Wine Data,1L,S,,Additive when occurs in a blend is to appear in Wine Data Sheet,,,
WINE.DATA.DESC,D,26,,,Wine Data Description,30L,S,,Description to be used when additive appears in wine data,,,
ALLGENCONV,D,27,,MD40P,,10R,S,,Conversion to mg of allergen,,,
ALT.AUOMISSPV,D,28,,,ALT ISS UOM/V,6L,,,Alternate Issuing unit of measure per volume,,,
ALT.ACONVPV,D,29,,MD80P,ALT VOL/CONV,10R,S,,Conversion factor from alternate Issue Unit of Measure per volume to issuing unit of measure,,,
ADDESCP.UC,I,,"OCONV(ADDESCP,'MCU')",,DESCRIPTION,30L,S,,Description of stock items,,,
APN.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,'APN.CODE','X')",,APN Nos.,14L,M,PRODNO,APN Code,,,
BRAND.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,BRAND.CODE,'X')",,BRAND CODE,2L,S,,Group code,,,
GROUP.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,GROUP.CODE,'X')",,GR CODE,2L,S,,Group code,,,
NPRODNO,I,,"DCOUNT(PRODNO,@VM)",,,2R,S,,number of JDE Item numbers,,,
PROD.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,PROD.CODE,'X')",,PROD SEQ,2L,S,,Product Sequence Number Code,,,
PROD1,I,,"FIELD(PRODNO,@VM,1)",,,6L,S,,,,,
PRODNAME,I,,"TRANS(ITEM.MSTR,PRODNO,PRODNAME,'X')",,PRODUCT NAME,30T,S,,Translate to the Product file for name,,,
PRODNAME1,I,,"FIELD(PRODNAME,@VM,1)",,,40L,S,,,,,
SDESC,I,,"TRANS(ITEM.MSTR,PRODNO,SDESC,'X')",,SIZE DESC,5T,S,,,,,
SIZE.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,SIZE.CODE,'X')",,SIZE CODE,2L,S,,ICR.300,,,
STCODE,I,,"TRANS(ITEM.MSTR,PRODNO,STATUS.CODE,'X')",,STATUS CODE,3R,S,,ITEM.MSTR STATUS,,,
TYPE.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,TYPE.CODE,'X')",,TYPE CODE,2L,S,,Type code,,,
UDESC,I,,"TRANS(ITEM.MSTR,PRODNO,UDESC,'X')",,UNIT OF MEASURE,5T,S,,,,,
VINTAGE,I,,"TRANS(ITEM.MSTR,PRODNO,VINTAGE,'X')",,VINTAGE,2R,S,,Product Vintage,,,
*,PH,,ID.SUP ADDCD AACTIV DESC AUOMSTK AUOMISS ACONV ASTDCOST AOHQTY AUSP AUSM AUSY ANUSP ANUSM ANUSY AUDVOL PRODNO SC.USAGE,,,,,,List all fields,,,
*1,PH,,ID.SUP ADDCD AACTIV DESC AUOMSTK AUOMISS ACONV ASTDCOST AOHQTY,,,,,,List all fields (Part 1),,,
*2,PH,,ID.SUP ADDCD DESC AUSP AUSM AUSY ANUSP ANUSM ANUSY AUDVOL PRODNO SC.USAGE,,,,,,List all fields (Part 2),,,
