# Grange file: MBATCH,source: winemaking.xlsm/BA,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,MBATCH,10L,S,,Default record ID for RetrieVe,,,
BATCH.CODE,D,0,,,Batch,7L,S,,,,,
BATCH.DESC,D,1,,,Batch Description,30L,S,,Batch Description,,,
CRTDATE,D,2,,D2/,Create,8R,S,,Create Date,,,
BATCH.TEXT,D,3,,,Batch Narrative,75L,M,BATCH.TEXT,MV text concerning batch,,,
UPDCNT,D,4,,,UPDCNT,4R,S,,Update count,,,
UPDBY,D,5,,,UPDBY,8L,S,,Updated by,,,
MCNOTE,D,6,,,MCNOTE,10L,M,CNOTE,Chit Number,,,
WINERYCD,D,8,,,WINERY CODE,8L,M,CNOTE,Winery Code,,,
STATUS,D,9,,,Status,3L,M,CNOTE,Wine Status,,,
BATCH.DESC.C.H,I,,"TRANS(MBATCH,BATCH.CODE,BATCH.DESC,'X');TRANS(MBATCH.HIST,BATCH.CODE,BATCH.DESC,'X')",,Batch Description,30L,S,,Batch description from current or history file,,,
BATCH.DESC.UC,I,,UPCASE(BATCH.DESC),,Batch description,30L,S,,batch description converted to upper case. (used for selection),,,
CHAR1,I,,"@ID[1,1]",,Char1,1L,S,,,,,
COUNTER,I,,"""1""",,Counter,4R,S,,,,,
CRTYEAR,I,,"OCONV(CRTDATE,'D4/')[4]",,Create,4R,S,,Batch create year,,,
DPBATCH,I,,"SUBR(""*PZZI365"",@ID,'DP')",,,10L,S,,,,,
DPFBATCH,I,,"SUBR(""*PZZI365"",@ID,'DP.FORT')",,,10L,S,,,,,
JK.LEN.DESCP,I,,LEN(BATCH.DESC),MD00P,BATCH DESCP LENGTH,3R,S,,,,,
JK.LEN.ID,I,,LEN(@ID),MD00P,ID LENGTH,3R,S,,,,,
MV.TANKS,I,,"LOWER(TRANS(I.MG.TANK,@ID,@RECORD,'X'))",,Tanks,24L,M,TANKS,,,,
MV.TBLEND,I,,"LOWER(TRANS(MTANK,TANKS,TBLEND,'X'))",,BLEND CODE,12T,M,TANKS,Current Blend Code,,,
NUM.TANKS,I,,"DCOUNT(TANKS,@VM)",,,3R,,,Number of tanks containing batch,,,
PREFIX,I,,"@ID[1,1]",,Prefix,1L,S,,Batch code prefix,,,
TANKS,I,,"TRANS(I.MG.TANK,@ID,@RECORD,'X')",,Tanks,24L,M,TANKS,,,,
TBLEND,I,,"TRANS(MTANK,TANKS,TBLEND,'X')",,BLEND CODE,12T,M,TANKS,Current Blend Code,,,
TEXT.LINES,I,,"DCOUNT(BATCH.TEXT,@VM)",,,3R,,,Number of text lines,,,
VIYEAR,I,,"TRANS(CONTROL,'VIYEAR',1 ,'X')",,Vint,4R,S,,Current Vintage Year,,,
DEFINE.NEXT.ATTR,X,,10,,,,,,,,,
