# Grange file: MBLEND,source: winemaking.xlsm/BL,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,MBLEND,12L,S,,Default record ID for RetrieVe,,,
BLEND,D,0,,,BLEND ID,12T,S,,"Blend ID   compossed as follows    vv w s bbb t   where vv = vintage, w = winery, s",,,
REC.ID,D,0,,,BLEND ID,25L,S,,"Blend ID   compossed as follows    vv w s bbb t   where vv = vintage, w = winery, s",,,
BTYPECODE,D,1,,,TYPE,5T,S,,Blend type code (Not in present use),,,
BLENDESCP,D,2,,,BLEND DESCRIPTION,30T,S,,Blend description,,,
BCURVOL,D,3,,MD10P,CURRENT,10R,S,,Current total volume (litres),,,
BTOTCAP,D,4,,MD00P,TOTAL,8R,S,,Current total tank Capacity (litres),,,
BCURTANKS,D,5,,MD00P,TOTAL,3R,S,,Total No of Tanks used,,,
BACTIV,D,6,,,REC,1T,S,,Record activity code,,,
BTRANSIT,D,7,,,IN TRANSIT,9R,S,,Litres in Transit via Stock Movement Note,,,
OPFLAG,D,10,,,OPSMOVE,1T,S,,,,,
IBM.CODE,D,11,,,I.B.M. CODE,11L,S,,Previous I.B.M. code,,,
CONV.LALS,D,12,,,Spirit,1L,S,,Convert spirit to LALS in financial system,,,
BLEND.COST.CODE,D,13,,,Cost,3L,M,BLEND.COST,Blend Cost Code,,,
BLEND.COST.LITRE,D,14,,MD4,Cost/,7R,M,BLEND.COST,Blend Cost per Litre,,,
UPDCNT,D,15,,,Update,4R,S,,Record update count,,,
UPDBY,D,16,,,Updated By,10L,S,,User id of person who updated the record,,,
ALPHA.VINTAGE,I,,"IF NOT(NUM(@ID[2,2])) THEN 'Y' ELSE 'N'",,VINT. NON,1L,S,,,,,
BATCHES,I,,"TRANS(I.MG.BLEND,@ID,@RECORD,""+"")",,Batches,7L,M,BATCHES,,,,
BGEN,I,,"@ID[5,3]",,GEN,3L,S,,GENERIC CODE,,,
BIL,I,,"@ID[1,1]",,BIL,1L,S,,INV LEVEL,,,
BLEND.AVGCOST,I,,"TRANS(MASTER.BLEND,@ID,AVGCOST,""X"")",MD40P,BLEND,8R,S,,Translate to get Blend Average Cost,,,
BLEND.COST.DESC,I,,"TRANS(BLEND.COST,BLEND.COST.CODE,BLEND.COST.DESC,'X')",,Blend Cost Description,30L,M,BLEND.COST,Blend Cost Description,,,
BLEND.LEN,I,,LEN(@ID),,LEN,5R,S,,,,,
BLENDESCP.UC,I,,"OCONV(BLENDESCP,'MCU')",,BLEND DESCRIPTION,30T,S,,Blend description MCU,,,
BLENDTYPE,I,,"@ID[9,1]",,BLEND,1L,S,,Sub field of @ID,,,
BLENDTYPE.OLD,I,,"@ID[8,9]",,TYPE,9T,S,,Sub field of @ID,,,
BSOURCE,I,,"@ID[5,3]",,SOURCE,3T,S,,,,,
BSOURCE.OLD,I,,"@ID[4,1]",,SOURCE,1T,S,,,,,
BSPIRIT,I,,"@ID[1,1];@ID[4,1]; IF ALPHA(@1) AND (@2 = 'A' OR @2 = 'B' OR @2 = 'E') THEN 1 ELSE",,Spirit,1L,S,,1 = Spirit blend,,,
BVINTAGE,I,,"@ID[2,2]",,VINT,2T,S,,Vintage sub field of @ID,,,
BWINERYCODE,I,,"@ID[3,3]",,WINERY,3T,S,,Sub field of @ID,,,
COMMERCIAL.QTYOH,I,,"TRANS(MASTER.BLEND,@ID,1,'X');TRANS(STOCK,'43':@,QTYOH,'X')",MD10P,COMM,10R,S,,,,,
CURCOST,I,,"TRANS(ITEM.MSTR,@ID,CURCOST,'X')",MD40P,CURRENT,10R,S,,Current Cost,,,
CURVAL,I,,"TRANS(ITEM.MSTR,@ID,CURCOST,'X');@*(BCURVOL+BTRANSIT)",MD00P,STOCK,8R,S,,Current Value,,,
DPBATCHES,I,,"TRANS(DP,SWKEY,@ID,'X') ;SUBR(""!FIELDS"",@1,'/',2,1)",,Table wine,7L,M,DPBAT,Batches in small wood (DP),,,
DPFORTBATCHES,I,,"TRANS(DP.FORT,SWKEY,@ID,'X') ;SUBR(""!FIELDS"",@1,'/',2,1)",,Fortified,7L,M,DPFORTBAT,Batches in small wood (DP.FORT),,,
GROUP.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,12,'X')",,GROUP,5R,S,,Translate to the Product file for group code,,,
ID.LENGTH,I,,LEN(@ID),,LEN,5R,S,,Length of ID,,,
IGW.@ID,I,,"TRANS(IGW.MBLEND,@ID,@ID,'X')",,OTHER @ID,10R,S,,,,,
IGW.BLENDESCP,I,,"TRANS(IGW.MBLEND,@ID,BLENDESCP,'X')",,OTHER DESC,30T,S,,,,,
IGW.BTYPECODE,I,,"TRANS(IGW.MBLEND,@ID,BTYPECODE,'X')",,OTHER TYPE,5T,S,,,,,
ILEVEL,I,,"@ID[1,1]",,INV,1L,S,,,,,
IM.CHECK,I,,"SUBR(""*IM.CHECK"",@ID)",,IM.CHECK,15L,M,FROM.TANKS,Check if blend on ITEM.MSTR,,,
INTRANSIT.IND,I,,IF BTRANSIT+0 # 0 THEN 'Y' ELSE 'N',,Intransit,1L,S,,,,,
JK,I,,"TRANS(I.MB.TANK,@ID,@RECORD,'+')",,X,10L,;LOWE,,,,,
JK.LEN.ID,I,,LEN(@ID),MD00P,ID,3R,S,,,,,
JK.XX,I,,"FIELD(@ID,' ',2); IF @ THEN @ID ELSE ''",,JK.XX,15L,S,,,,,
JK.XX1,I,,"@ID[5,3]",,SRC,3L,S,,,,,
MVYEAR,I,,"TRANS(DESCRIPTION,'MVYEAR',MVYEAR,'X');@1[3,2]",,YEAR,2R,S,,Vintage year,,,
NEW.ITEM.MSTR,I,,"TRANS(ITEM.MSTR,NEWKEY,@RECORD,'X');IF @ THEN 'Y' ELSE 'N'",,FLG,1L,S,,,,,
OLD.VINTAGE,I,,"@ID[1,2]",,,2L,S,,Vintage Year,,,
ON.ITEM.MSTR,I,,"TRANS(ITEM.MSTR,@ID,@RECORD,'X');IF @ THEN 'Y' ELSE 'N'",,FLG,1L,S,,,,,
ONE,I,,'01',,,2R,,,,,,
PROD.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,11,'X')",,PROD,4R,S,,Translate to the Product file for prod code,,,
PROD.VINT,I,,"TRANS(ITEM.MSTR,PRODNO,16,'X')",,VINTAGE,4R,S,,Translate to the Product file for prod vintage,,,
PRODGP,I,,"TRANS(ITEM.MSTR,@ID,PRODGP,'X')",,PROD,3T,S,,Product Group,,,
PRODNAME,I,,"TRANS(ITEM.MSTR,PRODNO,PRODNAME,'X')",,PRODUCT NAME,30T,S,,Translate to the Product file for name,,,
PRODNAME.SIZE,I,,"PRODNAME[1,19]; @:' ':SDESC",,PRODUCT NAME,25L,S,,Translate to the Product file for name,,,
PRODNO,I,,@ID,,PRODNO,12L,S,,Translate to get Financial Product number,,,
SDESC,I,,"TRANS(ITEM.MSTR,PRODNO,SDESC,'X')",,SIZE,5T,S,,,,,
STCODE,I,,"TRANS(ITEM.MSTR,PRODNO,15,'X')",,STATUS,4R,S,,Translate to the Product file for prod status,,,
STDCOST,I,,"TRANS(ITEM.MSTR,@ID,STDCOST,'X')",MD40P,STD,10R,S,,Standard cost,,,
STYLE.CODE,I,,"@ID[4,1]",,Style,1L,S,,Style code,,,
STYLE.DESC,I,,"TRANS(BW.STYLE,STYLE.CODE,STYLE.DESC,'X')",,Style Description,30L,S,,Style description,,,
SWBATCH,I,,"TRANS(DP,SWKEY,@ID,'X') ;SUBR(""!FIELDS"",@1,'/',2,1)",,Small,7L,M,BATCHES,Batches in small wood,,,
SWKEY,I,,"SUBR(""*PZZI211"",'CAT1',@ID:'/',BATCHES,'','')",,Small wood key,20L,M,BATCHES,Small wood key,,,
TTANK,I,,"TRANS(I.MB.TANK,@ID,@RECORD,'+');LOWER(@1);TRANS(MTANK,@2,TANK,'X')",,TANK,5T,M,TTANK,Translate to Tank Master file (single to multi value),,,
TYPE.CODE,I,,"TRANS(ITEM.MSTR,PRODNO,13,'X')",,TYPE,4R,S,,Translate to the Product file for type code,,,
UBLENDESCP,I,,UPCASE(BLENDESCP),,Description,30L,S,,,,,
VALID.VINTAGE,I,,"@ID[2,2]:@FM:'B':@FM:'';SUBR('*PBWI802A',@);IF @ THEN 'INVALID' ELSE 'VALID'",X,VINTAGE,10L,S,,,,,
VARCODE,I,,"@ID[5,3]",,VAR,3T,S,,Sub field of @ID,,,
VINCLASS,I,,"TRANS(MBLENDGP,BTYPECODE,BDESCP,'X')",,PRELIMINARY VINTAGE WINE,30T,S,,Translate to get description,,,
WINE.TYPE,I,,"TRANS(MASTER.BLEND,@ID,WINE.TYPE,""X"")",,WINE TYPE,8L,M,WTYPE,Wine Type Codes From MASTER.BLEND file,,,
WINE.TYPE.DESC,I,,"TRANS(VALID.WINE.TYPES,WINE.TYPE,NAME,'X')",,WINE TYPE DESCRIPTION,30L,M,WTYPE,Wine Type Code Description,,,
WINE.TYPE.PER,I,,"TRANS(MASTER.BLEND,@ID,WINE.TYPE.PER,""X"")",MD0,W/T,3R,M,WTYPE,Wine Type Percentage in Blend From MASTER.BLEND file,,,
WITH.INVENTORY,I,,"IF @ID = 'MT' THEN '' ELSE TRANS(I.MB.TANK,@ID,@RECORD,'+');IF @1 # '' THEN 1 ELSE 0",,With,1R,S,,Translate to I.MB.TANK to determine if there is inventory of the,,,
*,PH,,ID.SUP BTYPECODE BLENDESCP BCURVOL BTOTCAP BCURTANKS BACTIV BTRANSIT OPFLAG,,,,,,List ALL fields,,,
*D,PH,,BTYPECODE BLENDESCP BCURVOL BTOTCAP BCURTANKS BACTIV BTRANSIT OPFLAG,,,,,,TO LIST ALL 'D' TYPE FIELDS 14-04-92,,,
@ENTRO,PH,,BLEND BTYPECODE BLENDESCP BCURVOL BTOTCAP BCURTANKS BACTIV,,,,,,FOR ENTRO DEFAULT FIELD LIST CREATED 10:55:21 16 DEC 1983,,,
@LPTR,PH,,BY  @ID BTYPECODE BLENDESCP,,,,,,,,,
@EMPTY.NULL,X,,,,,,,,,,,
DEFINE.NEXT.ATTR,X,,17,,,,,,,,,
