# Grange file: MBLOCKS,source: grange.xlsx/MBLOCKS,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,MBLOCKS,5R,S,,Default record ID for RetrieVe,,,
BLOCK,D,0,,,Block Code,5R,S,,Block code (sequential number),,,
ACTIVITY,D,1,,,A,1L,S,,"Activity code: '' - current/active, 'S' - suspended, 'H' -",,,
BLOCK.NAME,D,2,,,Block Name,5L,S,,5 Character description of block,,,
NAME,D,2,,,Block,5L,S,,Block name - 5 char. description,,,
SHORT.DESC,D,3,,MC,Block Descrip.,15L,S,,Short description of block,,,
DESCRIPTION,D,4,,MC,Description,30L,S,,Full block description,,,
VARIETY,D,5,,,Variety Code,3L,S,,Variety code of grapes on block,,,
ACCOUNT,D,6,,,Account,7L,S,,Account code of Grower or Company Vinyard,,,
GROWER.ID,D,6,,,Grower,7L,S,,Id of grower who owns the block,,,
CREATE.DATE,D,7,,D2/,Date,8R,S,,Date block record was created,,,
CREATE.DATE.E,D,7,,D4/E,Date,10R,S,,Date block record was created,,,
COMMENTS,D,8,,MC,Comments,40T,M,COMM,General comments about block,,,
UPDCNT,D,9,,,Upd,4R,S,,Update count,,,
UPDBY,D,10,,,Updated By,10L,S,,Last updated by,,,
HECT.FLAG,D,11,,FLAG,HECTAR,1L,S,,,,,
BLOCK.AREA,D,12,,MD30P,Ha,6R,S,,Area of the block in hectares,,,
HECTARES,D,12,,,Hectares,6R,S,,,,,
PLANTED,D,13,,,Planted,4L,S,,Year in which block was/will be planted,,,
MATURE,D,14,,,Full,4L,S,,Year in which block reaches full production,,,
DENSITY,D,15,,MD00P,Vines,6R,S,,Average number of vines per hectare,,,
GRID.REF,D,16,,,Grid,8L,S,,Grid reference number,,,
CLONE,D,17,,MC,Clone,25L,M,CLONE,Clone of Scion,,,
ROOTSTOCK,D,18,,,Rootstock Variety Code,3L,M,ROOTSTOCK,"'OWN' if growing on own roots, else variety code of rootstock",,,
YIELD.CAP,D,19,,MD10P,Yield,4R,S,,Maximum tonnes per hectare allowed under contract,,,
CAP.PROJ.NO,D,20,,,Order,10L,S,,Capital project number for developing this block,,,
CAP.PROJ.START,D,21,,,Cap.,4L,S,,First Year of Capital Project for developing this block,,,
CAP.PROJ.FINISH,D,22,,,Cap,4L,S,,Last year of capital project for developing this block,,,
ROSE.REF,D,23,,,Reference,10L,S,,"Rosemount, BBWE, and Cellarmaster reference number",,,
POTENTIAL.GV,D,24,,,Not,4R,S,,Potential Grape Value - not used - if reinstated should be potential,,,
GROWER.IDS,D,25,,,Grower,6L,M,GR.CODES,Grower IDs,,,
DATE.ID.EFFECT,D,26,,D2/,Date ID,8R,M,GR.CODES,Date the Grower ID changed,,,
DATE.ID.EFFECT.E,D,26,,D4/E,Date ID,10R,M,GR.CODES,Date the Grower ID changed,,,
ID.CHG.BY,D,27,,,Grower ID,8L,M,GR.CODES,ID Changed By,,,
REMOVED,D,28,,,Year,4L,S,,"Year in which the block is planned to be, or was, removed, that is,",,,
REMOVED.COMMENT,D,29,,MC,Removed Comment,30L,S,,Comment on how or why the block will be/is no longer in existence.,,,
RECORDS.START,D,30,,,Start,4L,S,,First vintage when this block is in active use within our system.,,,
RECORDS.START.CMMNT,D,31,,,Start Year Comment,30L,S,,Comment on how or why the block became active in our system.,,,
RECORDS.START.COMMENT,D,31,,MC,Start Year Comment,30L,S,,Comment on how or why the block became active in our system.,,,
RECORDS.END,D,32,,,End,4L,S,,Last vintage when this block is in active use within our system.,,,
RECORDS.END.COMMENT,D,33,,MC,End Year Comment,30L,S,,Comment on how or why the block became inactive within our system.,,,
BLOCK.GROUP,D,34,,,Block,5R,S,,"Where this block is to be grouped with another one, this field",,,
SUBSOURCE,D,35,,MC,Subsource,30L,S,,Sub source in which block is found,,,
GI.INDIC,D,36,,,Geographic,3L,M,GI,Geographic Indicator,,,
GI.INDIC.NOT.USED,D,36,,,FIELD NOT USED,1L,S,,,,,
ONEROUS,D,37,,FLAG,Onerous,1L,,,'Y' indicates the Block is subject to an onerous contract,,,
WIM.BLOCK,D,38,,,WIM,10L,S,,WIM block code,,,
WIM.VINEYARD,D,39,,,WIM,6L,S,,WIM vineyard code,,,
ORGANIC,D,40,,FLAG,Organic,1L,S,,Block is organically grown,,,
WIM.PRODUCED.SITE,D,41,,,WIM,2L,S,,WIM produced site (winery location),,,
GRAPEWEB.ID,D,42,,,GrapeWeb,6R,S,,GrapeWeb Block Id,,,
AGCODE.BLK,D,43,,FLAG,AgCode,1L,S,,Y/'' to indicate the block is an AgCode block.,,,
PAM.ACTIVE,D,43,,,PAM,1L,S,,Y/'' to indicate the block has been sent as an active block to Pam,,,
VINE.SPACING,D,44,,MD10P,Vine Spacing,4R,,,Vine Spacing,,,
ROW.WIDTH,D,45,,MD20P,Row Width,4R,,,Row Width,,,
CARTAGE.CODE,D,47,,MC,Cartage Code,5L,S,,Grape Cartage Code,,,
CRSITE,D,48,,,Crushsite,2L,S,,Crushsite,,,
CSITE.CODE,D,48,,,Crushsite,2L,S,,Crushsite,,,
SENT.AGCODE,D,49,,,Sent,1L,S,,"Set to Y when block sent to AgCode, cleared by screen when",,,
