# Grange file: MGROWER,source: grange.xlsx/MGROWER,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,MGROWER,10L,S,,Default record ID for RetrieVe,,,
ACCOUNT,D,0,,,Account,7L,S,,"Account Number of Grower, Company Vineyard Block or Carrier",,,
GROWERID,D,0,,,GROWER ID,9L,S,,Company Code/Grower No  xx/yyyy  where xx - LW Loxton Co-op Winery LS Loxton Co-op,,,
GROWERID.OLD,D,0,,,GROWER ID,6L,S,,Company Code/Grower No  xx/yyyy  where xx - LW Loxton Co-op Winery LS Loxton Co-op,,,
ACTIVITY,D,1,,,Account,1L,S,,"Record activity code -  ""C"" - Active ""D"" - delete  ""S"" - suspended ""H"" - history",,,
MGACTIV,D,1,,,REC,1L,S,,"Record activity code -  ""C"" - Active ""D"" - delete  ""S"" - suspended ""H"" - history",,,
MGACTIVE,D,1,,,Active,1L,S,,Record Activity Code,,,
RTYPE,D,2,,,TYPE,1L,S,,"Record Type  S - Shareholder, D - Debtor, B - Buyer of juice or wine, V - Vendor, M",,,
RDATE,D,3,,D2/,RECORD,6R,S,,Record Creation Date,,,
RDATE.E,D,3,,D4/E,RECORD,10R,S,,Record Creation Date,,,
GROWER,D,4,,,Grower Name,30L,S,,Grower name,,,
NAME,D,4,,,Name,42L,S,,"Name of Account of Grower, Company vineyard Block or Carrier",,,
TRADING.NAME,D,4,,MC,Trade Name,42L,S,,"Trading Name of Grower, Company vineyard Block or Carrier",,,
ADDRS,D,5,,MC,ADDRESS,30L,M,ADDRS,Address,,,
PCODE,D,6,,,P CODE,4R,S,,Post Code,,,
CONT1.PHONE,D,7,,,Contact 1 Phone No,12L,S,,Contact 1 Phone No,,,
PHONE,D,7,,,Phone No.,12L,S,,Phone No,,,
PHONE.NO,D,7,,,Phone,12L,S,,Growers phone number alternative format,,,
COMMENT,D,8,,MC,COMMENT,30L,M,,Comments - available to users - not MV for Grange 2020,,,
GRSOURCE,D,9,,,SOURCE,3L,S,,Grape Source Area Code,,,
GRSOURCE.OLD,D,9,,,SOURCE,3L,S,,Grape Source Area Code,,,
SOURCE,D,9,,,Source,3L,S,,Grape Source Area Code,,,
SOURCE.OLD,D,9,,,SOURCE,3L,S,,Grape Source Area Code,,,
PAYTO,D,10,,,PAY,1T,S,,"Fruit Payment Code ""C"" - Cheque, ""B"" - to Bank",,,
BANK,D,11,,,BANK,3L,S,,"Bank Code - STA-State Bank, CTB-Com Trading Bank, ANZ-ANZ, WES-Westpac",,,
GGLEVIE,D,12,,,G/G,1T,S,,Grape Growers levies to be deducted Y/N,,,
GRVAR,D,14,,,GRAPE,3L,M,,Grapes - list of currently supplied grapes.,,,
PAYEE.ACN,D,14,,,Payee ACN,11L,S,,Company ACN for the payee (from RPS Declaration),,,
ALTNAME,D,15,,,ALTERNATIVE NAME,20L,M,ALTNAME,Alternative mailing name,,,
RECIPIENT.NAME,D,15,,MC,Recipient Name,70L,S,,Recipient Name,,,
ALTADDRS,D,16,,,ALTERNATIVE ADDRESS,30L,M,ALTADDRS,Alternative mailing address,,,
MAGENT,D,17,,,AGENT,1T,S,,Agent Flag,,,
AGENT,D,18,,,AGENT NO,6L,S,,Agent Number for Grower,,,
STDCARRIER,D,19,,,STD,6L,S,,Standard Carrier for this Grower,,,
OWN.BLOCK,D,20,,FLAG,Coy,1L,S,,Grower is owned by Penfolds,,,
PAYEE.NAME,D,21,,,Payee Name,30L,S,,Payee Name for this grower (from RPS declaration),,,
PRICE.CODE,D,21,,,PRICE,1L,S,,"Default Price Code - A,B,C,D",,,
PAYMENT.CODE,D,22,,,PAY,3L,S,,Payment terms code,,,
SORT.NAME,D,23,,MC,SORT NAME,20L,S,,Name used for Inversion File and sorting by Name,,,
CONTRACT.TYPE,D,24,,,Contract Type,2L,S,,Contract type code,,,
CNTRCT.SIGN,D,25,,D2/,Contract,8R,S,,Contract signed date,,,
CNTRCT.SIGN.E,D,25,,D4/E,Contract,10R,S,,Contract signed date,,,
CNTRCT.COMM,D,26,,D2/,Contract,8R,S,,Contract commencement date,,,
CNTRCT.COMM.E,D,26,,D4/E,Contract,10R,S,,Contract commencement date,,,
CNTRCT.EXP.NOT,D,27,,,Contract,4L,S,,Contract Expiration Notification Required,,,
CNTRCT.TRMNTN,D,27,,,Contract,4L,S,,Contract termination notice required,,,
CNTRCT.LASTVIN,D,28,,,Contract Last Vintage,4R,S,,Contract last vintage,,,
CNTRCT.CRTG,D,29,,,Contract,6L,S,,Contract cartage location or value,,,
CNTRCT.RECONDATE,D,30,,D2/,Contract,8R,S,,Contract reconstuction agreement comm date,,,
FROM.IBM,D,31,,,FROM IBM,1L,S,,FROM IBM,,,
GENERIC,D,32,,FLAG,Generic,1L,S,,Generic grower indicator (used for booking only),,,
NOUSE.BANK.CODE,D,33,,,BANK,6L,S,,26-08-96 W607080010 : Bank details only on VENDOR file,,,
NOUSE.BSB.CODE,D,33,,,BSB,7L,S,,26-08-96 W607080010 : Bank details only on VENDOR file,,,
PAYEE.ADDRESS,D,33,,,Payee Address,30L,M,PYADD,Payee Address (from RPS declaration),,,
NOUSE.BANK.ACCOUNT,D,34,,,BANK ACCOUNT,20L,S,,26-08-96 W607080010 : Bank details only on VENDOR file,,,
PAYEE.POSTCODE,D,34,,,Payee Postcode,4R,S,,Payee postcode (from RPS declaration),,,
NOUSE.BANK.ACCOUNT.N,D,35,,,BANK ACCOUNT NAME,20L,S,,26-08-96 W607080010 : Bank details only on VENDOR file,,,
PAYEE.ENTITY,D,35,,,Pay,1L,S,,Payee entity type code (from RPS declaration),,,
ACCOUNT.CODES,D,36,,,Account,6L,M,ACC.CDE,Grower or company block account codes,,,
DTE.CODE.EFFECT,D,37,,D2/,Date Code,8R,M,ACC.CDE,Date that the account code became effective,,,
DTE.CODE.EFFECT.E,D,37,,D4/E,Date Code,10R,M,ACC.CDE,Date that the account code became effective,,,
ACC.CHG.BY,D,38,,,Account,8L,M,ACC.CDE,Account code changed by,,,
BLOCK,D,39,,,Block,5R,M,BLKS,Block codes (key to MBLOCKS file),,,
PAYEE.CONTACT,D,40,,,Payee Contact Name,30L,S,,Payee contact name (from RPS declaration),,,
PAYEE.PHONE,D,41,,,Payee Phone No.,15L,S,,Payee contact phone number (from RPS declaration),,,
PAYEE.TRADENAME,D,42,,,Payee Trading Name,30L,S,,Payee trading name (from RPS declaration),,,
PAYEE.CHECKED,D,43,,,Payee,1L,S,,RPS declaration details checked (Y/N),,,
PAYEE.AUTHBY,D,44,,,Payee Auth,10L,S,,Logname of user who authorised RPS details,,,
PAYEE.AUTHDATE,D,45,,D2/,Payee,8R,S,,Date RPS details were authorised,,,
PAYEE.AUTHDATE.E,D,45,,D4/E,Payee,10R,S,,Date RPS details were authorised,,,
PAYEE.MAINTBY,D,46,,,Payee Last,10L,S,,Logname of user who last maintained RPS details,,,
PAYEE.MAINTDATE,D,47,,D2/,Payee,8R,S,,Date RPS details were last maintained,,,
PAYEE.MAINTDATE.E,D,47,,D4/E,Payee,10R,S,,Date RPS details were last maintained,,,
ACCOUNT.GROUP,D,48,,,Account,6L,S,,Account Group,,,
CONT1.FAX,D,49,,,Contact 1 Fax No,12L,S,,Contact 1 Fax No,,,
FAX,D,49,,,,12L,S,,Fax number,,,
CONT1.MOBILE,D,50,,,Contact 1 Mobile No,12L,S,,Contact 1 Mobile No,,,
MPHONE,D,50,,,,12L,S,,Mobile Phone,,,
CONT1.EMAIL,D,51,,MC,Contact 1 Email,47L,S,,Contact 1 Email Address,,,
EMAIL,D,51,,,,50L,S,,Email address,,,
ROSE.REF,D,52,,,Reference,10L,S,,"Rosemount, BBWE, and Cellarmaster reference number",,,
NTFY.TYPE,D,53,,,Maturity,1L,M,VINT.CONT,"Grower maturity notification type, E = email, F = Fax, null = none",,,
RCTI.PER,D,54,,MD10P,RCTI,5R,S,,GST Percentage charged by growers on Recip Created Tax Inv,,,
INITIAL.TERM,D,55,,,Initial Term,2L,S,,Initial Term in years,,,
EXT.PERIOD,D,56,,,Ext,1L,S,,Number of years the contract may be extended,,,
COMM.LASTVIN,D,57,,,Last,4L,S,,Last vintage the company is required to take fruit from the grower.,,,
DATE.NOTIFIED,D,58,,D2/,Date,8R,S,,Date Contract expiration notification sent,,,
DATE.NOTIFIED.E,D,58,,D4/E,Date,10R,S,,Date Contract expiration notification sent,,,
DATE.REVIEWED,D,58,,D2/,Date,8R,S,,Date the contract was last reviewed,,,
DATE.REVIEWED.E,D,58,,D4/E,Date,10R,S,,Date the contract was last reviewed,,,
REVIEW.STATUS,D,59,,,Review,2L,S,,Review Status,,,
WRITTEN.NOTICE,D,60,,D2/,Written,8R,S,,Date on which written notice was sent to the Grower,,,
WRITTEN.NOTICE.E,D,60,,D4/E,Written,10R,S,,Date on which written notice was sent to the Grower,,,
VINEYARD.LOCATION,D,61,,MC,Vineyard Location,30L,M,VINEYARD.LO,Address of Vineyard,,,
REVIEW.COMMENTS,D,62,,,Review comments,30L,M,REVIEW.COMM,Review comments,,,
CONTACT.NAMES,D,63,,MC,Contact Names,30L,M,VINT.CONT,Contact names,,,
VINT.CONT.SURNAME,D,63,,MC,Vintage Contact Surname,25L,M,VINT.CONT,Vintage Contact Surname,,,
VINEYARD.DIRECTION,D,64,,MC,Vineyard direction,55L,M,VINEYARD.DI,Vineyard direction,,,
CONTACT.PHONE,D,65,,,Contact Phone,12L,M,VINT.CONT,Contact Phone,,,
VINT.CONT.PHONE,D,65,,,Vintage Contact Phone No,12L,M,VINT.CONT,Vintage Contact Phone Number,,,
CONTACT.FAX,D,66,,,Contact Fax,12L,M,VINT.CONT,Contact Fax,,,
