# Grange file: MOPS,source: winemaking.xlsm/MOPS,downloaded: 2021-09-01
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,MOPS,10L,S,,Default record ID for RetrieVe,,,
OPCD,D,0,,,OPER,4T,S,,Operation ident code,,,
OACTIV,D,1,,,REC,1T,S,,Record activity code,,,
PS.TYPE.CODES,D,1,,,Type,2R,S,,Operation code type (used in PS.OPCODES),,,
ODESCP,D,2,,MC,DESCRIPTION,30T,S,,Description of the operation,,,
PS.VALID.MOPS,D,2,,,Valid,2R,S,,Operation codes (used in PS.OPCODES),,,
OINST,D,3,,MC,INSTRUCTION,15T,S,,Brief operation instructions,,,
OBSTAT,D,4,,,B4,3T,M,STATUS,Status of Blend before Operation,,,
OASTAT,D,5,,,AFT,3T,M,STATUS,Status of blend after operation,,,
OSTDCOST,D,6,,,STANDARD,11R4,S,,Standard cost of operation,,,
OTYPE,D,7,,,OP,1T,S,,"Type of operations or addition , O - Operations, A - Additions(including comments)",,,
OADDCD,D,8,,,ADD,4T,M,ADD.INSTRUC,Additions identification code,,,
OUOM,D,9,,,UNIT OF,12T,M,ADD.INSTRUC,Additions unit of measure,,,
OFROMT,D,10,,FLAG,FROM,1T,S,,From tanks required (Y/N),,,
OTOT,D,11,,FLAG,TO,1T,S,,To tanks required (Y/N),,,
OUDVOL,D,12,,FLAG,U/D,1T,S,,Update Tank Volume (Y/N),,,
ONUSP,D,13,,,USED,5R,S,,No of requests for this operation - this period to date,,,
ONUSM,D,14,,,USED,5R,S,,No of requests for this operation - this month to date,,,
ONUSY,D,15,,,USED,5R,S,,No of requests for this operation - this YTD,,,
ONTANKP,D,16,,,NO TANK,5R,S,,No of tanks used - this period to date,,,
ONTANKM,D,17,,,NO TANK,5R,S,,No of tanks used - month to date,,,
ONTANKY,D,18,,,NO TANK,5R,S,,No of tanks used - YTD,,,
OCHEMS,D,19,,,CHEMISTRY,8T,M,STATUS,Standard Chemistry Analysis Request to be created when status changes,,,
STC.FROM,D,20,,,FROM,2L,S,,Stock Transaction Code - From,,,
STC.TO,D,21,,,TO,2L,S,,Stock Transaction Code - To,,,
STC.LG,D,22,,,LOSS/GAIN,2L,S,,Stock Transaction Code - Loss/Gain,,,
STC.LOSS,D,23,,,LOSS/GAIN,3L,S,,Stock Transaction Loss Code Identification,,,
STD.VAR1,D,24,,MD10P,STD %,5R,S,,Standard Loss/Gain Variance Percentage Factor 1,,,
STD.VAR2,D,25,,MD10P,STD %,5R,S,,Standard Loss/Gain Variance Percentage Factor 2,,,
STD.LTRS,D,26,,MD0P,STD %,5R,S,,Standard Loss/Gain Variance Litres,,,
TYPE.CODE,D,27,,,Type,2R,S,,Operation code type,,,
UPDATE.CODE,D,28,,,Upd,1R,S,,Operation update code - used for screen validations/updates,,,
IBLEVEL,D,29,,,,3L,M,ILEVEL,Inventory level before operation,,,
IALEVEL,D,30,,,,3L,M,ILEVEL,Inventory level after operation,,,
ADDESCP,D,31,,,ADDITIVE DESCRIPTION,72L,M,,Additive description,,,
DEFINST,D,31,,,Default instructions,72L,M,DEFINST,Default instructions,,,
OP.INSTR,D,31,,WP,,72L,,,Operation instructions,,,
DO.NOT.MODIFY,D,32,,,DNM,1L,S,,Do NOT Modify this Operation Code,,,
RECEIPT.OPCODE,D,33,,,RECPT,4L,S,,Receipt Operation Code,,,
RELATED.OPCODE,D,33,,,REL,4L,S,,Related Operation Code,,,
PROCESS.LEVEL,D,34,,,PL,2L,S,,Process level for extraction operation,,,
PRODMEAS.TYPE,D,35,,,Prodn.,10L,M,,Production Measurement Types applicable to this Operation Code,,,
MAT.CODE,D,36,,,Material,12L,M,,Default Materials Codes for this Operation Code,,,
MAT.CODES,D,36,,,Material,12L,M,,Default Materials Codes for this Operation Code,,,
MACHINES,D,37,,,Machine,14L,M,,Default Machine Codes for this Operation Code,,,
WM.WOOD.FLAG,D,38,,,WOOD,1L,S,,Wood related flag: 'I' to insert 'R' to remove,,,
ADDN.OPCODE,D,39,,,ADDN,4L,S,,Additive Operation Code,,,
CHEM.XFER.FLAG,D,40,,FLAG,No Chemistry,10L,S,,- No Chemistry Transfer flag,,,
CLR.CHEM.FLAG,D,41,,FLAG,Clear To,10L,,,- Clear TO tank chemistry flag,,,
SEP.INST,D,42,,FLAG,Seperate,1L,S,,Seperate Additive instructions required,,,
DESPATCH.TO.TANKER,D,43,,FLAG,Despatch,1L,S,,Dispatch to tanker flag for despatch type codes,,,
EOM.TYPE,D,44,,,EOM,1L,S,,EOM Transaction Type,,,
EX.RCVRY,D,45,,,Excl,1L,S,,Exclude from Recoveries Reports,,,
BOTT.OR.RTN.OP,D,46,,,Bottling,4L,S,,Bottling or bottling return operation code (cross ref to each other),,,
TMS.TFRIN,D,47,,,Treat as,1L,S,,Flag to indicate that a transfer operation is to be treated as a,,,
MT.TTANK.REQD,D,48,,,MT,1L,S,,'Y' if the To tanks are required to be empty,,,
MAST.OPCD,D,49,,,,3R,S,,Master operation code,,,
MT.TNK.OP,D,50,,FLAG,Empty,1L,S,,"Operation is done on empty tanks, cleaning etc",,,
NON.OPT,D,51,,,Not,1L,S,,The operation is not to be sent to TMS,,,
CONCALLOC,D,52,,FLAG,Conc,1L,S,,'Y'/'' Concentrate allocation flag,,,
TIR.DESP.REC,D,53,,FLAG,,1L,S,,'Y' if a Despatch or receipt is a tirage operation,,,
ACTUAL.COST.CODE,D,54,,,Actual Cost,10L,S,,Actual cost code if actual costs are to be captured for the,,,
PRINT.BARCODE,D,55,,,Print,1L,S,,= 'Y' if barcodes are to be printed on CHIT,,,
MASTER.OPCODE,D,56,,FLAG,Master,1L,S,,Master operation code (new for Grange2020) 0/1,,,
DELETED.OPCODE,D,57,,MC,Deleted,22L,S,,"Operation code is currently deleted, only populated by Grange2020",,,
UPDCNT,D,58,,,,4R,S,,Update count,,,
UPDBY,D,59,,,,10L,S,,Updated by (UserId),,,
A.YEAR.AGO,I,,"OCONV(DATE(),'D4/');@[1,6]:@[4]-1;ICONV(@,'D4/')",D4/,A Year Ago,10R,S,,,,,
ACC,I,,"TRANS(FIN.WH.CODE,PREFIX,'ACC','X')",,BW ACC,6L,S,,,,,
ADDN.OP.DESC,I,,"TRANS(MOPS,ADDN.OPCODE,ODESCP,'X')",,Receipt Description,30L,,,Additive MOPS description,,,
AUD.DATE,I,,"FIELD(@ID,""*"",2)",D2/,AUDIT DATE,8R,S,,,,,
AUOMISSPV,I,,"TRANS(MADD,OADDCD,AUOMISSPV,'X')",,UNITS OF MEASURE,30T,M,,Additive description,,,
BLEND.COST.DESC,I,,"TRANS(BLEND.COST,ACTUAL.COST.CODE,'BLEND.COST.DESC','X')",,Description,30L,S,,Cost Code Description,,,
BLENDING.OP,I,,IF UPDATE.CODE = 2 THEN 'Y' ELSE '',,Blend,1L,S,,Flag = Y if operation code is for a blending operation,,,
BOTT.RTN.DESC,I,,"TRANS(MOPS,BOTT.OR.RTN.OP,ODESCP,'X')",,Bottling or returns,30L,S,,Bottling or returns MOPS description,,,
CTRL.ACCOUNT,I,,"TRANS(CONTROL,TRANS(CONTROL,LIT.MASTER.ACCOUNT,1,'X'),'ACCOUNT','X')",,Winery,9L,M,WINERY,Winery account from master CONTROL record,,,
CTRL.WTO,I,,"TRANS(CONTROL,TRANS(CONTROL,LIT.MASTER.ACCOUNT,1,'X'),'WTO.ACCOUNT','X')",,WTO,1L,M,WINERY,WTO flag from master CONTROL record,,,
DATE.DELETED,I,,"FIELD(@ID,'*',2)",D2/,Date,10R,S,,,,,
EOM.DESC,I,,"SUBR(""*PZZI211"",""SELINS"",RAISE(EOM.DESCS),RAISE(EOM.TYPES),EOM.TYPE,"""")",,EOM type description,15L,S,,End of month type description,,,
EOM.DESCS,I,,"TRANS(CONTROL,'MOPS.EOM.TYPES',2 ,'X')",,End of month type,15L,M,EOM.TYPES,End of month type descriptions,,,
EOM.TYPES,I,,"TRANS(CONTROL,'MOPS.EOM.TYPES',1 ,'X')",,End,1R,M,EOM.TYPES,End of month types,,,
ID.CHAR1,I,,"@ID[1,1]",,@ID,1L,S,,First character of @ID,,,
LAST.YEAR,I,,"OCONV(DATE(),'D4/');@1[4]-1;""01/01/"":@2;ICONV(@3,'D4/')",D4/,1 Jan Last year,10R,S,,,,,
LEN,I,,LEN(@ID),,,5R,S,,,,,
LEN.DEFINST,I,,LEN(DEFINST),,Length,4R,S,,,,,
LIT.MASTER.ACCOUNT,I,,"""MASTER.ACCOUNT""",,,14L,S,,,,,
MAST.OPCD.DESC,I,,"TRANS(MASTER.MOPS,MAST.OPCD,DESC,'X')",,Master operation,15L,S,,Master operation code description,,,
MASTER.OPCODE.DESC,I,,"TRANS(MOPS,MAST.OPCD,ODESCP,'X')",,Master Opcode Desc,30L,S,,Master operation code description (Grange2020 version),,,
MOPS.DELETED,I,,"FIELD(@ID,'*',1)",,Operation,10R,S,,,,,
NUM.MACHINES,I,,"DCOUNT(MACHINES,@VM)",,,3R,S,,Count of Default Machine Codes,,,
