# Grange file: MTANK,source: winemaking.xlsm/Tank,downloaded: 2025-06-04
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
MBLEND.MJS,A,0,"A;9[""1"",""1""] P(1A)",,,,,,,,,
@ID,D,0,,,MTANK,23L,S,,Default record ID for RetrieVe,,,
GTV99*13423*40263,D,0,,,,20L,S,,,,,
ID.20L,D,0,,,MTANK,20L,S,,Default record ID for RetrieVe,,,
ID1,D,0,,,TANK NO,17R,S,,Tank Number,,,
RTANK,D,0,,,TANK NO,6R,S,,Tank Number,,,
SHORT.ID,D,0,,,TANK NO,8T,S,,Tank Number,,,
TANK,D,0,,,Tank No,6T,S,,Tank Number,,,
TANK1,D,0,,,Tank ID,6T,S,,Tank Number - heading on single line,,,
TANK10,D,0,,,Tank,10L,S,,Tank code 10 char,,,
TACTIV,D,1,,,Act Sta,1T,S,,"Record activity status ("" "" - Active, ""D"" - De-activated)",,,
TACTIV1,D,1,,,Act Sta,1T,S,,"Record activity status ("" "" - Active, ""D"" - De-activated) - heading on single line",,,
TANK.LIST,D,1,,,Tanks,5R,M,TANKS,Tank list used in PS.TANK.SELECTION,,,
TAVAIL,D,2,,,AVAIL,2T,S,,"Tank availability Status Code - MT - empty, NB - repairs, US - in use  ie. operation still active ,  FL - full:partfull , AS - assigned to a cellar note",,,
TTABLE,D,3,,,Dip Table,6T,S,,Tank Size Dip Table,,,
TTABLE1,D,3,,,Dip Table,6T,S,,Tank Size Dip Table - heading on single line,,,
TTABLE2,D,3,,,DIP TABLE,10L,S,,Tank Size Dip Table,,,
TCONTENT,D,4,,,Reserved For Wine Style,1L,S,,,,,
TDESCP,D,5,,,Description,15T,S,,Tank description,,,
TSPECIF,D,6,,,Tank Specification,25T,S,,Tank Specification,,,
TCOMMENT,D,7,,,Tank Comment,20L,S,,Tank Comment,,,
F8,D,8,,,,12R,S,,,,,
TDIP,D,8,,MD10P,TANK DIP,10R,S,,Tank Dip,,,
TDIP.NOCONV,D,8,,,TANK DIP,10R,S,,Tank Dip,,,
TBLEND,D,9,,,Blend Code,12T,S,,Current Blend Code,,,
TBLENDS,D,9,,,BLEND CODE,12T,M,TANKS,Blend Code used in PS.TANK.SELECTION,,,
BATCH.CODE,D,10,,,Batch Code,7L,S,,Current Batch Code,,,
TBATCHNO,D,10,,,Batch No,7R,S,,Current Batch Number,,,
TBATCHNOS,D,10,,,BATCH NO,7R,M,TANKS,Batch Code used in PS.TANK.SELECTION,,,
TCHEMNO,D,11,,,CHEM REF #,10L,S,,Last chemistry Analysis Reference No,,,
TCNOTE,D,12,,,OPERAT NOTE #,12L,M,,Last Cellar operations note no.s  - sub values since last time tank was MT,,,
TOPCD,D,13,,,LAST OPER CODE,3T,S,,Last operation code performed - single value field,,,
TCHEMSTD,D,14,,,REQ STANDARD CHEM ANALYSIS,14T,S,,Required standard chemistry analysis,,,
TUGROUP,D,15,,,GROUP,3T,M,TANK.USAGE,Blend Group Code by Day,,,
TUCUST,D,16,,,CUST,3T,M,TANK.USAGE,Customer Assigned by Day,,,
TUOPP,D,17,,,OPER NO,4T,M,TANK.USAGE,Last Operation performed by Day,,,
TANKHIST,D,18,,,PREV TANK,5T,M,TANK.HIST,Previous Tanks from last operation,,,
TANKHISTOP,D,19,,,PREV OPER,4T,M,TANK.HIST,Previous Tanks operation codes,,,
TCUST,D,20,,,ASS CUST,9L,S,,Assigned customer,,,
TCUST.OLD,D,20,,,ASS CUST,3T,S,,Assigned customer,,,
TRELTANKS,D,21,,,REL TANKS,5T,M,,"Other tanks with same blend (based on last cellar note) not in use, using I.MB.TANK",,,
TSTATUS,D,22,,,STAT,3T,S,,Blend status after operation is completed,,,
TSTATUSES,D,22,,,STAT,3T,M,TANKS,Blend Status used in PS.TANK.SELECTION,,,
TASCNOTES,D,23,,,Assoc C/Notes,10L,M,OP,List of outstanding chits for this tank,,,
INSULATION,D,24,,,Insulation,1L,S,,Tank is insulated (Y/),,,
COOLING,D,25,,,Cooling,1L,S,,Tank has in place cooling (Y/),,,
TCLASS,D,29,,,SPIRIT CLASS,4T,S,,Spirit Vat Class,,,
TSTRENGTH,D,30,,,SPIRIT STR,4T,S,,Spirit Vat Strength,,,
TFRUITBE,D,31,,,FRUIT BE,4T,S,,Fruit Beaume,,,
TREADINGNO,D,32,,,READ NO,3R,M,TCHEM,Chemistry Reading Number,,,
TREADVALUE,D,33,,,READ VALUE,7R,M,TCHEM,Chemistry Reading Value,,,
TBLENDASS,D,34,,,BLEND CODES,12T,M,,Blend Codes Assigned Since the Tank was Empty,,,
TTEMP,D,35,,MD10P,Spirit Temp,6R,S,,Spirit Temperature,,,
T.VOLUME,D,36,,MD10P,Volume,10R,S,,Tank volume - only populated for copies of MTANK taken at month/year end etc.,,,
LOCATION,D,37,,,LOCATION SORT ORDER,6T,S,,Location or order code  - used to sort most reports order,,,
TDIW,D,38,,D2/,DATE IN WOOD,8R,S,,Date in Wood (for Brandy),,,
TPERC2A,D,39,,,PERC 2A,4R,S,,Percent 2A (for Brandy),,,
MCOMMENT,D,40,,,COMMENTS,30T,M,COMM,Multivalued comment field,,,
TSUGAR,D,41,,MD20P,SUGAR (kgs),6R,S,,Sugar content of brandy tanks,,,
BEGMTH.BLEND,D,42,,,BEG MTH BLEND CODE,12T,S,,Begining of the Month Blend Code,,,
BEGMTH.LTRS,D,43,,MD10P,BEG MTH LITRES,7R,S,,Begining of the Month Litres,,,
BEGMTH.STR,D,44,,MD10P,BEG MTH STR,7R,S,,Begining of the Month Strength,,,
BEGMTH.TEMP,D,45,,MD10P,BEG MTH TEMP,7R,S,,Begining of the Month Temperature,,,
IBM.CODE,D,46,,,I.B.M. CODE,12L,S,,Previous I.B.M. Code,,,
HP.CODE,D,47,,,Original H.P.Tank,6L,S,,Original H.P. Code,,,
ILEVEL,D,48,,,,3L,S,,Inventory Level,,,
TANK.CAP,D,49,,MD10P,TANK CAPACITY,10R,S,,Tank Capacity,,,
TCAP,D,49,,MD10P,TANK CAPACITY,10R,S,,Tank Capacity,,,
CHEMNOTES,D,50,,,,10L,M,CH,List of incomplete chemistry notes for the current contents of this tank,,,
CHEM.BBATCH,D,51,,,CHEM Blend*Batch,20L,M,CH,Corresponding CHEM blend*batch values,,,
VSUM.KEY,D,52,,,Key to the Vintage Summary file,39L,S,,Unique Key to the VINT.SUMM file,,,
RECOST.CNOTE,D,53,,,Recost Chit,10L,S,,Chit number of the yearly recost(PVCU005) or Wood & O/head cost(PVCU007) if there was one,,,
TONNES.CAPACITY,D,54,,MD10P,Tank Capacity (Tonnes),6R,S,,,,,
TONNES.CAPACITY1,D,54,,MD10P,Tank Capacity (Tonnes),6R,S,,Tank Capacity (Tonnes) - heading on one line,,,
AGITATOR,D,55,,,Agit Flag,1L,S,,set to 'Y' if agitator is fitted,,,
AGITATOR1,D,55,,,Agitator,1L,S,,set to 'Y' if agitator is fitted - heading on single line,,,
PLANK.RING,D,56,,,Plank Rings Flag,1L,S,,set to 'Y' if plank rings are fitted,,,
PLANK.RING1,D,56,,,Plank Rings,1L,S,,set to 'Y' if plank rings are fitted - heading on single line,,,
TCHEMPERC,D,63,,MD20P,Chemistry Relevance To This tank,6R,M,TCHEM,- Chemistry relevance for this tank expressed as a percentage,,,
TOUTSADDN,D,64,,,Outstanding Additions,10L,M,ADDN,List of outstanding Additions for this tank,,,
TANK.TYPE,D,65,,,Tank Type,1L,S,,Tank Type,,,
TANK.TYPE1,D,65,,,Tank Type,1L,S,,Tank Type - heading on single line,,,
TANK.TYPES,D,65,,,Tank Type,1L,M,TANKS,Tank Type used in PS.TANK.SELECTION,,,
TANK.USE,D,66,,,Tank Use,1L,S,,Tank Use,,,
TANK.USE1,D,66,,,Tank Use,1L,S,,Tank Use - heading on one line,,,
TANK.USES,D,66,,,Tank Use,1L,M,TANKS,Tank Use used in PS.TANK.SELECTION,,,
ALTERN.USE,D,67,,,Alt Use,1L,S,,Alternate Use,,,
VINTAGE.USE,D,67,,,Vint Use,1L,S,,Vintage Use,,,
DETAILED.USE,D,68,,,Detailed Use,2L,S,,Detailed Use,,,
DETAILED.USE1,D,68,,,Detailed Use,2L,S,,Detailed Use - heading on one line,,,
TANK.FORM,D,68,,,Tank Form,2L,S,,Tank Form,,,
TANK.FORMS,D,68,,,Tank Form,2L,M,TANKS,Tank Form used in PS.TANK.SELECTION,,,
WINERY.LOCATION,D,69,,,Winery Location,2L,S,,Winery Location,,,
WL,D,69,,,WL,2L,S,,Winery Location Code,,,
CONT.TANK.CODE,D,70,,,Contractor Tank Code,10L,S,,Contractor Tank Code,,,
CONT.TANK.CODE1,D,70,,,Contractor Tank Code,10L,S,,Contractor Tank Code - heading on single line,,,
TFROMCHEM,D,71,,,,10L,M,TCHEM,From Tank Chemistry,,,
TFROMCHEM.CURR,D,72,,,From Tank Chemistry current,1L,M,TCHEM,From tank chemistry current flag,,,
HYD,D,73,,,Spirit Hyd,7L,S,,Spirit Tank Hyd,,,
OBS,D,74,,,Spirit Obs,7L,S,,Spirit Obs,,,
LALS.20,D,75,,,Spirit LALS @ 20oC,7L,S,,Spirit LALS @ 20oC,,,
WIM.ALGEN.STYLE,D,76,,,WIM Allergen Styles,3L,M,WIM.ALGEN,WIM allergen style codes,,,
PRELIM.BP,D,77,,,BP number,8R,M,PRELIM.BP,Blend proposal numbers of prelim BP this tank is on.,,,
CAP.STOR.CALC,D,78,,,Capacity Storage Calc,1L,S,,set to 'Y' if Capacity in Storage Calculation is to be included,,,
CAP.STOR.CALC1,D,78,,,Capacity Storage Calc,1L,S,,set to 'Y' if Capacity in Storage Calculation is to be included - heading on one line,,,
CONT.STOR.CALC,D,79,,,Contents Storage Calc,1L,S,,set to 'Y' if Contents in Storage Calculation is to be included,,,
CONT.STOR.CALC1,D,79,,,Contents Storage Calc,1L,S,,set to 'Y' if Contents in Storage Calculation is to be included - heading on one line,,,
OS.PLAN.CHITS,D,80,,,Outstanding Planning Chits,10L,M,OS.PLAN,Outstanding planning CHITs against the tank,,,
TEMP.SETPOINT,D,81,,MD10P,Temp Setpoint,4R,S,,Temperature setpoint to be passed to Ignition system.,,,
