# Grange file: OPSMOVE.SUMMARY,source: winemaking.xlsm/OpS,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,OPSMOVE.SUMMARY,10L,S,,Default record ID for RetrieVe,,,
EXVINCNOTE,D,1,,,Ex vintage Crush Note,12L,M,EXVIN,Ex vintage - Crush Note reference,,,
EXVINMADATE,D,2,,D4/,Ex Vintage Crush Note Actual Date,11R,M,EXVIN,Ex Vintage - Crush Note Actual Date,,,
EXVINVOL,D,3,,,Ex Vintage Crush Note Volume,9R,M,EXVIN,Ex Vintage - Crush Note Volume,,,
EXVIN.MOPCD,D,4,,,Ex vintage Operation,4L,M,EXVIN,Ex vintage - Crush Note operation code,,,
PURCNOTE,D,5,,,Purchased Wine Cellar Note,12L,M,PUR,Purchased Wine Cellar Note,,,
PURMADATE,D,6,,D4/,Purchased Wine Cellar Note Actual date,11R,M,PUR,Purchased Wine Cellar Note Actual Date,,,
PURVOL,D,7,,,Purchased Wine Cellar Note Volume,9R,M,PUR,Purchased Wine Volume,,,
PUR.MOPCD,D,8,,,Purchased Wine Operation,4L,M,PUR,Purchased Wine Operation code,,,
XTIRCNOTE,D,9,,,Tirage to Tank Cellar Note,12L,M,XTIR,Tirage to tank Cellar Note,,,
XTIRMADATE,D,10,,D4/,Tirage to Tank Cellar Note Actual Date,11R,M,XTIR,Tirage to tank Cellar Note Actual Date,,,
XTIRVOL,D,11,,,Tirage to Tank Cellar Note Volume,9R,M,XTIR,Tirage to Tank Cellar Note Volume,,,
XTIR.MOPCD,D,12,,,Tirage to Tank Operation,12L,M,XTIR,Tirage to tank Operation code,,,
INTCNOTE,D,13,,,Receival Cellar Note,12R,M,INT,Receival Cellar Note,,,
INTMADATE,D,14,,D4/,Receival Cellar Note Actual Date,11R,M,INT,Receival Cellar Note Actual Date,,,
INTVOL,D,15,,,Receival Cellar Note Volume,9R,M,INT,Receival Cellar Note Volume,,,
INT.MOPCD,D,16,,,Receival Operation,12R,M,INT,Receival Operation Code,,,
FWLCNOTE,D,17,,,Received Cellar Note,12R,M,FWL,Received Cellar Note,,,
FWLMADATE,D,18,,D4/,Received Cellar Note Actual Date,11R,M,FWL,Received Cellar Note Actual Date,,,
FWLVOL,D,19,,,Received Cellar Note Volume,9R,M,FWL,Received Cellar Note Volume,,,
FWL.MOPCD,D,20,,,Received Operation,4L,M,FWL,Received Operation,,,
ADJCNOTE,D,21,,,Adjustment Cellar Note,12R,M,ADJ,Adjustment Cellar Note,,,
ADJMADATE,D,22,,D4/,Adjustment Cellar Note Actual Date,11R,M,ADJ,Adjustment Cellar Note Actual Date,,,
ADJVOL,D,23,,,Adjustment Cellar Note Volume,9R,M,ADJ,Adjustment Cellar Note Volume,,,
ADJ.MOPCD,D,24,,,Adjustment Operation,4L,M,ADJ,Adjustment Operation Code,,,
GLCNOTE,D,25,,,Gain/Loss Cellar Note,12R,M,GL,Gain/Loss Cellar Note,,,
GLMADATE,D,26,,D4/,Gain/Loss Cellar Note Actual Date,11R,M,GL,Gain/Loss Cellar Note Actual Date,,,
GLVOL,D,27,,,Gain/Loss Volume,9R,M,GL,Gain/Loss Cellar Note volume,,,
GL.MOPCD,D,28,,,Gain/Loss Operation,4L,M,GL,Gain/Loss Operation Code,,,
TWLCNOTE,D,29,,,Despatch Cellar Note,12R,M,TWL,Despatch Cellar Note,,,
TWLMADATE,D,30,,D4/,Despatch Cellar Note Actual Date,11R,M,TWL,Despatch Cellar Note Actual Date,,,
TWLVOL,D,31,,,Depatched Volume,9R,M,TWL,Despatch Note Cellar Note Volume,,,
TWL.MOPCD,D,32,,,Despatch Operation,4L,M,TWL,Despatch Operation Code,,,
SOLDCNOTE,D,33,,,'SAL' Cellar Note,12R,M,SOLD,'SAL' Cellar Note,,,
SOLDMADATE,D,34,,D4/,'SAL' Cellar Note Actual Date,11R,M,SOLD,'SAL' Cellar Note Actual Date,,,
SOLDVOL,D,35,,,'SAL' Cellar Note Volume,9R,M,SOLD,'SAL' Cellar Note Volume,,,
SOLD.MOPCD,D,36,,,'SAL' Operation,4L,M,SOLD,'SAL' Operation,,,
BOTCNOTE,D,37,,,'BOT' Cellar Note,12R,M,BOT,'BOT' Cellar Note,,,
BOTMADATE,D,38,,D4/,'BOT' Cellar Note Actual Date,11R,M,BOT,'BOT' Cellar Note Actual Date,,,
BOTVOL,D,39,,,'BOT' Cellar Note Volume,9R,M,BOT,'BOT' Cellar Note Volume,,,
BOT.MOPCD,D,40,,,'BOT' Cellar Note,12R,M,BOT,'BOT' Operation Code,,,
SOP,D,41,,,Start of Period Inventory,13R,S,,Start of Period Inventory,,,
GLPERC,D,42,,,Gain/Loss Percentage,6R,M,GL,Gain/Loss Percentage,,,
SIZE,A,9999,,,,,,,,,,
LAST.BALANCE,1,,,,,,,,,,,
