# Grange file: OPSMOVE,source: winemaking.xlsm/OP,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,OPSMOVE,12L,S,,Default record ID for RetrieVe,,,
MCNOTE,D,0,,,Cellar Note,13L,S,,Cellar note number - AAAyynnnn for user AAA / year yy / number nnnn,,,
OPNOTE,D,0,,,Operation,13L,S,,Operation note number - AAAyynnnnn for user AAA / year yy / number,,,
MACTIV,D,1,,,REC,1T,S,,"Record activity code ,  R = requested ops, S = operation started but not yet",,,
SYSTEM.USE.DONT.CHANGE.,D,1,,,SYSTEM USE DONT CHANGE,1L,,,SYSTEM USE DONT CHANGE,,,
MRDATE,D,2,,D2/,REQUIRED,8R,S,,Date request made for operations,,,
MRTIME,D,3,,MTS,REQUIRED,6R,S,,Time request made for operation,,,
MADATE,D,4,,D2/,COMPLETE,8R,S,,System completion date,,,
MADATE.E,D,4,,D4/E,COMPLETE,10R,S,,System completion date,,,
MADATE.I,D,4,,,ACTUAL,5R,S,,Date actual action started (no output conv),,,
MADATE.UN,D,4,,,ACTUAL,8R,S,,Date actual action started,,,
MAMONTH,D,4,,"DYM[2,2]",Actual,4R,S,,Month Number MADATE,,,
MOPCD,D,5,,,OPER,4L,S,,Operation identification code,,,
MOPCD.10,D,5,,,OP CODE,10L,S,,Operation identification code,,,
MOPCD10,D,5,,,OPERATION CODE,14L,S,,Operation identification code,,,
D.R.LITR.NOTE.HD,D,6,,,D.R,5L,M,LITR.NOTE,Heading for D.R.LITR.NOTE field,,,
MADDCD,D,6,,,ADD,4T,M,ADD.QTY.UOM,Additive identification code,,,
D.R.LITR.NOTE,D,7,,,Litres,10L,M,LITR.NOTE,Despatch or receipt note litres or note,,,
MAQTYISS,D,7,,,ADDITIVE,9R,M,ADD.QTY.UOM,Additive quantity issued,,,
MAUOMISS,D,8,,,ADDITIVE,12T,M,ADD.QTY.UOM,Additive unit of measure as issued,,,
MAUDVOL,D,9,,,U/D,1T,S,,Update tank volume (Y/N),,,
DIST.FROM,D,10,,,DIST,4L,S,,Distilled from Description ie. MARC or WINE,,,
MCOMMENT,D,10,,,COMMENT FOR FOOT OF CELLAR,30T,M,MCOMMENT,User comment for foot of cellar note. For MOVE despatch and receipt,,,
MFTANK,D,11,,,FROM,6L,M,FROM.TANKS,From Tank No,,,
MFTANK15,D,11,,,BLEND/GROUP,15L,M,FROM.TANKS,From Tank No,,,
FTANK.PREV.CNOTE,D,12,,,FROM TANK PREV,13L,M,FROM.TANKS,From Tank previous Operation Note number,,,
