# Grange file: PODETAIL,source: winemaking.xlsm/POD,downloaded: 2023-06-14
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,BW.STD.CST.OPS,10L,S,,Default record ID for RetrieVe,,,
CNOTE,D,0,,,Chit,13L,S,,Cellar Note (Chit) number,,,
MADATE,D,1,,D2/,Date,8R,S,,Date Chit Completed,,,
MATIME,D,2,,MTS,Time,8R,S,,Time Chit Completed,,,
UV.ACCOUNT,D,3,,,Universe,15L,S,,Universe account that chit was completed in,,,
LAST.UPD.DATE,D,4,,D2/,Last,8R,S,,Date this record was last updated,,,
LAST.UPD.TIME,D,5,,MTS,Last,8R,S,,Time this record was last updated,,,
WINERY.CODE,D,6,,,Winery,2L,S,,Winery Code,,,
FROM.TANKS,D,7,,,From,23L,M,FROM.TANKS,From Tanks,,,
BF.VAR,D,8,,MD40P,From Tank,7R,M,FROM.TANKS,From tank standard variable cost per litre before the operation,,,
FTB4.STD.VAR.CST,D,8,,MD40P,From Tank,7R,M,FROM.TANKS,From tank standard variable cost per litre before the operation,,,
BF.TOT,D,9,,MD40P,From Tank,7R,M,FROM.TANKS,From tank standard total cost per litre before the operation,,,
FTB4.STD.TOT.CST,D,9,,MD40P,From Tank,7R,M,FROM.TANKS,From tank standard total cost per litre before the operation,,,
TO.TANKS,D,10,,,To Tanks,23L,M,TO.TANKS,To Tanks,,,
AF.VAR,D,11,,MD40P,To Tank,7R,M,TO.TANKS,To tank standard variable cost per litre after the operation,,,
TTAFT.STD.VAR.CST,D,11,,MD40P,To Tank,7R,M,TO.TANKS,To tank standard variable cost per litre after the operation,,,
AF.TOT,D,12,,MD40P,To Tank,7R,M,TO.TANKS,To tank standard total cost per litre after the operation,,,
TRUCK.STD.TOT.COST,D,12,,MD40P,Truck,10R,M,TRUCK.NOS,All Trucks blend Standard total Costs,,,
TTAFT.STD.TOT.CST,D,12,,MD40P,To Tank,7R,M,TO.TANKS,To tank standard total cost per litre after the operation,,,
ADD.LOT,I,,"SUBR('*PBWI822',@ID,156)",,Lot,10L,S,,Additive lot,,,
ADJCNOTE,I,,"TRANS(OPSMOVE.SUMMARY,CNOTE,'ADJCNOTE','X')",,Adjustment,12R,M,ADJ,Adjustment Cellar Note,,,
AF.TOT0,I,,AF.TOT+0,,,8R,M,TO.TANKS,,,,
CHIT.MADATE,I,,"SUBR('*PBWI856',@ID,4)",D2/,Chit MADATE,8R,S,,,,,
CNT,I,,"""1""",,Count,5R,S,,,,,
COMP.YEAR.MTH,I,,"OCONV(MADATE,'DY4'):OCONV(MADATE,'DM')",,Completed Year & Month,6L,S,,Year & Month CHIT Completed,,,
CURR.YEAR.MTH,I,,"OCONV(DATE(),'DY4'):OCONV(DATE(),'DM')",,Current Year & Month,6L,S,,Current Year & Month,,,
DE.FLOCN,I,,"SUBR('*PBWI822',@ID,91)",,From,2L,S,,Chit from location,,,
DE.ORDERNOL,I,,"SUBR('*PBWI822',@ID,93)",,Order No.,13L,,,Despatch order number,,,
DE.STD.TOT.VALUE,I,,"SUBR('*PZZI211','MVV',MTRLITRES,TRUCK.STD.TOT.COST,'','')",MD20P,Truck,8R,M,TRUCK.NOS,Value of the truck litres at STANDARD TOTAL cost,,,
DE.TLCON,I,,"SUBR('*PBWI822',@ID,92)",,TO,2L,S,,Chit TO location,,,
DE.TLOCN,I,,"SUBR('*PBWI822',@ID,92)",,TO,2L,S,,Chit TO location,,,
DE.TYPE,I,,"SUBR('*PBWI822',@ID,90)",,Type,3L,S,,Despatch transaction type,,,
EOM.TYPE,I,,"TRANS(MOPS,MOPCD,EOM.TYPE,'X')",,EOM,2R,S,,EOM type from MOPS,,,
F.GRADE.LEVEL,I,,"RAISE(TRANS(BWALLOC.OPSMOVE,CNOTE,'FQUALITY','X'))",,From,2L,M,FROM.TANKS,FROM GRADE LEVEL,,,
FGENERIC,I,,"RAISE(TRANS(BWALLOC.OPSMOVE,@ID,FGENERIC,'X'))",,From Tank,3L,M,,Generic code for 'from tanks',,,
FIN.GOODS.CODE,I,,"SUBR('*PBWI822',@ID,119)",,FIN GOODS,7L,M,,Finished Goods Code,,,
FROM.ILEVEL,I,,"SUBR('!SUBSTRINGS',MFBLEND,1,1)",,F,1L,M,FROM.TANKS,FROM INVENTORY LEVEL,,,
FTVOLM,I,,"SUBR('*PBWI822',@ID,86);@1+0",MD10P,From Vol,10R,M,FROM.TANKS,Chit from tank volume moved,,,
GAIN,I,,IF GAIN.FLAG = 1 THEN GAIN.LOSS ELSE 0,MD10P,GAIN,10R,S,,GAIN,,,
GAIN.FLAG,I,,IF GAIN.LOSS > 0 THEN 1 ELSE 0,,Gain,1L,S,,gain/loss was a gain,,,
GAIN.LOSS,I,,"SUBR('*PBWI822',@ID,42)",MD10P,Gain/Loss,10R,S,,Chit gain/loss,,,
