# Grange file: POHEADER,source: winemaking.xlsm/PO,downloaded: 2021-12-17
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,POHEADER,10L,S,,Default record ID for RetrieVe,,,
PONUM,D,0,,,PO number,10R,S,,Purchase order number,,,
VENDNO,D,1,,,Vendor,10L,S,,Vendor Number,,,
VENDOR.NAME,D,2,,,Vendor Name,40L,S,,Vendor Name,,,
CREATE.DATE,D,3,,D2/,Create Date,8R,S,,Create Date,,,
COMMENTS,D,4,,,Comments,40L,S,,Comments,,,
PODET.SEQ,D,5,,,PODETAIL Key,8R,M,PODETAIL,Purchase Order Detail Sequence - Key to PODETAIL,,,
LINE.ITEM,D,6,,,Line Item,5R,M,PODETAIL,Purchase Order Line Item,,,
ORACLE.VENDOR,D,7,,,,10R,S,,Oracle based vendor number,,,
JDE.BR.PLANT,D,8,,,JDE,12R,S,,JDE Branch plant - held as right justified with leading spaces for,,,
ORACLE.SITE,D,8,,,,10R,S,,Oracle based vendor site Id,,,
JDEG.SUPPLIER,D,9,,,,7R,S,,JDEG Supplier code,,,
NON.JDEG.SPLR,D,10,,,Non,1L,S,,Non JDEG supplier flag - if Y such orders are not integrated with,,,
LAST.LINE.ITEM,D,11,,,Last,4R,S,,"Last line item number assigned, only used for non JDEG PO",,,
REFNO,D,12,,,Ref. Number,20L,S,,"Reference number, eg Sales order number",,,
ALL.DEL.COMP,I,,"SUBR('!IFS',PODET.SEQ,REUSE(""1""),REUSE('')) ; TRANS(PODETAIL,PODET.SEQ,DEL.COMP,'X')",,,10R,M,PODETAIL,,,,
BATCH.DESC,I,,"TRANS(MBATCH,MTBATCH,'BATCH.DESC','X')",,Batch Description,30L,M,PODETAIL,Batch Description,,,
BATCH.TEXT,I,,"TRANS(MBATCH,MTBATCH,'BATCH.TEXT','X')",,Batch Narrative,75L,M,PODETAIL,MV text concerning batch,,,
BLEND,I,,"TRANS(PODETAIL,PODET.SEQ,BLEND,'X')",,Blend,12L,M,PODETAIL,Blend,,,
BLEND.CNT,I,,"DCOUNT(BLEND,@VM)",,Count,3R,S,,,,,
BLEND.DESC,I,,"TRANS(MBLEND,BLEND,BLENDESCP,'X')",,Blend,30L,M,PODETAIL,Blend Description,,,
CHIT.IDS,I,,"TRANS(PODETAIL,PODET.SEQ,CHIT.IDS,'X')",,Chit IDs,10L,M,PODETAIL,Chit IDs,,,
DEL.COMP,I,,"TRANS(PODETAIL,PODET.SEQ,DEL.COMP,'X')",,Del,1L,M,PODETAIL,Delivery Completed,,,
DELIVERY.DATE,I,,"TRANS(PODETAIL,PODET.SEQ,DELIVERY.DATE,'X')",D2/,Delivery Date,8R,M,PODETAIL,Delivery Date,,,
GRADE.LEVEL,I,,"TRANS(PODETAIL,PODET.SEQ,GRADE.LEVEL,'X')",,Grade,2L,M,PODETAIL,Grade Level,,,
LENID,I,,LEN(@ID),,LEN ID,2R,S,,length of @id,,,
LINE.CNT,I,,"DCOUNT(PODET.SEQ,@VM)",,,2R,S,,Number of detail lines,,,
MTBATCH,I,,"TRANS(OPSMOVE,TRANS(PODETAIL,PODET.SEQ,CHIT.IDS,'X')[1,10],'MTBATCH','X')",,TO,7L,M,PODETAIL,To Batch/Group Number,,,
MTBLEND,I,,"TRANS(OPSMOVE,TRANS(PODETAIL,PODET.SEQ,CHIT.IDS,'X')[1,10],'MTBLEND','X')",,TO BLEND,12T,M,PODETAIL,To Blend Codes,,,
MTTANK,I,,"TRANS(OPSMOVE,TRANS(PODETAIL,PODET.SEQ,CHIT.IDS,'X')[1,10],'MTTANK','X')",,TO,5T,M,PODETAIL,To Tank No,,,
OR.V.KEYS,I,,ORACLE.VENDOR:'_':ORACLE.SITE,,,13L,S,,"Oracle vendor, site & VNO for JDEG conversion",,,
ORD.BLEND.DESC,I,,"TRANS(PODETAIL,PODET.SEQ,'ORD.BLEND.DESC','X')",,,30L,M,PODETAIL,Blend description entered under JDE,,,
ORD.QTY,I,,"TRANS(PODETAIL,PODET.SEQ,ORD.QTY,'X')",,Order Quantity,14R,M,PODETAIL,Order Quantity,,,
REC.QTY,I,,"TRANS(PODETAIL,PODET.SEQ,REC.QTY,'X')",,Received Qty,14R,M,PODETAIL,Received Quantity,,,
REJ.QTY,I,,"TRANS(PODETAIL,PODET.SEQ,REJ.QTY,'X')",,Rejected Qty,14R,M,PODETAIL,Rejected Quantity,,,
UNIT.COST,I,,"TRANS(PODETAIL,PODET.SEQ,UNIT.COST,'X')",MD40P,Unit Cost,14R,M,PODETAIL,Unit Cost,,,
VEND.STRING,I,,ORACLE.VENDOR:'\':ORACLE.SITE:'\':VENDOR.NAME,,Vendor string,70L,S,,,,,
VENDOR.NAME.UC,I,,UPCASE(VENDOR.NAME),,Vendor Name,40L,S,,,,,
WINERY.LOCATION,I,,"TRANS(PODETAIL,PODET.SEQ,WINERY.LOCATION,'X')",,Win,2L,M,PODETAIL,Winery Location,,,
DEFINE.NEXT.ATTR,X,,13,,,,,,,,,
