# Grange file: RECOVERIES,source: winemaking.xlsm/Rec,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,OPSMOVE,12L,S,,Default record ID for RetrieVe,,,
MCNOTE,D,0,,,Cellar Note,13L,S,,Cellar note number - AAAyynnnn for user AAA / year yy / number nnnn,,,
MACTIV,D,1,,,REC ACT,1T,S,,"Record activity code ,  R = requested ops, S = operation started but not yet completed,  N = completed ops but not yet checked, A = completed & checked ops  NOTE - This file contains requested cellar notes & completed notes and cuurent active notes",,,
SYSTEM.USE.DONT.CHANGE.,D,1,,,SYSTEM USE DONT CHANGE,1L,,,SYSTEM USE DONT CHANGE,,,
MRDATE,D,2,,D2/,REQUIRED DATE,8R,S,,Date request made for operations,,,
MRTIME,D,3,,MTS,REQUIRED TIME,6R,S,,Time request made for operation,,,
MADATE,D,4,,D2/,COMPLETE DATE,8R,S,,System completion date,,,
MADATE.I,D,4,,,ACTUAL DATE,5R,S,,Date actual action started (no output conv),,,
MADATE.UN,D,4,,,ACTUAL DATE,8R,S,,Date actual action started,,,
MAMONTH,D,4,,"DYM[2,2] MCN",Actual Month,4R,S,,Month Number MADATE,,,
MOPCD,D,5,,,OPER CODE,4L,S,,Operation identification code,,,
MOPCD.10,D,5,,,OP CODE,10L,S,,Operation identification code,,,
MOPCD10,D,5,,,OPERATION CODE,14L,S,,Operation identification code,,,
MADDCD,D,6,,,ADD CODE,4T,M,ADD.QTY.UOM,Additive identification code,,,
D.R.LITR.NOTE,D,7,,,Litres or Note,10L,M,LITR.NOTE,Despatch or receipt note litres or note,,,
MAQTYISS,D,7,,,ADDITIVE QUANTITY ISSUED,9R,M,ADD.QTY.UOM,Additive quantity issued,,,
MAUOMISS,D,8,,,ADDITIVE UNIT MEASURE ISSUED,12T,M,ADD.QTY.UOM,Additive unit of measure as issued,,,
MAUDVOL,D,9,,,U/D TANK VOL,1T,S,,Update tank volume (Y/N),,,
DIST.FROM,D,10,,,DIST FROM,4L,S,,Distilled from Description ie. MARC or WINE,,,
MCOMMENT,D,10,,,COMMENT FOR FOOT OF CELLAR NOTE,30T,M,MCOMMENT,User comment for foot of cellar note. For MOVE despatch and receipt chits this is entered in MOVE.,,,
MFTANK,D,11,,,FROM TANK NO,6L,M,FROM.TANKS,From Tank No,,,
MFTANK15,D,11,,,BLEND/GROUP,15L,M,FROM.TANKS,From Tank No,,,
FTANK.PREV.CNOTE,D,12,,,FROM TANK PREV CELLAR NOTE,13L,M,FROM.TANKS,From Tank previous Operation Note number,,,
