# Grange file: SAP.PR.ORDER,source: winemaking.xlsm/SAP,downloaded: 2021-03-10
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,SAP.PR.ORDER,10L,S,,Default record ID for RetrieVe,,,
PR.ORDNO,D,0,,,Process Order No.,12L,S,,Process Order Number,,,
ACTIVE,D,1,,,Activity Flag,1L,S,,Activity Flag,,,IF ACTIVE='A' THEN 'Active' ELSE IF ACTIVE='D' THEN 'Deleted' ELSE IF ACTIVE='C' THEN 'Completed' ELSE ''
TYPE.CODE,D,2,,,Type Code,2L,S,,Operation type code,,,
BOTLOC,D,3,,,Bot. Loc.,2L,S,,Bottling location,,,
PROD.ITEM,D,4,,,Prod. Packaged Item Code,8L,S,,Produced packaged item code,,,
COMP.ITEM,D,5,,,Comp. Packaged Item Code,8L,S,,Component Packaged Item Code,,,Needs to match blend on FROM tank
PROD.BLEND,D,6,,,Prod. Blend,12L,S,,Produced Blend Code,,,
COMP.BLEND,D,7,,,Comp. Blend,12L,S,,Component Blend Code,,,
PR.LITRES,D,8,,MD10P,Req. Litres,12R,S,,Required litres or litres to be produced,,,
PLAN.DATE,D,9,,D2/,Planned Start Date,10L,S,,Planned start date,,,
PLAN.DATE.E,D,9,,D4/E,Planned Start Date,10L,S,,Planned start date,,,
MCNOTE,D,10,,,Chit Number,13L,M,MCNOTE,"OPSMOVE ID of despatch to bottling, tirage or decant chit",,,
MADATE,D,11,,D2/,Date chit completed,10L,M,MCNOTE,Date chit completed,,,
MADATE.E,D,11,,D4/E,Date chit completed,10L,M,MCNOTE,Date chit completed,,,
CN.LITRES,D,12,,MD10P,Litres desp/rec,12R,M,MCNOTE,Litres despatched or received,,,
SENT.TO.SAP,D,13,,,Sent to SAP,1L,M,MCNOTE,Sent to SAP,,,
SALV.ITEM,D,14,,,Salvaged Item/WIP Code,12L,M,SALV,Item Code of the finished or WIP code being salvaged,,,
SALV.PROD.DATE,D,15,,D4,Original Production Date of Salvaged Item.,11R,M,SALV,Original production date of the salvaged item.,,,
SALV.GI.QTY,D,16,,MD10P,Qty. of Salvaged item issued to Process Order,9R,M,SALV,Quantity of salvaged item issued to the process order.,,,
PROD.BLEND.GR.VOLUME,D,17,,MD10P,Volume of Produced Blend receipted against the Process Order,9R,S,,Volume of the produced blend receipted against the process order,,,
COMP.BLEND.GI.VOLUME,D,18,,MD10P,Volume of Component Blend issued to the Process Order,9R,S,,Volume of component blend issued to the process order.,,,
BW.STD.CST.TOT,D,19,,MD40P,Total Standard Cost of the Bulk Wine,10R,S,,Total Standard Cost of bulkd wine,,,
ACTIVE.DESC,I,,IF ACTIVE='A' THEN 'Active' ELSE IF ACTIVE='D' THEN 'Deleted' ELSE IF ACTIVE='C' THEN 'Completed' ELSE '',,Active,10L,S,,Active description,,,
BOTLOC.DESC,I,,"TRANS(COMPANY,BOTLOC,BRANCHNM,'X')",,Location,30L,S,,Bottling Location Description,,,
CHIT.COMP,I,,"SUBR(SUBR.PENBW:'PBWI822',MCNOTE<1,1>,1);IF @1 = 'A' THEN 'Y' ELSE 'N'",,Chit Complete,1L,S,,Chit complete = 'Y ',,,
CHIT.MADATE,I,,"SUBR(SUBR.PENBW:'PBWI822',MCNOTE<1,1>,4)",D2/,Complete Date,8R,S,,MADATE from OPSMOVE for 1st CHIT,,,
COMP.BLEND.DESC,I,,"TRANS(ITEM.MSTR,COMP.BLEND,PRODNAME,'X')",,Comp. Blend Description,30L,S,,Comp. Blend Description,,,
COMP.BLEND.GEN,I,,"COMP.BLEND[5,3]",,Component Generic,3L,S,,Component blend generic code,,,
COMP.BLEND.INV.LEV,I,,"COMP.BLEND[1,1]",,Comp Inv Lev,1L,S,,Inventory level of component blend,,,
COMP.BLEND.SCOST.TOT,I,,"TRANS(ITEM.MSTR,COMP.BLEND,SCOST.TOT,'X')",MD40P,Component Blend Standard Cost Total,10R,S,,Component Blend Standard Cost - Total,,,
COMP.BLEND.STD.CST.TOT,I,,7,,Comp. Blend,12L,S,,Component Blend Code Standard Cost Total,,,
COMP.BLEND.VAL.LT,I,,"IF COMP.BLEND.INV.LEV = 'B' OR COMP.BLEND.INV.LEV = 'T' THEN SUBR(SUBR.PENBW:'PBWI1127','',COMP.BLEND) ELSE ''; IF               LEN(COMP.BLEND) = 7 THEN @1 ELSE COMP.BLEND.SCOST.TOT",MD40P,Value Per Litre,10R,S,,Standard value per litre for base and trade blends,,,
COMP.BLEND.VINT,I,,"IF NUM(COMP.BLEND[2,2]) THEN 2000+COMP.BLEND[2,2] ELSE 'NV'",,Component Vintage,4L,S,,Component blend vintage,,,
COMP.ITEM.DESC,I,,"TRANS(ITEM.MSTR,COMP.ITEM,PRODNAME,'X')",,Comp. Packaged Item Description,30L,S,,Comp. Packaged Item Description,,,
FILE.DATE,I,,"@ID[1,6]",,File Year and Month,6L,S,,File Date,,,
MCNOTE.CNT,I,,"DCOUNT(MCNOTE,@VM)",,Chit Count,2R,M,MCNOTE,Number of Chits,,,
MOPCD,I,,"SUBR(SUBR.PENBW:'PBWI822',MCNOTE<1,1>,5)",,Op Code,4L,S,,Operation Code,,,
OPERATION.TYPE,I,,IF TYPE.CODE='2' THEN 'Despatch to bottling' ELSE IF TYPE.CODE='8' THEN 'Tirage transfer to bottle' ELSE IF TYPE.CODE='9' THEN 'Tirage transfer to tank' ELSE IF TYPE.CODE='10' THEN 'Tirage disgorging' ELSE IF TYPE.CODE='22' THEN 'Salvage decant' ELSE '',,Operation Type,30L,S,,Operation Type,,,
PROD.BLEND.DESC,I,,"TRANS(ITEM.MSTR,PROD.BLEND,PRODNAME,'X')",,Prod. Blend Description,30L,S,,Prod. Blend Description,,,
PROD.BLEND.SCOST.TOT,I,,"TRANS(ITEM.MSTR,PROD.BLEND,SCOST.TOT,'X')",MD40P,Produced Blend Standard Cost Total,10R,S,,Produced Blend Standard Cost - Total,,,
PROD.ITEM.DESC,I,,"TRANS(ITEM.MSTR,PROD.ITEM,PRODNAME,'X')",,Prod. Packaged Item Description,30L,S,,Prod. Packaged Item Description,,,
SALV.ITEM.CNT,I,,"DCOUNT(SALV.ITEM,@VM)",,Number of Salvaged Items,5R,M,SALV,Number of Salvaged Items,,,
TOTAL.CN.LITRES,I,,SUM(CN.LITRES),MD10P,Total Litres desp/rec,12R,M,MCNOTE,Litres despatched or received,,,
TOTAL.SALV.GI.QTY,I,,SUM(SALV.GI.QTY),MD10P,Qty. of Salvaged item issued to Process Order,9R,M,SALV,Quantity of salvaged item issued to the process order.,,,
@REVISE,PH,,PR.ORDNO ACTIVE TYPE.CODE BOTLOC PROD.ITEM COMP.ITEM PROD.BLEND COMP.BLEND PR.LITRES PLAN.DATE SALV.ITEM SALV.PROD.DATE SALV.GI.QTY PROD.BLEND.GR.VOLUME COMP.BLEND.GI.VOLUME BW.STD.CST.TOT,,,,,,for REVISE default field list created Fri Sep 10 09:36:21 2004,,,
