# Grange file: SUMCOMP.BOT,source: winemaking.xlsm/SCB,downloaded: 2025-06-04
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,SUMCOMP.BOT,30L,S,,Default record ID for RetrieVe,,,
CNOTE,D,1,,,C/NOTE#,10L,M,CN,Cellar Note # included in this Bottling,,,
CNDATE,D,2,,D2/,C/NOTE DATE,8R,M,CN,Cellar Note Date,,,
SOURCE,D,3,,,SOURCE,8L,M,SC,"Grape Variety, Price Code, Source Code, & Vintage Year of the Composition (ie. Variety:Price code:Source Code:*:Vintage Year)",,,
LITRES,D,4,,MD10P,LITRES,9R,M,SC,Litres for each Source,,,
SVOLUME,D,4,,MD10P,LITRES,9R,M,SC,Litres for each Source,,,
TONNES,D,5,,,TONNES,8R,M,SC,Grape Tonnes Crushed to Yeild Litres,,,
CARTAGE,D,6,,MD20P,CARTAGE VALUE,8R,M,SC,Cartage Value to Bring Tonnes in,,,
ADD.CODE,D,7,,,ADDITIVE CODE,6L,M,ADD,Additive Code,,,
ADDCD,D,7,,,ADDITIVE CODE,6L,M,ADD,Additive Code,,,
ADD.QTY,D,8,,,ADDITIVE QUANTITY,7R,M,ADD,Additive Quantities Used,,,
ADDQTY,D,8,,,ADDITIVE QUANTITY,7R,M,ADD,Additive Quantities Used,,,
ADD.LOT,D,9,,,Additive Lot nos,8R,M,ADD.LOT,additive lot numbers,,,
MAST.PHIST.KEY,D,10,,,,15L,M,MAST,Process history key of Master Opcode:'*':Date:'*':Time,,,
MAST.VOL,D,11,,MD10P,,8R,M,MAST,Process history volume,,,
ADD.LOT.QTY,D,12,,MD40P,Add Lot Qty,10R,M,ADD.LOT,Additive lot quantity,,,
SWA.LITRES,D,13,,MD10P,,10R,S,,Sustainable Wine Australia litres,,,
ADDESCP,I,,"TRANS(MADD,ADD.CODE,'ADDESCP','X')",,DESCRIPTION,20T,M,ADD,Description of stock items,,,
ADW,I,,LEN(ADD.LOT),,,10R,,,,,,
AUOMISS,I,,"TRANS(MADD,ADD.CODE,'AUOMISS','X')",,UOM,6L,M,ADD,Issuing unit of measure,,,
AVE.AGE.2020,I,,"SUBR('*AVG.AGE.2020',SOURCE,SVOLUME)",MD20P,AVG AGE,5R,S,,average age of blend - Grange 2020 version (E dates),,,
BATCH.DESC,I,,"TRANS(MBATCH,TBATCHNO,""BATCH.DESC"",'X')",,Batch Description,30L,,,Batch Description,,,
BDATE,I,,"FIELD(@ID,'*',1)",D2/,BOTTLING DATE,8R,S,,Bottling date,,,
BLENDESCP,I,,"TRANS(MBLEND,MFBLEND,'BLENDESCP','X')",,BLEND DESCRIPTION,30T,M,FROM.TANKS,Blend description,,,
BOTVOL,I,,SUM(LITRES),MD10P,Tot Volume,10R,S,,Total volume bottled,,,
BYEAR,I,,"TBLEND[2,2]",,YEAR,2R,S,,Vintage Year,,,
DESCP,I,,"TRANS(MBLEND,TBLEND,'BLENDESCP','X')",,BLEND DESCRIPTION,30T,S,,Blend description,,,
DIFF.VOLUME,I,,,MD10P,,3R,S,,,,,
GI.REGION,I,,"TRANS(SOURCE,SRCAREA,GI.REGION,'X')",,GI Regn,3L,M,SC,GI Region,,,
GI.SUBREGION,I,,"TRANS(SOURCE,SRCAREA,GI.SUBREGION,'X')",,GI SubR,3L,M,SC,GI Sub-region,,,
GI.SUPERZONE,I,,"TRANS(SOURCE,SRCAREA,GI.SUPERZONE,'X')",,GI SupZ,3L,M,SC,GI Super Zone,,,
GI.ZONE,I,,"TRANS(SOURCE,SRCAREA,GI.ZONE,'X')",,GI Zone,3L,M,SC,GI Zone,,,
GRADE.LEVEL,I,,"TRANS(GENERIC.FILE,MPF,'GRADE.LEVEL','X')",,Grade Level,2L,,,Grape Grade Level,,,
IGW,I,,"FIELD(SOURCE,'*',2)",,Vintage,2L,M,SC,Vintage year,,,
JK.PRODGP,I,,"TRANS(ITEM.MSTR,PROD,2,'X')",,Prod. Group,3L,S,,,,,
JK.TOTLIT,I,,SUM(LITRES),MD10P,Total litres,8R,S,,,,,
LINENO,I,,"FIELD(@ID,'*',2)",,LINENO,4R,S,,Bottling Line Number,,,
LOT.DESC,I,,"TRANS(LOT,ADD.LOT,'DESC','X')",,Description,40L,M,ADD.LOT,Item description,,,
LOT.ITEM,I,,"TRANS(LOT,ADD.LOT,'ITEM','X')",,JDE Item,10L,M,ADD.LOT,JDE item number,,,
MAST.DATE,I,,"SUBR('!FIELDS',MAST.PHIST.KEY,'*',2)",D2/,,8R,M,MAST,Master operation date,,,
MAST.OPCD,I,,"SUBR('!FIELDS',MAST.PHIST.KEY,'*',1)",,,3R,M,,Master operation codes,,,
MAST.TIME,I,,"SUBR('!FIELDS',MAST.PHIST.KEY,'*',3)",MT,,5R,M,MAST,Master operation time,,,
MFBATCH,I,,"SUBR('*PBWI822',CNOTE,55)",,From Batch,7L,M,FROM.TANKS,Chit from tank batch,,,
MFBLEND,I,,"SUBR('*PBWI822',CNOTE,13)",,From Blend,12L,M,FROM.TANKS,Chit from tank blend,,,
MFTANK,I,,"SUBR('*PBWI822',CNOTE,11)",,From Tank,12L,M,FROM.TANKS,Chit from tank,,,
MOFCOM.ITEM,I,,"TRANS(&TEMP&,PROD,1,'X')",,MOFCOM ITEM,1L,S,,Item of interest in MOFCOM investigation,,,
MPF,I,,"MFBLEND[5,3]",,MPF,3L,S,,,,,
NUM.CNOTE,I,,"DCOUNT(CNOTE,@VM)",,Num Cnote,3R,S,,,,,
PCNT,I,,"SUBR(""!MULS"",SVOLUME,REUSE(100));SUBR(""!DIVS"",@1,REUSE(SUM(SVOLUME)))",MD20P,PERCENT OF TOTAL,6R,M,SC,Percent of total composition,,,
PROD,I,,"FIELD(@ID,'*',4)",,PRODUCT,10L,S,,Product Bottled,,,
SC.IND,I,,"1:STR(@VM:1,COUNT(SOURCE,@VM))",,SC Ind,1L,M,SC,"Indicator value of ""1"" for each s/c component",,,
SC.PERC,I,,"DIVS(MULS(LITRES,REUSE(100)),REUSE(BOTVOL))",MD20P,S/C %,5R,M,SC,Sum comp comonent %,,,
SC.PERMYR,I,,"DIVS(MULS(LITRES,REUSE(10000)),REUSE(BOTVOL))",,S/C per 10000,8R,M,SC,Sum comp component per myriad (ten thousandths),,,
SOURCE.DESC,I,,"TRANS(SOURCE,SRC,SOURCE.DESC,'X')",,Source Description,15L,M,SC,15 Character Description,,,
SRC,I,,"SUBR('-SUBSTRINGS',SOURCE,5,3)",,SOURCEY,3L,M,SC,,,,
SRCAREA,I,,"FIELDS(FIELDS(SOURCE,'-',2,1),'*',1,1)",,Src Area,3L,M,SC,Source area code (from sum comp),,,
SWA.PERC,I,,SUM(LITRES); IF @1 THEN SWA.LITRES/@1*100 ELSE 0,MD20P,,6R,S,,Sustainable Wine Australia percentage,,,
TANK.VOLUME,I,,SUM(SVOLUME),MD10P,,10R,S,,,,,
TBATCHNO,I,,"MFBATCH<1,1>",,,7L,S,,,,,
TBLEND,I,,"MFBLEND<1,1>",,,12L,S,,,,,
TOT.PCNT,I,,"SUBR(""!MULS"",SVOLUME,REUSE(100));SUBR(""!DIVS"",@1,REUSE(TANK.VOLUME));SUM(@2)",MD20P,Total %,6R,S,,,,,
TOT.SVOLUME,I,,SUM(SVOLUME),MD10P,TOTAL BLEND VOLUME,9R,S,,,,,
VAR.NONVAR.DESC,I,,"SUBR('*GBWI927',VARCD)",,Variety description,20L,M,SC,Variety or non varietal description,,,
VARCD,I,,"SUBR('-SUBSTRINGS',SOURCE,1,3)",,VARIETY,3L,M,SC,,,,
