# Grange file: SUMCOMP.CN,source: winemaking.xlsm/SCN,downloaded: 2025-06-04
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,SUMCOMP.CN,10L,S,,Default record ID for RetrieVe,,,
CNOTE,D,0,,,C/NOTE,13L,S,,Cellar note number,,,
OPNOTE,D,0,,,Operation,13L,S,,Operation note number - AAAyynnnnn for user AAA / year yy / number nnnnn (for multiple operations generated from one may have -n suffix.),,,
SCNOTE,D,0,,,C/NOTE,10L,S,,Summary Composition Note,,,
WINERY.CN,D,0,,,WINE CODE C/NOTE NO,10T,S,,"Winery Code:""*"":Cellar Note No",,,
MTYPE,D,1,,,MOVE TYPE,1T,S,,Type of movement note: D - Despatch(STMN); R - Receipt(STRC),,,
F.WINERY,D,2,,,FROM WINERY,2T,S,,From winery code,,,
T.WINERY,D,3,,,TO WINERY,2T,S,,To winery code,,,
XREF.NOTE,D,4,,,OTHER WINERY NOTE,6T,S,,Other winery corresponding receipt or despatch note,,,
FB.TANKS,D,5,,,INITIAL  B4 FROM TANKS,5T,M,INITIAL.FROM,Inital B4 From Tanks,,,
FB.BLENDS,D,6,,,INITIAL B4  FROM TANKS BLENDS,12T,M,INITIAL.FROM,Initial B4 From Tanks Blends,,,
SCB4.COMP,D,6,,,BEFORE COMPOSITION,12L,M,SCOMP,Original composition on tank,,,
DR.VOL,D,7,,MD00P,VOLUME MOVED,9R,S,,Volume moved,,,
FB.VOLUMES,D,7,,MD10P,INITIAL B4  FROM TANKS VOLUMES,8R,M,INITIAL.FROM,Initial B4 From Tanks Volumes,,,
SCB4.LITRES,D,7,,MD10P,BEFORE LITRES,8R,M,SCOMP,Before tank volume,,,
FB.TONNES,D,8,,MD10P,INITIAL B4  FROM TANKS TONNES,8R,M,INITIAL.FROM,Initial B4 From Tanks Tonnes,,,
SCB4.TONNES,D,8,,MD10P,BEFORE TONNES,8R,M,SCOMP,Before tank tonnes,,,
FA.TANKS,D,9,,,AFTER FROM TANKS,5T,M,AFTER.FROM,After From Tanks,,,
FA.BLENDS,D,10,,,AFTER FROM TANKS SOURCE/BLENDS,12T,M,AFTER.FROM,After From Tanks Source/Blends,,,
SCAFT.COMP,D,10,,,AFTER COMPOSITION,12L,M,SCOMP,New Composition of tank,,,
