# Grange file: SUMCOMP.OP,source: winemaking.xlsm/SCO,downloaded: 2025-06-04
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,SUMCOMP.OP,10L,S,,Default record ID for RetrieVe,,,
W.CNOTE,D,0,,,WINERY: C/NOTE,10T,S,,,,,
MTYPE,D,1,,,MOVE TYPE,1T,S,,"TYPE OF MOVEMENT  - D - DESPATCH , R - RECPT",,,
MFWINERY,D,2,,,FROM WINERY,3T,S,,FROM WINERY CODE,,,
MTWINERY,D,3,,,TO WINERY,3T,S,,TO WINERY CODE,,,
MVOLUME,D,4,,MD10P,TOTAL VOLUME MOVED,8R,S,,TOTAL VOLUME MOVED,,,
XNOTE,D,4,,,FROM C/NOTE,6L,S,,FROM C/NOTE,,,
MSVOLUME,D,5,,MD10P,SOURCE VOLUME,8R,M,TT,Source volume of grapes or juice,,,
MSTONNES,D,6,,,Tonnes,10R,M,TT,Tonnes,,,
MSBLEND,D,7,,,SOURCE BLEND,12T,M,TT,Source blend or variety/source/quality,,,
DESACC,D,8,,,DESPATCH ACCEPTED,1T,,,Flag set when despatch composition is accepted,,,
MDATE,D,8,,D2/,C/NOTE DATE,8R,S,,DATE OF C/NOTE UPDATE,,,
MTIME,D,9,,,TIME C/NOTE,6R,S,,TIME OF C/NOTE UPDATE,,,
F.CNOTE,D,10,,,FROM C/NOTE,6L,S,,FROM C/NOTE,,,
COMP.BLEND,D,11,,,COMP BLEND,12T,S,,COMPOSITION BLEND,,,
MTRBLEND,D,12,,,TRUCK BLENDS,12T,M,TRUCK.NOS,,,,
MTRLITRES,D,13,,MD00P,TRUCK LITRES,9R,M,TRUCK.NOS,,,,
MADATE,D,14,,D2/,C/NOTE DATE,8R,S,,Date of Cellar Operation Update,,,
MSCARTVAL,D,15,,MD20P,CARRIERS PAYMENTS,9R,M,TT,Carriers payments,,,
ACCOUNT.CODE,I,,"SUBR(""*PBWZ457"")",,ACC CODE,2L,S,,Host account code,,,
ACCOUNT.CODE.OLD,I,,"TRANS(DESCRIPTION,'VINTSEQ',8,'X')",,HOST ACCT,4T,S,,Host account code,,,
AVG.COST.LTR,I,,"SUBR(""*PZZI211"",'MDM',VALUE,MSVOLUME,'','')",MD30P,AVG COST LITRE,6R,M,TT,,,,
AVG.COST.LTR.NOUSE,I,,IF MSVOLUME THEN VALUE/MSVOLUME ELSE 0,MD30P,AVG COST LITRE,6R,M,TT,,,,
MPERC,I,,"SUBR(""*PBWZ458"",TOT.SVOLUME,MSVOLUME)",MD20P,% AGE,6R,M,TT,,,,
OP.TYPE,I,,"FIELD(@ID,'*',1)",,Op Type,5L,S,,Operation type,,,
RATE,I,,"TRANS(VINT.VARPRICE,MSBLEND,RATE,'X')",MD20P,RATE,9R,M,TT,,,,
TOT.SVOLUME,I,,SUM(MSVOLUME),MD10P,TOTAL BLEND VOLUME,9R,S,,,,,
TOT.TONNES,I,,SUM(MSTONNES),MD20P,TOTAL BLEND TONNES,7R,S,,,,,
VALUE,I,,MSTONNES * RATE,MD20P,VALUE,10R,M,TT,,,,
VINTYR,I,,"FIELD(MSBLEND,@VM,1);FIELD(@,'*',2)",,VINTYR,3R,S,,,,,
VINTYRBLEND,I,,"FIELDS(MSBLEND,'*',2)",,Blend Vintage,2R,M,,VINTAGE OF BLENDS,,,
YIELD,I,,TOTAL(SUM(MSVOLUME));TOTAL(SUM(MSTONNES));IF @ THEN @1/@ ELSE 0,MD10P,YIELD,7R,S,,,,,
TRUCK.NOS,PH,,MTRBLEND MTRLITRES,,,,,,,,,
TT,PH,,MSVOLUME MSTONNES MSBLEND MPERC,,,,,,,,,
