# Grange file: SUMCOMP.TANK,source: winemaking.xlsm/SCT,downloaded: 2025-12-16
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,SUMCOMP.TANK,10L,S,,Default record ID for RetrieVe,,,
RTANK,D,0,,,TANK NO,6R,S,,Tank Number,,,
TANK,D,0,,,TANK NO.,15T,S,,,,,
TBLEND,D,1,,,BLEND,12T,S,,Current Blend in Tank,,,
TBATCHNO,D,2,,,BATCH NO,7T,S,,Current Batch no.,,,
PARTANK,D,3,,,CURR TANK,8L,S,,CURRENT TANK,,,
PKEY,D,4,,,PARENT KEY,12L,S,,PARENT KEY,,,
SLITRES,D,5,,MD10P,SOURCE VOLUME,10R,M,LASTCALC,Source volume of grapes or juice,,,
SVOL0DEC,D,5,,MD00P,Volume,10R,M,LASTCALC,Source volume of grapes or juice,,,
SVOLUME,D,5,,MD10P,SOURCE VOLUME,10R,M,LASTCALC,Source volume of grapes or juice,,,
TIR.SVOLUME,D,5,,MD30P,SOURCE VOLUME,10R,M,LASTCALC,Source volume of grapes or juice,,,
STONNES,D,6,,MD20P,TONNES SOURCE,10R,M,LASTCALC,Source grapes tonnes,,,
SBLEND,D,7,,,SOURCE BLEND,12T,M,LASTCALC,Source blend or variety/source/quality,,,
TVOLUME,D,8,,MD20P,CURRENT TANK VOLUME,8R,S,,Current Tank volume,,,
TCOST,D,9,,MD20P,COST,8R,S,,Current tank dollar value,,,
AVOLUME,D,10,,MD10P,ACCEPTED VOLUME,8R,M,LASTACCEPT,Summary volume - last accepted,,,
CCBLEND,D,10,,,CUR BLEND,8L,S,,CUR BLEND,,,
ATONNES,D,11,,MD20P,ACCEPTED TONNES,8R,M,LASTACCEPT,Summary tonnes - last accepted,,,
CNOTE,D,11,,,CUR NOTE,6R,S,,CUR C/NOTE,,,
ABLEND,D,12,,,ACCEPTED BLEND,12T,M,LASTACCEPT,Variety/quality/area - last accepted,,,
PNOTE,D,12,,,PAR C/NOTE,6R,S,,PARENT C/NOTE,,,
UPDATE,D,13,,,UPDATE,1T,S,,Flag indicating calculation done since last acceptance,,,
ADD.CODE,D,14,,,ADDITIVE CODE,8L,M,ADD,Additive Code in Summary Composition,,,
CMADDCD,D,14,,,ADDITIVE CODE,8L,M,CMADDCD,Additive Code in Summary Composition,,,
ADD.QTY,D,15,,MD40P,ADDITIVE QUANTITY,12R,M,ADD,Additive Qty in Summary Composition,,,
ADD.QTY.2D,D,15,,MD40P,ADDITIVE QUANTITY,12R,M,ADD,Additive Qty in Summary Composition,,,
CMAQTYISS,D,15,,MD40P,ADDITIVE QUANTITY,12R,M,CMADDCD,Additive Qty in Summary Composition,,,
MADATE,D,16,,D2/,DATE UPDATED,8R,S,,Date Cellar Note Updated,,,
SCARTVAL,D,17,,MD20P,CARRIERS PAYMENTS,9R,M,LASTCALC,Carriers payments,,,
LASTCNOTE,D,18,,,LAST CNOTE,12L,S,,Last Cellar Note to be processed by Summary Composition Update,,,
ADD.LOT,D,19,,,Additive Lot nos,8R,M,ADD.LOT,additive lot numbers,,,
CADD.LOT,D,19,,,Additive Lot nos,8R,M,CADD.LOT,additive lot numbers,,,
MAST.PHIST.KEY,D,20,,,,15L,M,MAST,Process history key of Master Opcode:'*':Date:'*':Time,,,
MAST.VOL,D,21,,MD10P,,8R,M,MAST,Process history volume,,,
ADD.LOT.QTY,D,22,,MD40P,Add Lot Qty,12R,M,ADD.LOT,Additive lot quantity,,,
