# Grange file: TANK.HIST,source: winemaking.xlsm/TH,downloaded: 2025-06-04
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,TANK.HIST,10L,S,,Default record ID for RetrieVe,,,
ID1,D,0,,,TANK NO,17R,S,,Tank Number,,,
TANK,D,0,,,Tank,23L,S,,Tank Code,,,
CNOTE,D,1,,,Chits,13L,M,CNOTE,Cellar note number (chit no.) that tank appears on,,,
GL.CNOTE,D,1,,,Chits,13L,M,GL.CNOTE,Cellar note number (chit no.) that tank appears on,,,
ACCOUNT,I,,@WHO,,ACCOUNT,5L,S,,,,,
BWCODE,I,,@WHO[2],,ACCOUNT,5L,S,,,,,
DEL.FLAG,I,,"TRANS(WINERY.LOCATION,WINERY.LOCATION,'DEL.FLAG','X')",Deletion Flag,,1L,S,,,,,
EVAL25212.59,I,,"SUBR(SUBR.PENBW:'PBWI934',@ID);RAISE(TRANS(BWALLOC,@1,GENERIC,'X'))",,"SUBR(SUBR.PENBW:'PBW I934',@ID);RAISE(TRA NS(BWALLOC,@1,GENERI C,'X'))",1L,S,,,,,
FALLOCAFT,I,,"TRANS(BWALLOC.OPSMOVE,CNOTE,'FALLOCAFT','X')",MD10P,From Tank Alloc Aft,6R,M,CNOTE,"From tanks allocated litres after operation (subvalued, corresponds with generic codes in FGENERIC)",,,
FALLOCB4,I,,"TRANS(BWALLOC.OPSMOVE,CNOTE,'FALLOCB4','X')",MD10P,From Tank Alloc B4,6R,M,CNOTE,"From tanks allocated litres before operation (subvalued, corresponds with generic codes in FGENERIC)",,,
FALLOCVINT,I,,"IFS(SUBR('*GBWI1045',WINERY.LOCATION,GL.CNOTE,'U3\65\11'), TRANS(BWALLOC.OPSMOVE,CNOTE,'FVINT','X'),      REUSE(''))",,From Tank  Alloc Vint,4R,M,CNOTE,"From tanks allocations VINTAGE - subvalued, corresponds with  subvalues in FALLOCB4 and FALLOCAFT",,,
FGENERIC,I,,"IFS(SUBR('*GBWI1045',WINERY.LOCATION,GL.CNOTE,'U3\65\11'), TRANS(BWALLOC.OPSMOVE,CNOTE,'FGENERIC','X'),      REUSE(''))",,From Tank  Generic,3L,M,CNOTE,"From tanks generic codes (allocations) - subvalued, corresponds with  subvalues in FALLOCB4 and FALLOCAFT",,,
FMPF.TRUCK,I,,"IFS(SUBR('*GBWI1045',WINERY.LOCATION,GL.CNOTE,65), TRANS(BWALLOC.OPSMOVE,CNOTE,'FGENERIC','X'), REUSE(''))",,From Tank  Generic,3L,M,CNOTE,"From tanks generic codes (allocations) - subvalued, corresponds with  subvalues in FALLOCB4 and FALLOCAFT",,,
FVINT,I,,"TRANS(BWALLOC.OPSMOVE,CNOTE,'FVINT','X')",,From Vint,4R,M,CNOTE,From Tanks allocation Vintage year - subvalued,,,
GBW10,I,,"SUBR('*GZZI500',UV.ACCOUNT,GL.CNOTE)",,,1L,M,GL.CNOTE,"CHIT exists, can use GBW10",,,
GEN.TANK.ACC,I,,"TRANS(DP,FIELD(@ID,'*',2),CNOTES,'X') ; IF @1 = '' THEN TRANS(DP.FORT,FIELD(@ID,'*',2),CNOTES,'X') ELSE @1[2] ; IF @2 THEN ACCOUNT[2] ELSE IF FIELD(@ID,'*',1) = 'SW' THEN TRANS(MBATCH,FIELD(@ID,'/',2),WINERYCD,'X')<1,1,1> ELSE IF FIELD(@ID,'*',1) # 'SW' THEN TRANS(FIN.WH.CODE,@ID[1,1],ACC,'X')[2] ELSE ''",,Tank    Account,10L,S,,Tank Account for ordinary and small wood tanks,,,
GL.@ID,I,,"SUBR('*GBWI1045',WINERY.LOCATION,GL.CNOTE,0)",,OPSMOVE,12L,M,GL.CNOTE,Default record ID for RetrieVe,,,
GL.ACT.CHIPS.COST,I,,"SUBR('*GBWI1045',WINERY.LOCATION,GL.CNOTE,131)",MD40P,Actual Chips Cost,7R,M,GL.CNOTE,Actual Chips cost per litre,,,
GL.ACT.TOT.OH.COST,I,,"SUBR('*GBWI1045',WINERY.LOCATION,GL.CNOTE,133)",MD40P,Actual Total OH.Cost,7R,M,GL.CNOTE,Actual Total Overhead cost per litre,,,
GL.ACT.VAR.OH.COST,I,,"SUBR('*GBWI1045',WINERY.LOCATION,GL.CNOTE,132)",MD40P,Actual Variable OH.Cost,7R,M,GL.CNOTE,Actual Variable Overhead cost per litre,,,
GL.ACT.WOOD.COST,I,,"SUBR('*GBWI1045',WINERY.LOCATION,GL.CNOTE,130)",MD40P,Actual Wood Cost,7R,M,GL.CNOTE,Actual Wood cost per litre,,,
