# Grange file: TANK.ORIGIN,source: winemaking.xlsm/TO,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,TANK.ORIGIN,10L,S,,Default record ID for RetrieVe,,,
DEST.TANK,D,0,,,Tank,5R,,,Tank number,,,
TANK,D,0,,,Tank,5R,,,Tank number,,,
ORIGIN,D,1,,,O,1L,M,ORGCD,"Origin code (W=weighnote, P=purchase, U=unknown)",,,
WNOTE,D,2,,,Weighnote or Purch,11L,M,ORGCD,VY:Weighnote or Purchase chit or * (Unknown),,,
LITRES,D,3,,,Litres,9R,M,ORGCD,Litres by weighnote,,,
MADATE,D,4,,D2/,Update,8R,,,Date updated,,,
LASTCNOTE,D,5,,,Last Chit,13L,S,,Last chit to update this record,,,
ALLOCATED,D,6,,,Allocated,1L,S,,This tank has an allocation to a generic code,,,
IGL.CHITNO,D,7,,,IGL Chit Number,14L,M,ORGCD,Initial tank grade level chit numbers for each weigh note traced to the tank,,,
IGV.TANK,D,7,,,DO NOT USE,20L,M,ORGCD,DO NOT USE,,,
IGL.WNOTE.LTRS,D,8,,,IGL W/note Litres,9R,M,ORGCD,Litres attributes to weigh note at time of IGL chit.,,,
IGV.TANK.X,D,8,,,DO NOT USE,1L,M,ORGCD,DO NOT USE,,,
PGL.CHITNO,D,9,,,DO NOT USE,10R,M,ORGCD,DO NOT USE,,,
PWL.CHITNO,D,9,,,PWL Chit Number,10R,M,ORGCD,Preliminary tank grade level chit numbers for each weigh note traced to the tank,,,
PGL.WNOTE.LTRS,D,10,,MD10P,DO NOT USE,7R,M,ORGCD,DO NOT USE,,,
PWL.WNOTE.LTRS,D,10,,MD10P,PWL W/note Lites,7R,M,ORGCD,Litres attributes to weigh note at time of PGL chit.,,,
FGL.CHITNO,D,11,,,DO NOT USE,10R,M,ORGCD,DO NOT USE,,,
FWL.CHITNO,D,11,,,FWL Chit Number,10R,M,ORGCD,Final tank grade level chit numbers for each weigh note,,,
FGL.WNOTE.LTRS,D,12,,MD10P,DO NOT USE,7R,M,ORGCD,DO NOT USE,,,
FWL.WNOTE.LTRS,D,12,,MD10P,FWL W/note Litres,7R,M,ORGCD,Litres attributes to weigh note at time of FGL chit.,,,
IGL.EXCL,D,13,,,IGL Chit Excl Status Flag,1L,M,ORGCD,IGL Chit Exclude Status flag,,,
PGL.EXCL,D,14,,,DO NOT USE,1L,M,ORGCD,DO NOT USE,,,
