# Grange file: TANKER.MOVE,source: winemaking.xlsm/TM,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,TANKER.MOVE,13L,S,,Default record ID for RetrieVe,,,
MOVE.TYPE,D,1,,,Move Type,1L,,,Transaction type - S sale / T transfer / P purchase,,,
MVTYPE,D,1,,,T,1L,,,Transaction type - S sale / T transfer / W warehouse,,,
TYPE,D,1,,,T,1L,,,Transaction type - S sale / T transfer / W warehouse,,,
DDATE,D,2,,D2/,Despatch Date,8R,,,Despatch date,,,
FLOCN,D,3,,,,2L,,,From sub location,,,
TLOCN,D,4,,,,2L,,,To sub location (if T type),,,
ORDERNO,D,5,,,Order No.,9L,,,Order number (if S or W type),,,
CUSTNO,D,6,,,Customer,9L,,,Customer number (if S or W type),,,
FROMWH,D,7,,,Wh,2L,,,From warehouse (if S or W type),,,
CARRIER,D,8,,,Carrier,8L,,,Carrier code,,,
CONSNO,D,9,,,Cons/No.,14L,,,Consignment number,,,
TRUCKNO,D,10,,,Truck,8L,,,Truck number,,,
BLEND,D,11,,,Blend code,12L,,,Blend code,,,
LITRES,D,12,,,Litres,8R,,,Litres,,,
PLITRES,D,12,,,%,6R,,,Litres (with % heading),,,
PAY.TYPE,D,13,,,Pay,1L,,,Despatch payment type -  (S)tandard / (B)ackload / (H)ourly / (C)ustomer pays,,,
THRS,D,14,,,Hrs,5R,,,Travel hours (est),,,
PO.CREATED,D,15,,,P/O Flg,1L,S,,Purchase Order Created Flag,,,
GENCD,D,16,,,Generic Code,3L,M,GENCD,Generic code that despatched wine was allocated to,,,
GENLTR,D,17,,MD10P,Litres Allocated,10R,M,GENCD,Litres that were allocated to the generic code,,,
FREIGHT.RATE,D,18,,,FREIGHT RATE,10R,M,,Purchase Order Freight Rate for External Locations,,,
JDEG.EXT.DATE,D,19,,D2/,,8R,S,,Date Purchase order extracted by JDEG interface,,,
ORACLE.EXT.DATE,D,19,,D2/,,8R,S,,Date Purchase order extracted by Oracle interface,,,
SAP.EXT.DATE,D,19,,D2/,,8R,S,,Date Purchase order extracted by SAP interface,,,
JDEG.EXT.TIME,D,20,,MT,,5R,S,,Time Purchase order extracted by JDEG interface,,,
ORACLE.EXT.TIME,D,20,,MT,,5R,S,,Time Purchase order extracted by Oracle interface,,,
SAP.EXT.TIME,D,20,,MT,,5R,S,,Time Purchase order extracted by SAP interface,,,
RECEIPT.CHIT.NO,D,21,,,Receipt Chit No,13L,,,Receipt Chit Number,,,
POHEADER.ID,D,22,,,PO Number,15L,,,Purchase Order Number,,,
ADW,I,,LEN(CONSNO),,,3R,S,,,,,
BLENDESCP,I,,"TRANS(MBLEND,BLEND,BLENDESCP,'X')",,Blend description,30T,S,,Blend description,,,
CARRIER.NAME,I,,"TRANS(BW.CARRIER,CARRIER,NAME,'X')",,Carrier,30L,,,Carrier name,,,
CHITNO,I,,"FIELD(@ID,'-',1)",,CHITNO,9L,S,,,,,
COMMENTS,I,,'',,Comments,8L,,,Dummy definition used for report heading,,,
COUNT.ONE,I,,1,,Count One,1R,,,,,,
