# Grange file: VINTINTAKE,source: grange.xlsx/VINTINTAKE,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,VINTINTAKE,10R,S,,Default record ID for RetrieVe,,,
@ID.LONG,D,0,,,VINTINTAKE,35R,S,,Long @ID,,,
LONGKEY,D,0,,,LONG FORMAT KEY,40L,S,,LONG FORMAT KEY,,,
SEQ,D,0,,,SEQ NO,5R,S,,,,,
ACCOUNT,D,1,,,Account,7L,S,,"Account Number of Grower, Company Vineyard Block or Carrier",,,
GROWERID,D,1,,,Grower ID,6T,S,,Grower id (account),,,
VINTAGE,D,2,,,Vintage Year,4R,S,,Year of Vintage  eg.  1984,,,
VARIETY,D,3,,,Var-,3T,S,,Variety code  -  see MVARIETY,,,
VARIETY1,D,3,,,VAR,3T,S,,Variety code  -  see MVARIETY,,,
COMMENT,D,4,,,COMMENT,30T,S,,User defined comments field,,,
HREMOVED,D,5,,,HECT REMOVED,5R,S,,Hectares of this variety removed since last Vintage,,,
HPLANT,D,6,,,HECT PLANTED,5R,S,,Hectares of this variety planted since last Vintage,,,
HNBEAR,D,7,,,HECT NOT-BRG,5R,S,,Hectares of this variety not yet bearing,,,
HPRODN,D,8,,,HECT PRODN,5R,S,,Hectares of this variety in current production,,,
HMECH,D,9,,,HECT MECH,5R,S,,Hectares of this variety to be mechanical harvested this year,,,
QUOTACD,D,10,,,QUOTA CD,1T,S,,"Code on which next years quota will be based  - ""A""-Allocated, ""B""-???",,,
CONTONS,D,11,,,Contract Tonnes,4R,S,,Number of tonnes the company contracts to buy from the grower,,,
CONTRACT,D,11,,MD00P,Contract Tonnes,6R,S,,Tonnes company has contracted with grower to buy,,,
QUOTA,D,11,,,BASE QUOTA,3R,S,,Base quota (tonnes) assigned by LCW based on last years performance,,,
ESTTONS,D,12,,,ESTIMATED,4R,S,,Number of tonnes that the grower estimates he can supply,,,
OFFERED,D,12,,MD00P,Offer,6R,S,,Tonnes offered by grower,,,
TOFFERED,D,12,,,TOTAL OFFER,3R,S,,Total Tonnage offered by grower,,,
BUDTONS,D,13,,,Revis,4R,S,,Revised number of tonnes we have budgeted to receive from grower,,,
REVISION,D,13,,MD00P,Revis,6R,S,,Tonnes in adjusted allocation,,,
TALLOC,D,13,,,TOTAL ALLOC,3R,S,,Total tonnage allocated by LCW,,,
AGREED,D,14,,,Agree,4R,S,,Tonnes agreed between company and grower,,,
