# Grange file: WINE.DB,source: winemaking.xlsm/WDB,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,WINE.DB,10L,S,,Default record ID for RetrieVe,,,
WINE.DB,D,0,,,VINTAGE*GEN.CODE,10L,S,,WINE.DB file id,,,
LOCATION,D,1,,,LOCATION,15L,S,,Location,,,
DATE,D,2,,D2/,DATE,8R,S,,date of wine data sheet,,,
QTY.RELEASE,D,3,,MD00P,QTY,7R,S,,Qty for release,,,
RELEASE.DATE,D,4,,D2/,RELEASE,8R,S,,Date for release,,,
STATUS,D,5,,,STAT,1L,S,,Preliminary or final blend,,,
VINT.LOC,D,6,,,VINTAGE LOC`N,15L,M,VINT,Vintaged at,,,
VINT.PCT,D,7,,MD00P,%,3R,M,VINT,vintage %,,,
TIRAGE.DATE,D,8,,D2/,BOTTLE,8R,S,,Tirage/Bottle date,,,
DISG.DATE,D,9,,D2/,DISG/REL,8R,S,,Disgorge/Release date,,,
MAT.VESSEL,D,10,,,MATURATION,10L,S,MAT,Maturation vessel,,,
MAT.YEARS,D,11,,MD00P,MAT,3R,M,MAT,Maturation years,,,
MAT.MTHS,D,12,,MD00P,MAT,2R,M,MAT,Maturation months,,,
MAT.TYPE,D,13,,,MAT,15L,S,MAT,maturation type,,,
PLAN.RELEASE,D,14,,,RELEASE,10L,S,,Release standard,,,
GRAPE.VAR,D,15,,,VARIETY,15L,M,,Grape variety,,,
VINEYARD,D,16,,,VINEYARD,15L,M,,Vineyard source,,,
GRAPE.%,D,17,,MD10P,GRAPE %,5R,M,,Percentage of total,,,
COMMENTS,D,18,,,WINEMAKER COMMENTS,60T,M,,Wine maker comments,,,
ANAL.TYPE,D,19,,,ANALYSIS TYPE,20L,M,ANAL,Analysis type,,,
ANAL.READ,D,20,,,READING,6L,M,ANAL,Analysis reading,,,
PACK.DETAILS,D,21,,,PACK DETAILS,15L,S,PACK,packaging details,,,
ADDITIVES,D,22,,,ADDITIVES,15L,M,,additives,,,
SHOW.CODE,D,23,,,SHOW,5L,M,RECORDS,Show code,,,
SHOW.YEAR,D,24,,,YEAR,4R,M,RECORDS,Show year,,,
SHOW.CLASS,D,25,,,CLASS,5L,M,RECORDS,Wine show class,,,
AWARD.CODE,D,26,,,AWARD,10L,M,RECORDS,Award code,,,
TROPHY.DET200,D,28,,,TROPHY DETAILS,200L,M,RECORDS,Trophy details,,,
TROPHY.DETAILS,D,28,,,TROPHY DETAILS,30L,M,RECORDS,Trophy details,,,
SHOW.COMM200,D,29,,,COMMENTS,200L,M,RECORDS,Comments relative to this trophy/award,,,
SHOW.COMMENTS,D,29,,,COMMENTS,30L,M,RECORDS,Comments relative to this trophy/award,,,
BLEND,D,30,,,BLEND,12L,S,,Blend id,,,
UOM,D,31,,,UOM,3L,S,,Unit of measure for qty,,,
ORIGINATOR,D,32,,,DATA SHEET,12L,S,,originator of wine data sheet,,,
PACK.TYPE,D,34,,,PACKAGING,12L,M,PACK,Packaging details,,,
ANAL.DATE,D,35,,D2/,ANALYSIS,8R,M,ANAL,Analysis date,,,
UPDATED.BY,D,36,,,Updated by,15L,S,,User ID,,,
UPDATE.DATE,D,37,,D2/,Updated,8R,S,,Update Date,,,
UPDATE.TIME,D,38,,MT,Updated,8R,S,,Update Time,,,
NBLENDS,D,39,,,N/B,2R,S,,Number of Blends (null if only 1),,,
CLASS.DESC,D,40,,,Class Description,30L,M,RECORDS,Show class description (SV),,,
BLEND.NO,D,41,,,Bl,2R,M,BP,Sequentially assigned blend numbers against this blend,,,
BLEND.PROP.ID,D,42,,,Blend,8R,M,BP,Blend proposal Id used to build this blend,,,
BLEND.STATUS,D,43,,,St,1L,M,BP,Value of ''/A/I for Labels are Active and Invalid settings,,,
EB.BLEND,D,44,,,BNo,2R,M,EB,Export Blend number,,,
EB.JDE.BLEND,D,45,,,JDE Blend,8R,M,EB,Export JDE Blend,,,
EB.DATE,D,46,,D2/,Date,8R,M,EB,Export Blend creation date,,,
EB.EDATE,D,46,,D4/E,Date,10R,M,EB,Export Blend creation date - /E OCONV for Grange 2020,,,
EB.STYLE,D,47,,,Style,5L,M,EB,Wine Board style,,,
EB.ORG,D,48,,,O,1L,M,EB,Organic 1/2/'',,,
EB.PRICE.RANGE,D,49,,,PR,2R,M,EB,Price range 1-4/11-12,,,
EB.PACK,D,50,,,Pack,1L,M,EB,Pack B/G/S/F,,,
EB.RLABEL.ALC,D,51,,,Rec,5R,M,EB,Recommended Label alcohol (based on region exported to),,,
EB.REGION,D,52,,,Region,10L,M,EB,Region Blend was exported to,,,
POINTS.SCORE,D,53,,MD10P,Points,4R,M,RECORDS,Points awarded at show,,,
RGN.LBL.ACL.OVRTXT,D,54,,,Label alcohol override,75L,M,BP,Text explaining region label alcohol override reason,,,
RGN.LBL.ALC.OVRTXT,D,54,,,Label alcohol override,75L,M,BP,Text explaining region label alcohol override reason,,,
REGION.ACTIVE,D,55,,,Region,1L,M,BP,Indicates that a 'Labels Active' blend is active for the region.,,,
A4EP,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'A4EP','X')",,Ave.,6R,M,BP,Average 4EP,,,
AA420,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AA420','X')",,Ave.,6R,M,BP,Average A420,,,
AA520,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AA520','X')",,Ave.,6R,M,BP,Average A520,,,
AASC,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AASC','X')",,Ave.,6R,M,BP,Average Asc,,,
ABE,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ABE','X')",MD10P,A/Be,6R,M,BP,Tank average BE,,,
ACA,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ACA','X')",,Ave.,6R,M,BP,Average Calcium,,,
ACITRIC,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ACITRIC','X')",,Ave.,6R,M,BP,Average Citric acid,,,
ACOLD,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ACOLD','X')",,A/Cold,6L,M,BP,Average Cold,,,
ACOMPLY,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ACOMPLY','X')",,A/Comp,6R,M,BP,Tank average Compliance,,,
ACOND,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ACOND','X')",,Ave.,6R,M,BP,Average Cold conduct,,,
ACTUAL.ALC,I,,"SUBR('*GWDI909',BLEND.PROP.ID)",MD20P,Actual,6R,M,BP,Actual alcohol %,,,
ACU,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ACU','X')",MD20P,Ave.,6R,M,BP,Average Cu,,,
ADCO2,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ADCO2','X')",,Ave.,6R,M,BP,Average CO2,,,
ADD.COUNT,I,,"DCOUNT(ADDITIVES,@VM)",,Number of,3R,,,Number of additives,,,
ADENS,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ADENS','X')",,A/DENS,6R,M,BP,Tank average DENS,,,
ADO2,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ADO2','X')",,Ave.,6R,M,BP,Average DO2Cu,,,
ADW,I,,"RAISE(TRANS(CONTROL,'BULK.EXPORT',-1, 'X')); @<1>",,,20L,M,,,,,
AEGG,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AEGG','X')",,Ave.,6R,M,BP,Average Egg,,,
AEXTRACT,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AEXTRACT','X')",,A/Ext,6R,M,BP,Tank average Extract (Literal),,,
AFE,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AFE','X')",,Ave.,6R,M,BP,Average Iron,,,
AFLTAB,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AFLTAB','X')",,Ave.,6R,M,BP,Average Filterability,,,
AFS02,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AFS02','X')",MD10P,A/FS02,6R,M,BP,Tank average FS02,,,
AHEAT,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AHEAT','X')",,A/Heat,6L,M,BP,Average Heat,,,
AK,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AK','X')",,,6R,M,BP,Average K (potassium) value,,,
AMALATE,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AMALATE','X')",MD20P,A/MALATE,6R,M,BP,Tank average MALATE,,,
AMILK,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AMILK','X')",,Ave.,6R,M,BP,Average Milk,,,
ANA,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ANA','X')",MD00P,Ave.,6R,M,BP,Average Sodium,,,
ANAL.COUNT,I,,"DCOUNT(ANAL.TYPE,@VM)",,Analysis,3R,S,,Number of analysis readings,,,
APH,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'APH','X')",MD20P,A/pH,6R,M,BP,Tank average pH,,,
ARS,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ARS','X')",MD10P,A/RS,6R,M,BP,Tank average RS,,,
ASG,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ASG','X')",MD40P,A/SG,6R,M,BP,Tank average SG,,,
ASNA,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ANA','X')",MD00P,Ave.,6R,M,BP,Average Sodium,,,
ASORBIC,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ASORBIC','X')",,Ave.,6R,M,BP,Average Sorbic acid,,,
ASTR,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ASTR','X')",MD20P,A/Str,6R,M,BP,Tank average STR,,,
ATA,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ATA','X')",MD10P,A/TA,6R,M,BP,Tank average TA,,,
ATCA,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ATCA','X')",,Ave.,6R,M,BP,Average TCA,,,
ATEMP,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ATEMP','X')",,Ave.,6R,M,BP,Average Temp,,,
ATS02,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ATS02','X')",MD10P,A/TS02,6R,M,BP,Tank average TS02,,,
ATURB,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'ATURB','X')",,Ave.,6R,M,BP,Average Turbitity,,,
AVA,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,'AVA','X')",MD10P,A/VA,6R,M,BP,Tank average VA,,,
AWARD.DESCRIPTION,I,,"TRANS(AWARD.MASTER,AWARD.CODE,AWARD.DESCRIPTION,'X')",,AWARD DESCRIPTION,30L,M,RECORDS,Award description,,,
BLEND.CODE,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,BLEND,'X')",,Blend Code,12L,M,BP,Blend Code,,,
BLEND.DATE,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,FDATE,'X')",D2/,Date,8R,M,BP,Date Blend was finalised,,,
BLEND.EDATE,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,FDATE,'X')",D4/E,Date,10R,M,BP,Date Blend was finalised - /E OCONV for Grange 2020,,,
BLEND.LOCATION,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,FINAL.LOCATION,'X')",,Loc,2L,M,BP,Blend winery location,,,
BLEND.LOCN.SDESC,I,,"TRANS(WINERY.LOCATION,BLEND.LOCATION,SHORT.DESC,'X')",,Location,15L,M,BP,Blend winery location description,,,
BLEND.STATUS.DESC,I,,"SUBR('*GBWIDESC',BLEND.STATUS,WD.TRANSFER,BLEND.TTANK.CHEM,'STATUS')",,Status,15L,M,BP,Blend status description,,,
BLEND.TTANK.CHEM,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,TTANK.CHEM.ID,'X')",,TO Tank,10L,M,BP,Blend proposal TO Tank chemistry Id,,,
BLEND.VOL,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,LITRES,'X');IF COUNT(@1,@SM) THEN SUM(@1)",MD0P,Volume,8R,M,BP,Blend proposal volume,,,
BLEND.WINE.MAKER,I,,"TRANS(BLEND.PROP.ARCHIVE,BLEND.PROP.ID,FINALBY,'X')",,Wine Maker,10L,M,BP,User name who finalised the blend proposal,,,
BULK.EXPORT.CODE,I,,"TRANS(GENERIC.FILE,GENERIC.CODE,BULK.EXPORT,'X')",,BULK EXPORT,1L,S,,Bulk Export Product Code,,,
BULK.EXPORT.DESC,I,,"SUBR('*PZZI211','CTRL.LOC',BULK.EXPORT.CODE,1:@VM:2,'CONTROL','BULK.EXPORT')",,BULK EXPORT,20L,S,,Bulk Export Product Description,,,
CATEGORY,I,,"TRANS(GENERIC.FILE,GENERIC.CODE,CATEGORY,'X')",,CATEGORY,2L,S,,Category,,,
CLASS.DESC.CONV,I,,"CONVERT(@SM,' ',CLASS.DESC)",,Class Description,30T,M,RECORDS,CLASS.DESC with @SM replaced with spaces,,,
