# Grange file: WINE.IN.TANK,source: winemaking.xlsm/WIT,downloaded: 2021-07-23
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,WINE.IN.TANK,10L,S,,Default record ID for RetrieVe,,,
TANK10,D,1,,,Tank,10L,S,,,,,
TANK,D,2,,,Tank Number,6T,S,,,,,
BLEND.DESC,D,3,,,Blend Description,15L,S,,,,,
BATCH.DESC,D,4,,,Batch Description,30L,S,,,,,
BATCH.TEXT,D,5,,,Batch Narrative,75L,M,,,,,
TSTATUS,D,6,,,Status,3T,S,,,,,
ONE.PREFIX,D,7,,,FIRST 1 CHAR OF ID,1L,S,,,,,
PREFIX,D,8,,,FIRST 2 CHAR OF ID,2L,S,,,,,
TANK.PREFIX,D,9,,,1st or 2nd character of tank code,2L,S,,,,,
TVOLUME,D,10,,,Calculation of Volume from Dip,9R,S,,,,,
TBATCHNO,D,11,,,Batch Number,7R,S,,,,,
TBLEND,D,12,,,Blend Code,12T,S,,,,,
BLEND.ILEVEL,D,13,,,Inventory level - 1st char of blend code,1L,S,,,,,
TONNES.CAPACITY,D,14,,,Tonnes (Capacity),6R,S,,,,,
TVINTAGE,D,15,,,Extract Vintage from blend code,2R,S,,,,,
TVARIETY,D,16,,,Extract Variety from blend code,3L,S,,,,,
VARDESCP,D,17,,,Variety description of blend variety,20T,S,,,,,
STYLE,D,18,,,Style code,1L,S,,,,,
STYLE.DESC,D,19,,,Style description,30L,S,,,,,
BLEND.IL.VR,D,20,,,Tank blend inventory level and vintage,3L,S,,,,,
TSOURCE,D,21,,,Extract source code from blend,3L,S,,,,,
CHEMNO,D,22,,,Chemistry Analysis Reference No,10R,M,,,,,
CREADINGNO,D,23,,,Chemistry Reading Number,10R,M,,,,,
CREADDESC,D,24,,,Tank reading description,10L,M,,,,,
CREADVALUE,D,25,,,Chemistry Reading Value,10R,M,,,,,
CHEM.CDATE,D,26,,,Chem date of reading,8R,M,,,,,
CHEM.RDATE,D,27,,,Chem registration date,8R,M,,,,,
TFRUITBE,D,28,,,Fruit Baume,4T,S,,,,,
TCNOTE,D,29,,,Last Cellar operations note,12L,M,,,,,
TOPCD,D,30,,,Last operation code performed,3T,S,,,,,
NTASCNOTES,D,31,,,Number of associated cellar notes,4R,,,,,,
TASCNOTES,D,32,,,List of outstanding chits for tank,10L,M,,,,,
TASCNOTES.MRDATE,D,33,,,Requested date of outstanding chits,8R,M,,,,,
TASCNOTES.ACTIV,D,34,,,Activity flag of outstanding chits,1L,M,,,,,
TASCNOTES.OPCD,D,35,,,Operation code of outstanding chits,4L,M,,,,,
OP.MFTANK,D,36,,,From tanks on OS chits,25L,M,,,,,
OP.MTTANK,D,37,,,To tanks on OS chits,25L,M,,,,,
OP.TO.FROM,D,38,,,To/From Flag,2L,M,,,,,
NCHEMNOTES,D,39,,,Number of associated chemistry notes,4R,,,,,,
TTEMP,D,40,,,Spirit Temperature,6R,S,,,,,
TSTRENGTH,D,41,,,Spirit Vat Strength,4T,S,,,,,
TDESCP,D,42,,,Tank description,15T,S,,,,,
TDIP,D,43,,,Tank Dip,10R,S,,,,,
TTABLE,D,44,,,Tank Size Dip Table,6T,S,,,,,
TSPECIF,D,45,,,Tank Specification,25T,S,,,,,
DCAP,D,46,,,Tank capacity from dip table,8R,S,,,,,
WINERY.LOCATION,D,47,,,Winery Location,2L,S,,,,,
TANK.TYPE,D,48,,,Tank Type,1L,S,,,,,
TANK.USE,D,49,,,Tank Use,1L,S,,,,,
VINTAGE.USE,D,50,,,Vintage Use,1L,S,,,,,
CURR.USE,D,51,,,Current Use of the tank,1L,S,,,,,
TANK.FORM,D,52,,,Tank Form,2L,S,,,,,
TANK.TYPE.DESC,D,53,,,Tank Type Description,30L,S,,,,,
TANK.USE.DESC,D,54,,,Tank Use Description,30L,S,,,,,
TANK.FORM.DESC,D,55,,,Tank Form Description,30L,S,,,,,
VINTAGE.USE.DESC,D,56,,,Vintage Use Description,30L,S,,,,,
CURR.USE.DESC,D,57,,,Tank Current Use Description,30L,S,,,,,
WINERY.LOCATION.DESC,D,58,,,Winery Location Description,30L,S,,,,,
TULLAGE,D,59,,,Tank ullage (calculated field),10R,S,,,,,
TPH,D,60,,,Locate PH Reading from Chemistry,6R,S,,,,,
TPHDATE,D,61,,,Date of PH reading,8R,S,,,,,
TBACT,D,62,,,Locate Bact Reading from Chemistry,6R,S,,,,,
TBACTDATE,D,63,,,Date of Bacteria reading,8R,S,,,,,
TFSO2,D,64,,,Locate FSO2 Reading from Chemistry,5R,S,,,,,
TFSO2DATE,D,65,,,Date of FSO2 reading,8R,S,,,,,
TMOLSO2,D,66,,,Locate MolSO2 Reading from Chemistry,6R,S,,,,,
TMOLSO2DATE,D,67,,,Date of MolSO2 reading,8R,S,,,,,
TALC,D,68,,,Locate Alc Reading from Chemistry,6R,S,,,,,
TALCDATE,D,69,,,Date of Alc reading,8R,S,,,,,
TCH.CDATE,D,70,,,Latest chem date of reading,8R,M,,,,,
TRS,D,71,,,Locate RS Reading from Chemistry,6R,S,,,,,
TACT.STR,D,72,,,Calculate Actual Strength,6R,S,,,,,
TTSO2,D,73,,,Locate TSO2 Reading from Chemistry,5R,S,,,,,
TTA,D,74,,,Locate TA Reading from Chemistry,6R,S,,,,,
TVA,D,75,,,Locate VA Reading from Chemistry,6R,S,,,,,
TVADATE,D,76,,,Date of VA reading,8R,S,,,,,
TCU,D,77,,,Locate CU Reading from Chemistry,6R,S,,,,,
FE,D,78,,,Locate FE Reading from Chemistry,6R,S,,,,,
TCA,D,79,,,Locate Ca Reading from Chemistry,6R,S,,,,,
