# Grange file: WINE.STATUS,source: winemaking.xlsm/WStat,downloaded: 2024-09-03
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,WINE.STATUS,10L,S,,Default record ID for RetrieVe,,,
STATUS.CODE,D,0,,,STATUS,3L,S,,,,,
DESC,D,1,,,Description,30L,S,,Description,,,
COMMENTS,D,3,,,Comments,50T,M,,Comments,,,
WSTAT.SUB.CODE,D,4,,,Wine Status Subgroup Code,2L,S,,wine Status Subgroup Code,,,
SACTIV,D,5,,,Activity,1T,S,,"Record activity status ("" "" - Active, ""D"" = De-activated)",,,
AUD.BREAK,I,,IF AUD.CODE = 1 THEN 1 ELSE IF AUD.CODE = 3 THEN 1 ELSE IF AUD.CODE = 2 THEN 2 ELSE,,,1L,S,,Group deletions and before images together and creations and after,,,
AUD.CODE,I,,"FIELD(@ID,'*',5)",,,1L,S,,Audit action code,,,
AUD.DATE,I,,"FIELD(@ID,'*',2)",D2/,AUDIT,8R,S,,Audit date,,,
AUD.DESC,I,,"FIELD('Deleted*Created*Before*After','*',AUD.CODE,1)",,AUDIT DESC,8L,S,,Audit description,,,
AUD.KEY,I,,"FIELD(@ID,'*',4)",,AUDIT KEY,3L,S,,Audit key,,,
AUD.SDESC,I,,"FIELD('Del*Cre*Bef*Aft','*',AUD.CODE,1)",,Aud,3L,S,,Short description for Audit code,,,
AUD.SEQNO,I,,"FIELD(@ID,'*',1)",,AUDIT,6R,S,,Audit Sequence number,,,
AUD.TIME,I,,"FIELD(@ID,'*',3)",MT,AUDIT,5R,S,,Audit time,,,
AUD.USER,I,,"FIELD(@ID,'*',6)",,USER,8L,S,,User name,,,
DESC.UC,I,,"OCONV(DESC,'MCU')",,Description,30L,S,,Uppercased Description,,,
LAST.YEAR,I,,"OCONV(DATE(),'D4/');@1[4]-1;""01/01/"":@2;ICONV(@3,'D4/')",D4/,1 Jan Last year,10R,S,,,,,
WSTAT.SUB.DESC,I,,"TRANS(WSTATUS.SUBGROUP,WSTAT.SUB.CODE,DESC,'X')",,Wine Status Subgroup,25L,S,,Wine Status Subgroup Description,,,
BY.AUDIT,PH,,BY AUD.DATE BY AUD.TIME BY AUD.CODE ID.SUP AUD.DATE AUD.TIME FMT '5R' AUD.USER,,,,,,AUDIT PHRASE,,,
DEFINE.NEXT.ATTR,X,,6,,,,,,,,,
