# Grange file: WINERY.LOCATION,source: winemaking.xlsm/WL,downloaded: 2024-03-21
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,WINERY.LOCATION,10L,S,,Default record ID for RetrieVe,,,
WIN.CODE,D,0,,,Winery Location Code,2L,S,,Winery Location Code,,,
DESC,D,1,,MC,,30L,S,,,,,
SHORT.DESC,D,2,,MC,Short Desc,15L,S,,Short Description,,,
DEL.ADDR,D,3,,MC,Delivery Address,30L,M,DEL.ADDR,,,,
POST.ADDR,D,4,,MC,Postal Address,30L,M,POST.ADDR,,,,
WINERY.ACCT,D,5,,,Wine Acct,9L,S,,,,,
MAN.BY.ACCT,D,6,,,Man By Acct,9L,S,,,,,
FREIGHT.AREA,D,7,,,,2L,S,,,,,
DEL.FLAG,D,8,,FLAG,,1L,S,,,,,
UNCOSTED,D,9,,FLAG,,1L,S,,Y/'' to indicate the winery location is an 'uncosted' location,,,
WIM.WINERY,D,10,,,WIM Winery,4L,S,,WIM winery code (not used),,,
GL.CCENTRE,D,11,,,Oracle GL Cost Centre,4L,S,,Oracle GL cost centre code (no longer used),,,
WINERY.CAT.CODE,D,12,,,Winery Category Code,2L,S,,Winery Category Code,,,
PRIMARY.SITE.ID,D,13,,,Primary Site ID,2L,S,,Primary Site ID,,,
PRIMARY.SITE.DESC,D,14,,MC,Primary Site Description,30L,S,,Primary Site Description,,,
COMMENT,D,15,,WPNH,Comments,30L,,,,,,
PRIMARY.SITE,D,16,,FLAG,Site,1L,S,,Primary Site (Y/) flag,,,
SWA.NUMBER,D,17,,NC,,10R,S,,"""Sustainable Winegrowing  Australia"" membership number",,,
SWA.NAME,D,18,,MC,,40L,S,,"""Sustainable Winegrowing  Australia"" membership name",,,
SWA.STATUS,D,19,,,,1L,M,SWA.STATUS,"SWA status. Y (certified), N (not certified), E (exempt)",,,
SWA.DTE.FRM,D,20,,D4/,,10R,M,SWA.STATUS,SWA effective from date,,,
SWA.DTE.FRM.E,D,20,,D4/E,,10R,M,SWA.STATUS,SWA effective from date,,,
SWA.DTE.TO,D,21,,D4/,,10R,M,SWA.STATUS,SWA effective to date,,,
SWA.DTE.TO.E,D,21,,D4/E,,10R,M,SWA.STATUS,SWA effective to date,,,
A.YEAR.AGO,I,,"OCONV(DATE(),'D4/');@[1,6]:@[4]-1;ICONV(@,'D4/')",D4/,A Year Ago,10R,S,,,,,
ACCOUNT,I,,@WHO,,ACCOUNT,5L,S,,,,,
AUD.BREAK,I,,IF AUD.CODE = 1 THEN 1 ELSE IF AUD.CODE = 3 THEN 1 ELSE IF AUD.CODE = 2  THEN 2 ELSE 2,,,1L,S,,Group deletions and before images together and creations and after images together,,,
AUD.CODE,I,,"FIELD(@ID,'*',5)",,AUDIT CODE,1L,S,,Audit action code,,,
AUD.DATE,I,,"FIELD(@ID,'*',2)",D2/,AUDIT DATE,8R,S,,Audit date,,,
AUD.DESC,I,,"FIELD('Deleted*Created*Before*After','*',AUD.CODE,1)",,AUDIT DESC,8L,S,,Audit description,,,
AUD.KEY,I,,"FIELD(@ID,'*',4)",,AUDIT KEY,10L,S,,Audit key,,,
