# Grange file: WOODMAT.TANK,source: winemaking.xlsm/WMT,downloaded: 2019-11-28
Field Name,Type,Field No,Field Definition,Conversion Code,Column Heading,Output Format,Depth,Assoc,DESC,Key,Examples,Comment
@ID,D,0,,,WOODMAT.TANK,10L,S,,Default record ID for RetrieVe,,,
MATUR.TYPE,D,1,,,Matur. Type,13L,M,WOOD,"Maturity type - wood type:fill number, eg HFC3 for planks/chips in tank or barrel code for time spent in barrel.",,,
BATCH.NO,D,2,,,NOT USED,6L,M,WOOD,No longer used,,,
QTY,D,3,,MD20P,Wood Qty,8R,M,WOOD,"Bags for chips, bundles for planks",,,
VOLUME,D,4,,MD10P,Litres,14R,M,WOOD,Volume of wood in wine,,,
DATE.IN,D,5,,D2/,Date Wine in,8R,M,WOOD,Date In,,,
WOODIN,D,6,,D2/,Date Wood Inserted into Tank,8R,M,WOOD,Date when wood was inserted,,,
WOODOUT,D,7,,D2/,NOT USED,8R,S,,Date when wood was removed - no longer used,,,
DAYS.ON.WOOD,D,8,,MD00P,Days on wood,6R,M,WOOD,Days on Wood,,,
BC.CAP,D,9,,MD00P,Barrel Capacity,5R,M,WOOD,If MATUR.TYPE is a barrel code this is the barrel capacity,,,
ALLOC,I,,"SUM(SUM(TRANS(BWALLOC,@ID,LITRES,'X')))",MD10P,Total Allocated Litres,12R,S,,get allocated litres,,,
AUOMISS,I,,"TRANS(MADD,WOOD.TYPE,'AUOMISS','X')",,ISS UOM,6L,M,WOOD,Issuing unit of measure,,,
FILL.NO,I,,"MATUR.TYPE[4,1]",MD00P,Fill no.,1R,M,WOOD,Fill number,,,
MONTHS.ON.WOOD,I,,"SUBR('!DIVS',DAYS.ON.WOOD,REUSE(30))",MD10P,Months On Wood,4R,M,WOOD,Months on wood,,,
NOWOOD,I,,IF LEN(MATUR.TYPE) = 1 AND MATUR.TYPE = '*' THEN 'Y' ELSE 'N',,UNWOODED WINE FLAG,1L,S,,,,,
TOT.VOLUME,I,,SUM(VOLUME),MD10P,Total Litres,14R,S,,Total volume that has had wood,,,
TVOLUME,I,,"TRANS(MTANK,@ID,TTABLE,'X');TRANS(MTANK,@ID,TDIP,'X');SUBR(""*PBWZ171"",@1,@2,""V"")+0",MD10P,VOLUME,9R,S,,Subroutine call for calculation of Volume from Dip,,,
VOLUME.VARIANCE,I,,"TRANS(MTANK,@ID,TTABLE,'X');TRANS(MTANK,@ID,TDIP,'X');SUBR(""*PBWZ171"",@1,@2,""V"")+0; SUM(VOLUME) - @",MD10P,Volume Variance,8R,S,,Variance of volume between WOODMAT.TANK and MTANK record,,,
WINERY.LOCATION,I,,"TRANS(MTANK,@ID,'WINERY.LOCATION','X')",,Winery Location,2L,S,,Winery Location,,,
WMT.DOW,I,,"SUBR(SUBR.PENBW:""WMT.DOW"")",MD00P,Days on wood,6R,M,WOOD,Calculated days on Wood,,,
WMT.MOW,I,,"SUBR('!DIVS',WMT.DOW,REUSE(30))",MD10P,Months On Wood,4R,M,WOOD,Calculated months on wood,,,
WOOD.TYPE,I,,"SUBR('!SUBSTRINGS',MATUR.TYPE,1,3)",,Wood Type,3L,M,WOOD,Wood type,,,
@,PH,,MATUR.TYPE QTY VOLUME TOT.VOLUME TVOLUME,,,,,,,,,
LIST,PH,,BATCH.NO VOLUME DATE.IN QTY MATUR.TYPE WOODIN WOODOUT DAYS.ON.WOOD,,,,,,,,,
